model,dataset,display_name,n_points,n_depth_points,wd_grid,wd_grid_min,wd_grid_max,lr,n_at_grid_max,n_at_grid_min,fraction_at_grid_max,fraction_at_grid_min,median_selected_wd,min_selected_wd,max_selected_wd,median_selected_wd_depth_axis,layers_at_grid_max,selected_wd_by_layer,constant_forecast_floor_val_loss,at_grid_max_val_over_floor,still_clipped_reading
chronos2,m4_hourly,M4,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,1,0,0.07142857142857142,0.0,30.0,0.01,90.0,30.0,Emb,Emb=90|L1=0.1|L2=0.01|L3=1|L4=10|L5=30|L6=30|L7=30|L8=30|L9=30|L10=30|L11=45|L12=30|L12+LN=45,0.30932340492274013,"{""Emb"": 0.9544539428638716}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
chronos2,monash_electricity_hourly,Electricity,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,3.0,0.0001,30.0,3.0,,Emb=0.0001|L1=0.001|L2=0.1|L3=0.3|L4=10|L5=1|L6=1|L7=10|L8=10|L9=3|L10=3|L11=30|L12=30|L12+LN=3,0.2537231052877339,{},no depth at the grid maximum
chronos2,uber_tlc_hourly,Uber TLC,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,20.0,0.01,65.0,10.0,,Emb=0.01|L1=30|L2=1|L3=10|L4=3|L5=10|L6=10|L7=30|L8=30|L9=10|L10=65|L11=45|L12=45|L12+LN=45,0.22185816021479723,{},no depth at the grid maximum
chronos2,wind_farms_hourly,Wind Farms,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,0.0001,45.0,30.0,,Emb=0.0001|L1=45|L2=30|L3=30|L4=30|L5=10|L6=10|L7=10|L8=10|L9=10|L10=30|L11=30|L12=45|L12+LN=45,0.2221828118137276,{},no depth at the grid maximum
chronos2,sg_carpark,SG Carpark,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,3.0,1e-05,10.0,3.0,,Emb=0.001|L1=1e-05|L2=1|L3=3|L4=10|L5=3|L6=1|L7=3|L8=3|L9=3|L10=1|L11=3|L12=10|L12+LN=10,0.26992471200429785,{},no depth at the grid maximum
chronos2,coastal_ts,Coastal T-S,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,1,0.0,0.07142857142857142,30.0,1e-05,65.0,30.0,,Emb=1e-05|L1=30|L2=45|L3=65|L4=30|L5=45|L6=45|L7=30|L8=30|L9=30|L10=30|L11=30|L12=10|L12+LN=30,0.32696046121418476,{},no depth at the grid maximum
chronos2,boom_hourly,BOOM,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,30.0,0.0001,65.0,30.0,,Emb=0.0001|L1=30|L2=10|L3=10|L4=10|L5=10|L6=10|L7=30|L8=30|L9=30|L10=30|L11=30|L12=30|L12+LN=65,0.18880839892110582,{},no depth at the grid maximum
chronos2,LOOP_SEATTLE_5T,Loop Seattle,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,4,1,0.2857142857142857,0.07142857142857142,55.0,1e-05,90.0,65.0,L6|L7|L8|L10,Emb=0.001|L1=1e-05|L2=0.001|L3=45|L4=1|L5=45|L6=90|L7=90|L8=90|L9=65|L10=90|L11=65|L12=65|L12+LN=45,0.23254077193391232,"{""L6"": 0.84766412736831, ""L7"": 0.8263359081260175, ""L8"": 0.7906336762583397, ""L10"": 0.7742354675605165}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
chronos2,electricity_15min,Electricity 15min,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,3.0,0.01,30.0,3.0,,Emb=0.01|L1=0.1|L2=1|L3=3|L4=3|L5=3|L6=1|L7=0.3|L8=3|L9=10|L10=10|L11=10|L12=3|L12+LN=30,0.28551934460419737,{},no depth at the grid maximum
chronos2,SZ_TAXI_15T,SZ Taxi,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,55.0,0.1,65.0,45.0,,Emb=0.1|L1=45|L2=30|L3=30|L4=45|L5=65|L6=65|L7=65|L8=65|L9=65|L10=65|L11=45|L12=30|L12+LN=65,0.23769737684573883,{},no depth at the grid maximum
chronos2,monash_london_smart_meters,London Smart Meters,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,20.0,3.0,45.0,10.0,,Emb=3|L1=10|L2=3|L3=10|L4=10|L5=30|L6=10|L7=30|L8=30|L9=10|L10=30|L11=30|L12=45|L12+LN=30,0.202930832779362,{},no depth at the grid maximum
chronos2,m5,M5,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,2,0,0.14285714285714285,0.0,45.0,3.0,90.0,45.0,L2|L11,Emb=3|L1=30|L2=90|L3=45|L4=65|L5=45|L6=30|L7=30|L8=45|L9=65|L10=30|L11=90|L12=30|L12+LN=45,0.21212675877427326,"{""L2"": 0.9916843034991741, ""L11"": 0.9941048139729372}","at grid max; compare at_grid_max_val_over_floor with 1.0 — near 1.0 means the depth's optimum IS the no-information floor, well below means the search was cut off"
chronos2,wiki_daily_100k,Wiki Daily,14,13,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,1e-05,90.0,0.01,0,0,0.0,0.0,45.0,0.01,65.0,45.0,,Emb=0.01|L1=30|L2=45|L3=30|L4=30|L5=45|L6=45|L7=45|L8=65|L9=65|L10=45|L11=65|L12=30|L12+LN=45,0.20789182049627522,{},no depth at the grid maximum
