model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,Emb,block_depth,True,0,156,1280,24.407025116706755,0.019067988372427153,0.15746467817230164,3.1948710054788254,0.11682290378078801,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L1,block_depth,True,1,156,1280,35.24903954465222,0.027538312144259548,0.22741315835259496,3.562438281926852,0.0971937393997844,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L2,block_depth,True,2,156,1280,47.515841212333,0.03712175094713516,0.3065538142731161,3.8610631546491065,0.10746958149642155,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L3,block_depth,True,3,156,1280,58.036409549005306,0.0453409449601604,0.37442844870326003,4.0610705644381975,0.11482692866620557,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L4,block_depth,True,4,156,1280,55.80127401762204,0.04359474532626722,0.3600082194685293,4.021796700983648,0.17257727050123667,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L5,block_depth,True,5,156,1280,53.87517024327879,0.042089976752561556,0.34758174350502447,3.986669708386971,0.19704842122769,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L6,block_depth,True,6,156,1280,49.68823949989463,0.03881893710929268,0.3205692870960944,3.905768275320547,0.21799060636675655,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L7,block_depth,True,7,156,1280,39.10330200811251,0.030549454693837897,0.25227936779427423,3.6662069137609494,0.2626998128419837,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L8,block_depth,True,8,156,1280,42.59872002918522,0.03328025002280095,0.274830451801195,3.751824206560669,0.2018900065804701,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L9,block_depth,True,9,156,1280,47.05982787331967,0.036765490526030994,0.3036117927310946,3.8514197256920104,0.18402864604573402,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L10,block_depth,True,10,156,1280,40.283485671458635,0.03147147318082706,0.25989345594489444,3.695941600140561,0.2367780245075744,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L11,block_depth,True,11,156,1280,41.21988094997059,0.032203031992164524,0.2659347158062619,3.718920687296342,0.22690157186996923,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L12,block_depth,True,12,156,1280,38.637215387025805,0.03018532452111391,0.24927235733565034,3.654215941194308,0.20838923096154383,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L13,block_depth,True,13,156,1280,36.39287481130488,0.028431933446331936,0.234792740718096,3.594373008539588,0.23106411982443625,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L14,block_depth,True,14,156,1280,40.768310800313074,0.03185024281274459,0.2630213600020198,3.7079050835546914,0.21360167867030028,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L15,block_depth,True,15,156,1280,42.9790270914049,0.03357736491516008,0.27728404575099935,3.760712254648362,0.19139899207993216,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L16,block_depth,True,16,156,1280,47.69974981146637,0.0372654295402081,0.30774032136429913,3.8649261528379064,0.183906545942136,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L17,block_depth,True,17,156,1280,53.211347600936044,0.04157136531323129,0.34329901678023256,3.9742716743716984,0.1862842926085466,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L18,block_depth,True,18,156,1280,49.29435698735947,0.03851121639637459,0.3180281095958676,3.897809611766241,0.18353675765737265,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L19,block_depth,True,19,156,1280,34.88926037732768,0.02725723466978725,0.22509200243437213,3.552179056273147,0.17628186639248608,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,test,L20,block_depth,True,20,156,1280,27.578298096069666,0.021545545387554425,0.17792450384561076,3.3170291625593924,0.22611022169226608,155,155.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,Emb,block_depth,True,0,1394,1280,29.047156812724527,0.022693091259941036,0.022693091259941036,3.3689206063127553,0.08881006157770607,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L1,block_depth,True,1,1394,1280,45.94586632582822,0.0358952080670533,0.0358952080670533,3.827463884490137,0.0776433344270656,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L2,block_depth,True,2,1394,1280,72.9063677112281,0.056958099774396954,0.056958099774396954,4.289175983776465,0.09451770228851192,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L3,block_depth,True,3,1394,1280,103.03966180106963,0.08049973578208565,0.08049973578208565,4.635113980140541,0.10620985722585075,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L4,block_depth,True,4,1394,1280,108.2541708670068,0.08457357098984906,0.08457357098984906,4.684481896089594,0.15056874872400186,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L5,block_depth,True,5,1394,1280,107.58218170162881,0.0840485794543975,0.0840485794543975,4.678255036446387,0.1780338897357231,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L6,block_depth,True,6,1394,1280,95.71911046385301,0.07478055504988516,0.07478055504988516,4.561417969890567,0.20071218456602538,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L7,block_depth,True,7,1394,1280,75.80050719182023,0.059219146243609556,0.059219146243609556,4.328104983810904,0.22512321529991192,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L8,block_depth,True,8,1394,1280,82.34174401214372,0.06432948750948728,0.06432948750948728,4.410878196736152,0.18226936055261192,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L9,block_depth,True,9,1394,1280,86.98874124145834,0.06795995409488934,0.06795995409488934,4.465778699262535,0.1707637239184192,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L10,block_depth,True,10,1394,1280,77.52257672659152,0.06056451306764963,0.06056451306764963,4.350569206537205,0.19777454614811327,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L11,block_depth,True,11,1394,1280,80.41657847024908,0.06282545192988209,0.06282545192988209,4.387220354807368,0.1958573008756344,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L12,block_depth,True,12,1394,1280,76.38195257273206,0.05967340044744692,0.05967340044744692,4.335746445397459,0.17802917906243462,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L13,block_depth,True,13,1394,1280,70.77813744957565,0.055295419882480976,0.055295419882480976,4.259550159928183,0.21033420689415513,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L14,block_depth,True,14,1394,1280,77.09184445532033,0.06022800348071901,0.06022800348071901,4.3449974961846936,0.20307177775111562,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L15,block_depth,True,15,1394,1280,80.54282702013907,0.06292408360948365,0.06292408360948365,4.388789055628484,0.18742797586486173,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L16,block_depth,True,16,1394,1280,103.23518464776244,0.08065248800606441,0.08065248800606441,4.637009731451143,0.1364151286532991,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L17,block_depth,True,17,1394,1280,119.64884028326831,0.09347565647130338,0.09347565647130338,4.784561121731298,0.1274535226038277,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L18,block_depth,True,18,1394,1280,103.5796714484623,0.08092161831911118,0.08092161831911118,4.6403410890314785,0.13351385370663144,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L19,block_depth,True,19,1394,1280,61.47906998269811,0.048030523423982896,0.048030523423982896,4.1186967914040284,0.16693443978734687,1280,1280.0,True
timesfm3,SZ_TAXI_15T,SZ Taxi,headline,train,L20,block_depth,True,20,1394,1280,47.7387196085707,0.03729587469419586,0.03729587469419586,3.8657428004540497,0.21394866235220542,1280,1280.0,True
