model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,boom_hourly,BOOM,0,Emb,embedding,block_depth,True,0,0.0,0.0,True,False,False,12.52096176147461,0.17729519307613373,0.22727808356285095,0.922106111094061,0.9564607805511869,0.0,0.0,10.0,False,False,737856,True,True,True,True,True,True,True,True,0.22727809790627093,0.18018738801464818,0.2899218626280899,0.01034595562134591,0.000269691319873123,0.021690927648398542,1.2834941451869526,0.8625499420540393,1.9572494675168781,0.05921097019844712,-0.04028085303964678,0.16666889257736273,0.4037723255200412,0.28250004922438604,0.5641101697185699,0.05763546470131842,-0.005995727321756161,0.1628929927981716,3.8802287836362157,3.172745406367508,4.772993428851379,0.6118104223106013,-0.02677664585492864,1.3248455573979754,1.2834941451869526,0.4037723255200412,3.8802287836362157
timesfm3,boom_hourly,BOOM,1,L1,block,block_depth,True,1,0.05,0.05,False,False,False,12.497284889221191,0.17345330119132996,0.22391919791698456,0.9021245654938993,0.9423254871860475,0.0,0.0,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.223919211744757,0.17713489627115703,0.28674268134038283,0.013704841782859828,0.004591621964049169,0.023933235055893287,1.2240559502913053,0.8075908059779616,1.8855359645817547,0.1186491650940944,0.03215254756565855,0.21425838358839575,0.3922924082429589,0.2675237289104297,0.5620133600286537,0.06911538197840073,0.011013235049667235,0.16328170804028047,3.7963087344425825,3.0970417370887127,4.630851066705405,0.6957304715042345,0.12940038196353973,1.3076610471644727,1.2240559502913053,0.3922924082429589,3.7963087344425825
timesfm3,boom_hourly,BOOM,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,12.483416557312012,0.17488807439804077,0.22825661301612854,0.9095867708644304,0.9605787536966942,0.0,0.0,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.22825662381841808,0.180539431922022,0.291802612425349,0.009367429709198766,-0.001535519877038248,0.020579832355297124,1.3109604215899464,0.8400526988544117,2.092343598155496,0.031744693795453305,-0.15824754655623624,0.17481976730352608,0.4049314968806787,0.27479536107143787,0.5816261269468066,0.05647629334068094,-0.01628318175226897,0.16399156342844184,3.8873440005838966,3.1314824793923592,4.8866801974466965,0.6046952053629204,-0.11696758315681945,1.344078361478672,1.3109604215899464,0.4049314968806787,3.8873440005838966
timesfm3,boom_hourly,BOOM,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,12.491986274719238,0.18167857825756073,0.23215587437152863,0.9449039444303393,0.9769881254279887,0.0,0.0,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.23215587438205204,0.18367866046324183,0.29668327103826697,0.0054681791455648,-0.0030973158395944237,0.013250415827118733,1.3686899821054426,0.8866915296095855,2.161773125776889,-0.025984866720042854,-0.21151971381276727,0.09549624009947888,0.44062133452628177,0.2885380702477851,0.6502952314474089,0.020786455695077866,-0.030600433540183967,0.08214943317036781,4.246973309023434,3.378611740992436,5.141357777257567,0.245065896923383,-0.22525265019443375,0.6534786413974627,1.3686899821054426,0.44062133452628177,4.246973309023434
timesfm3,boom_hourly,BOOM,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,12.486594200134277,0.18369559943675995,0.2326786071062088,0.9553944011837104,0.979187956364585,0.0,0.0,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.2326785868170571,0.18449402440702384,0.2967719913319562,0.004945466710559732,-0.0031499022100973193,0.012383823274269092,1.3600028014032044,0.8938555474969601,2.117792404999963,-0.01729768601780468,-0.17201897923590057,0.08612035750679711,0.44428246530385956,0.29275053048076044,0.6538978104363953,0.017125324917500073,-0.02689374445207858,0.07363505049507058,4.241316086642054,3.3916359702943435,5.125335574576188,0.2507231193047632,-0.205349532340571,0.6688548649386183,1.3600028014032044,0.44428246530385956,4.241316086642054
timesfm3,boom_hourly,BOOM,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,12.48287582397461,0.18446597456932068,0.23356802761554718,0.9594010953599259,0.9829309298236373,0.0,0.0,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.23356801768143973,0.18473670245779647,0.2982940608701316,0.004056035846177114,-0.0046854286818333885,0.011888413496531205,1.3684103717740652,0.9010074225580287,2.120753255565103,-0.0257052563886655,-0.18404148152885985,0.08454619463537554,0.442402978157054,0.29536817549854394,0.6446469200992695,0.019004812064305654,-0.028704792865519246,0.08357399467475835,4.243893229740685,3.3959824446952975,5.184017506386132,0.248145976206132,-0.28627318284249037,0.7454404837593693,1.3684103717740652,0.442402978157054,4.243893229740685
timesfm3,boom_hourly,BOOM,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,12.487017631530762,0.1869288682937622,0.23580725491046906,0.9722105196589114,0.9923543333157748,0.0,0.0,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.23580726804369587,0.18716116403966174,0.30043642774571544,0.001816785483920974,-0.005936955964839947,0.008774519726597199,1.397266892517405,0.9305854692298255,2.142968089023197,-0.054561777132005274,-0.1996654829007133,0.04678269226060496,0.4540457924549253,0.30095298529045267,0.6668284026272435,0.007361997766434314,-0.033949543595616215,0.05936667724140908,4.339011506579444,3.452984967031395,5.263733145539899,0.1530276993673727,-0.28965443305489125,0.5432665034749615,1.397266892517405,0.4540457924549253,4.339011506579444
timesfm3,boom_hourly,BOOM,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,12.485260963439941,0.18800173699855804,0.23618032038211823,0.9777904723464554,0.9939243152806728,0.0,0.0,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.23618031527826006,0.1876719308798701,0.29990598749143116,0.0014437382493567852,-0.005113011221980208,0.007585529347955332,1.3805113517938332,0.927862122016639,2.0949473089374697,-0.0378062364084335,-0.14943399620773595,0.04522177234839581,0.45124348763723293,0.2991816435254366,0.6646469881872019,0.010164302584126705,-0.02378166253321065,0.0555198937043101,4.371058916190668,3.4851036211316484,5.245538145484728,0.12098028975614916,-0.23795528890998213,0.4444005088932178,1.3805113517938332,0.45124348763723293,4.371058916190668
timesfm3,boom_hourly,BOOM,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,12.484338760375977,0.1856278032064438,0.23431599140167236,0.9654437255505552,0.9860786069576865,0.0,0.0,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.23431597737921664,0.18601054258994484,0.2978124354955461,0.003308076148400202,-0.0022150859309066125,0.00908139747959471,1.370544170679714,0.9336636443175136,2.0487513613461323,-0.027839055294314186,-0.1056809472636674,0.041204921295044716,0.45431635326289305,0.3046868022942382,0.6637245687872682,0.00709143695846659,-0.02580292097042124,0.05457611917039514,4.29485437352234,3.446641135534914,5.107128001785153,0.19718483242447693,-0.12580339862326156,0.5121035086924709,1.370544170679714,0.45431635326289305,4.29485437352234
timesfm3,boom_hourly,BOOM,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,12.483114242553711,0.18701089918613434,0.23579005897045135,0.9726371594670327,0.9922819671555458,0.0,0.0,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.23579004866802422,0.18783355870278878,0.2992055053691153,0.0018340048595926195,-0.003317723963554347,0.007040765608916093,1.3596246189049492,0.9275229030352625,2.0299831073378964,-0.016919503519549517,-0.0880571655510093,0.04775909486056146,0.44779595114929144,0.3000806734098552,0.6575843249784956,0.0136118390720682,-0.01659845649097497,0.058924015480596885,4.312251842161281,3.4578468607069555,5.112113401333663,0.17978736378553606,-0.10497664921456204,0.4569239334505383,1.3596246189049492,0.44779595114929144,4.312251842161281
