model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,boom_hourly,0,Emb,block_depth,True,0.0,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.17729519307613373,"{""1e-05"": 0.1813550442457199, ""0.0001"": 0.18234218657016754, ""0.001"": 0.18093788623809814, ""0.01"": 0.182222381234169, ""0.1"": 0.18133999407291412, ""0.3"": 0.18044424057006836, ""1"": 0.17923466861248016, ""3"": 0.17755217850208282, ""10"": 0.17729519307613373, ""30"": 0.17871667444705963, ""45"": 0.1801135540008545, ""65"": 0.18324197828769684, ""90"": 0.1933329552412033}","{""1e-05"": 0.1813550442457199, ""0.0001"": 0.18234218657016754, ""0.001"": 0.18093788623809814, ""0.01"": 0.182222381234169, ""0.1"": 0.18133999407291412, ""0.3"": 0.18044424057006836, ""1"": 0.17923466861248016, ""3"": 0.17755217850208282, ""10"": 0.17729519307613373, ""30"": 0.17871667444705963, ""45"": 0.1801135540008545, ""65"": 0.18324197828769684, ""90"": 0.1933329552412033}",12.52096176147461,0.17729519307613373,0.22727808356285095,737856,0.2636542626062019,0.6724533535835322
timesfm3,boom_hourly,1,L1,block_depth,True,0.05,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.17345330119132996,"{""1e-05"": 0.2003471851348877, ""0.0001"": 0.20033009350299835, ""0.001"": 0.20074675977230072, ""0.01"": 0.20029854774475098, ""0.1"": 0.19718985259532928, ""0.3"": 0.1923404037952423, ""1"": 0.18349669873714447, ""3"": 0.1771405190229416, ""10"": 0.17345330119132996, ""30"": 0.17768554389476776, ""45"": 0.18398629128932953, ""65"": 0.1915251463651657, ""90"": 0.20407238602638245}","{""1e-05"": 0.2003471851348877, ""0.0001"": 0.20033009350299835, ""0.001"": 0.20074675977230072, ""0.01"": 0.20029854774475098, ""0.1"": 0.19718985259532928, ""0.3"": 0.1923404037952423, ""1"": 0.18349669873714447, ""3"": 0.1771405190229416, ""10"": 0.17345330119132996, ""30"": 0.17768554389476776, ""45"": 0.18398629128932953, ""65"": 0.1915251463651657, ""90"": 0.20407238602638245}",12.497284889221191,0.17345330119132996,0.22391919791698456,737856,0.2636542626062019,0.6578816495388983
timesfm3,boom_hourly,2,L2,block_depth,True,0.1,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.17488807439804077,"{""1e-05"": 0.2324559986591339, ""0.0001"": 0.23210453987121582, ""0.001"": 0.23178014159202576, ""0.01"": 0.2315288931131363, ""0.1"": 0.22531527280807495, ""0.3"": 0.21503198146820068, ""1"": 0.196284681558609, ""3"": 0.18215173482894897, ""10"": 0.17488807439804077, ""30"": 0.17782838642597198, ""45"": 0.1827414333820343, ""65"": 0.18925213813781738, ""90"": 0.1996418982744217}","{""1e-05"": 0.2324559986591339, ""0.0001"": 0.23210453987121582, ""0.001"": 0.23178014159202576, ""0.01"": 0.2315288931131363, ""0.1"": 0.22531527280807495, ""0.3"": 0.21503198146820068, ""1"": 0.196284681558609, ""3"": 0.18215173482894897, ""10"": 0.17488807439804077, ""30"": 0.17782838642597198, ""45"": 0.1827414333820343, ""65"": 0.18925213813781738, ""90"": 0.1996418982744217}",12.483416557312012,0.17488807439804077,0.22825661301612854,737856,0.2636542626062019,0.6633235232735695
timesfm3,boom_hourly,3,L3,block_depth,True,0.15,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.18167857825756073,"{""1e-05"": 0.2664605677127838, ""0.0001"": 0.26576927304267883, ""0.001"": 0.2660503685474396, ""0.01"": 0.26524198055267334, ""0.1"": 0.25763756036758423, ""0.3"": 0.24370300769805908, ""1"": 0.21776290237903595, ""3"": 0.19582127034664154, ""10"": 0.18256184458732605, ""30"": 0.18167857825756073, ""45"": 0.18437141180038452, ""65"": 0.18871307373046875, ""90"": 0.1969468891620636}","{""1e-05"": 0.2664605677127838, ""0.0001"": 0.26576927304267883, ""0.001"": 0.2660503685474396, ""0.01"": 0.26524198055267334, ""0.1"": 0.25763756036758423, ""0.3"": 0.24370300769805908, ""1"": 0.21776290237903595, ""3"": 0.19582127034664154, ""10"": 0.18256184458732605, ""30"": 0.18167857825756073, ""45"": 0.18437141180038452, ""65"": 0.18871307373046875, ""90"": 0.1969468891620636}",12.491986274719238,0.18167857825756073,0.23215587437152863,737856,0.2636542626062019,0.6890788582808489
timesfm3,boom_hourly,4,L4,block_depth,True,0.2,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.18369559943675995,"{""1e-05"": 0.2898048460483551, ""0.0001"": 0.29012906551361084, ""0.001"": 0.2895408570766449, ""0.01"": 0.28863605856895447, ""0.1"": 0.27942079305648804, ""0.3"": 0.2622095048427582, ""1"": 0.23073641955852509, ""3"": 0.20400841534137726, ""10"": 0.18783435225486755, ""30"": 0.18369559943675995, ""45"": 0.1850639134645462, ""65"": 0.18859867751598358, ""90"": 0.1950574368238449}","{""1e-05"": 0.2898048460483551, ""0.0001"": 0.29012906551361084, ""0.001"": 0.2895408570766449, ""0.01"": 0.28863605856895447, ""0.1"": 0.27942079305648804, ""0.3"": 0.2622095048427582, ""1"": 0.23073641955852509, ""3"": 0.20400841534137726, ""10"": 0.18783435225486755, ""30"": 0.18369559943675995, ""45"": 0.1850639134645462, ""65"": 0.18859867751598358, ""90"": 0.1950574368238449}",12.486594200134277,0.18369559943675995,0.2326786071062088,737856,0.2636542626062019,0.6967291088751733
timesfm3,boom_hourly,5,L5,block_depth,True,0.25,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.18446597456932068,"{""1e-05"": 0.31846240162849426, ""0.0001"": 0.3180091083049774, ""0.001"": 0.3174114227294922, ""0.01"": 0.31643664836883545, ""0.1"": 0.3048602044582367, ""0.3"": 0.28459659218788147, ""1"": 0.24618922173976898, ""3"": 0.2135782390832901, ""10"": 0.19144444167613983, ""30"": 0.18446597456932068, ""45"": 0.1848061978816986, ""65"": 0.18721014261245728, ""90"": 0.19262443482875824}","{""1e-05"": 0.31846240162849426, ""0.0001"": 0.3180091083049774, ""0.001"": 0.3174114227294922, ""0.01"": 0.31643664836883545, ""0.1"": 0.3048602044582367, ""0.3"": 0.28459659218788147, ""1"": 0.24618922173976898, ""3"": 0.2135782390832901, ""10"": 0.19144444167613983, ""30"": 0.18446597456932068, ""45"": 0.1848061978816986, ""65"": 0.18721014261245728, ""90"": 0.19262443482875824}",12.48287582397461,0.18446597456932068,0.23356802761554718,737856,0.2636542626062019,0.6996510230704744
timesfm3,boom_hourly,6,L6,block_depth,True,0.3,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.1869288682937622,"{""1e-05"": 0.35541313886642456, ""0.0001"": 0.3551526367664337, ""0.001"": 0.35576167702674866, ""0.01"": 0.35365432500839233, ""0.1"": 0.3394075036048889, ""0.3"": 0.3153797686100006, ""1"": 0.26746657490730286, ""3"": 0.2252061665058136, ""10"": 0.197993665933609, ""30"": 0.18784424662590027, ""45"": 0.1869288682937622, ""65"": 0.18852996826171875, ""90"": 0.19306761026382446}","{""1e-05"": 0.35541313886642456, ""0.0001"": 0.3551526367664337, ""0.001"": 0.35576167702674866, ""0.01"": 0.35365432500839233, ""0.1"": 0.3394075036048889, ""0.3"": 0.3153797686100006, ""1"": 0.26746657490730286, ""3"": 0.2252061665058136, ""10"": 0.197993665933609, ""30"": 0.18784424662590027, ""45"": 0.1869288682937622, ""65"": 0.18852996826171875, ""90"": 0.19306761026382446}",12.487017631530762,0.1869288682937622,0.23580725491046906,737856,0.2636542626062019,0.7089923995386416
timesfm3,boom_hourly,7,L7,block_depth,True,0.35,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.18800173699855804,"{""1e-05"": 0.36820948123931885, ""0.0001"": 0.3684989809989929, ""0.001"": 0.36849963665008545, ""0.01"": 0.36662861704826355, ""0.1"": 0.35141217708587646, ""0.3"": 0.32548999786376953, ""1"": 0.27406129240989685, ""3"": 0.22887247800827026, ""10"": 0.1998092383146286, ""30"": 0.1884952336549759, ""45"": 0.18800173699855804, ""65"": 0.1883753538131714, ""90"": 0.19224566221237183}","{""1e-05"": 0.36820948123931885, ""0.0001"": 0.3684989809989929, ""0.001"": 0.36849963665008545, ""0.01"": 0.36662861704826355, ""0.1"": 0.35141217708587646, ""0.3"": 0.32548999786376953, ""1"": 0.27406129240989685, ""3"": 0.22887247800827026, ""10"": 0.1998092383146286, ""30"": 0.1884952336549759, ""45"": 0.18800173699855804, ""65"": 0.1883753538131714, ""90"": 0.19224566221237183}",12.485260963439941,0.18800173699855804,0.23618032038211823,737856,0.2636542626062019,0.7130616252518563
timesfm3,boom_hourly,8,L8,block_depth,True,0.4,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.1856278032064438,"{""1e-05"": 0.3840227425098419, ""0.0001"": 0.3842998743057251, ""0.001"": 0.3838340640068054, ""0.01"": 0.38170620799064636, ""0.1"": 0.36435773968696594, ""0.3"": 0.3349357545375824, ""1"": 0.27613410353660583, ""3"": 0.22571279108524323, ""10"": 0.196448415517807, ""30"": 0.18631039559841156, ""45"": 0.1856278032064438, ""65"": 0.18688921630382538, ""90"": 0.19134993851184845}","{""1e-05"": 0.3840227425098419, ""0.0001"": 0.3842998743057251, ""0.001"": 0.3838340640068054, ""0.01"": 0.38170620799064636, ""0.1"": 0.36435773968696594, ""0.3"": 0.3349357545375824, ""1"": 0.27613410353660583, ""3"": 0.22571279108524323, ""10"": 0.196448415517807, ""30"": 0.18631039559841156, ""45"": 0.1856278032064438, ""65"": 0.18688921630382538, ""90"": 0.19134993851184845}",12.484338760375977,0.1856278032064438,0.23431599140167236,737856,0.2636542626062019,0.7040576601020115
timesfm3,boom_hourly,9,L9,block_depth,True,0.45,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.18701089918613434,"{""1e-05"": 0.37590062618255615, ""0.0001"": 0.37515464425086975, ""0.001"": 0.3750423789024353, ""0.01"": 0.3738993704319, ""0.1"": 0.35788556933403015, ""0.3"": 0.32968953251838684, ""1"": 0.2754703760147095, ""3"": 0.22890649735927582, ""10"": 0.19896948337554932, ""30"": 0.18801407516002655, ""45"": 0.18701089918613434, ""65"": 0.18814991414546967, ""90"": 0.19273145496845245}","{""1e-05"": 0.37590062618255615, ""0.0001"": 0.37515464425086975, ""0.001"": 0.3750423789024353, ""0.01"": 0.3738993704319, ""0.1"": 0.35788556933403015, ""0.3"": 0.32968953251838684, ""1"": 0.2754703760147095, ""3"": 0.22890649735927582, ""10"": 0.19896948337554932, ""30"": 0.18801407516002655, ""45"": 0.18701089918613434, ""65"": 0.18814991414546967, ""90"": 0.19273145496845245}",12.483114242553711,0.18701089918613434,0.23579005897045135,737856,0.2636542626062019,0.7093035300758885
