model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,coastal_ts,0,Emb,block_depth,True,0.0,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.32936516404151917,"{""1e-05"": 0.3582609295845032, ""0.0001"": 0.35802432894706726, ""0.001"": 0.35916823148727417, ""0.01"": 0.3586573600769043, ""0.1"": 0.3553914427757263, ""0.3"": 0.3523949980735779, ""1"": 0.34463489055633545, ""3"": 0.33873414993286133, ""10"": 0.33507782220840454, ""30"": 0.33255088329315186, ""45"": 0.3306122124195099, ""65"": 0.3295600414276123, ""90"": 0.32936516404151917}","{""1e-05"": 0.3582609295845032, ""0.0001"": 0.35802432894706726, ""0.001"": 0.35916823148727417, ""0.01"": 0.3586573600769043, ""0.1"": 0.3553914427757263, ""0.3"": 0.3523949980735779, ""1"": 0.34463489055633545, ""3"": 0.33873414993286133, ""10"": 0.33507782220840454, ""30"": 0.33255088329315186, ""45"": 0.3306122124195099, ""65"": 0.3295600414276123, ""90"": 0.32936516404151917}",3.779470205307007,0.32936516404151917,0.2989047169685364,737856,0.45682604673008126,0.7209859560309326
timesfm3,coastal_ts,1,L1,block_depth,True,0.05,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.3398021161556244,"{""1e-05"": 0.40997225046157837, ""0.0001"": 0.4091527462005615, ""0.001"": 0.4108005464076996, ""0.01"": 0.40976423025131226, ""0.1"": 0.4047795534133911, ""0.3"": 0.39659056067466736, ""1"": 0.3814173638820648, ""3"": 0.3678893446922302, ""10"": 0.3523321747779846, ""30"": 0.34278762340545654, ""45"": 0.34013789892196655, ""65"": 0.3398021161556244, ""90"": 0.34089896082878113}","{""1e-05"": 0.40997225046157837, ""0.0001"": 0.4091527462005615, ""0.001"": 0.4108005464076996, ""0.01"": 0.40976423025131226, ""0.1"": 0.4047795534133911, ""0.3"": 0.39659056067466736, ""1"": 0.3814173638820648, ""3"": 0.3678893446922302, ""10"": 0.3523321747779846, ""30"": 0.34278762340545654, ""45"": 0.34013789892196655, ""65"": 0.3398021161556244, ""90"": 0.34089896082878113}",3.7655556201934814,0.3398021161556244,0.30800896883010864,737856,0.45682604673008126,0.7438326220404826
timesfm3,coastal_ts,2,L2,block_depth,True,0.1,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.3375834822654724,"{""1e-05"": 0.4696575105190277, ""0.0001"": 0.4697806239128113, ""0.001"": 0.4703390300273895, ""0.01"": 0.46821969747543335, ""0.1"": 0.459499716758728, ""0.3"": 0.4443701505661011, ""1"": 0.41437309980392456, ""3"": 0.38453182578086853, ""10"": 0.3603048026561737, ""30"": 0.34400296211242676, ""45"": 0.34003815054893494, ""65"": 0.3375834822654724, ""90"": 0.3386760950088501}","{""1e-05"": 0.4696575105190277, ""0.0001"": 0.4697806239128113, ""0.001"": 0.4703390300273895, ""0.01"": 0.46821969747543335, ""0.1"": 0.459499716758728, ""0.3"": 0.4443701505661011, ""1"": 0.41437309980392456, ""3"": 0.38453182578086853, ""10"": 0.3603048026561737, ""30"": 0.34400296211242676, ""45"": 0.34003815054893494, ""65"": 0.3375834822654724, ""90"": 0.3386760950088501}",3.7505300045013428,0.3375834822654724,0.30328381061553955,737856,0.45682604673008126,0.7389759946523712
timesfm3,coastal_ts,3,L3,block_depth,True,0.15,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.34066909551620483,"{""1e-05"": 0.5108296275138855, ""0.0001"": 0.5112602114677429, ""0.001"": 0.5108523368835449, ""0.01"": 0.5103785991668701, ""0.1"": 0.4974653720855713, ""0.3"": 0.4767816960811615, ""1"": 0.4364505410194397, ""3"": 0.3966519236564636, ""10"": 0.3643680512905121, ""30"": 0.34531649947166443, ""45"": 0.34206506609916687, ""65"": 0.34066909551620483, ""90"": 0.34193843603134155}","{""1e-05"": 0.5108296275138855, ""0.0001"": 0.5112602114677429, ""0.001"": 0.5108523368835449, ""0.01"": 0.5103785991668701, ""0.1"": 0.4974653720855713, ""0.3"": 0.4767816960811615, ""1"": 0.4364505410194397, ""3"": 0.3966519236564636, ""10"": 0.3643680512905121, ""30"": 0.34531649947166443, ""45"": 0.34206506609916687, ""65"": 0.34066909551620483, ""90"": 0.34193843603134155}",3.744706392288208,0.34066909551620483,0.31700214743614197,737856,0.45682604673008126,0.7457304546329677
timesfm3,coastal_ts,4,L4,block_depth,True,0.2,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.33247968554496765,"{""1e-05"": 0.50855952501297, ""0.0001"": 0.507733941078186, ""0.001"": 0.5085549354553223, ""0.01"": 0.5074756145477295, ""0.1"": 0.49344754219055176, ""0.3"": 0.4683319926261902, ""1"": 0.4238027036190033, ""3"": 0.3878483772277832, ""10"": 0.35935527086257935, ""30"": 0.34007471799850464, ""45"": 0.3350764214992523, ""65"": 0.33247968554496765, ""90"": 0.33257824182510376}","{""1e-05"": 0.50855952501297, ""0.0001"": 0.507733941078186, ""0.001"": 0.5085549354553223, ""0.01"": 0.5074756145477295, ""0.1"": 0.49344754219055176, ""0.3"": 0.4683319926261902, ""1"": 0.4238027036190033, ""3"": 0.3878483772277832, ""10"": 0.35935527086257935, ""30"": 0.34007471799850464, ""45"": 0.3350764214992523, ""65"": 0.33247968554496765, ""90"": 0.33257824182510376}",3.7417171001434326,0.33247968554496765,0.3138813376426697,737856,0.45682604673008126,0.7278036966692828
timesfm3,coastal_ts,5,L5,block_depth,True,0.25,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.32580792903900146,"{""1e-05"": 0.4865548014640808, ""0.0001"": 0.4875316619873047, ""0.001"": 0.48705849051475525, ""0.01"": 0.48508286476135254, ""0.1"": 0.4706850051879883, ""0.3"": 0.4466690719127655, ""1"": 0.40409907698631287, ""3"": 0.36850810050964355, ""10"": 0.3435763716697693, ""30"": 0.3303256630897522, ""45"": 0.3276388347148895, ""65"": 0.32580792903900146, ""90"": 0.3266500234603882}","{""1e-05"": 0.4865548014640808, ""0.0001"": 0.4875316619873047, ""0.001"": 0.48705849051475525, ""0.01"": 0.48508286476135254, ""0.1"": 0.4706850051879883, ""0.3"": 0.4466690719127655, ""1"": 0.40409907698631287, ""3"": 0.36850810050964355, ""10"": 0.3435763716697693, ""30"": 0.3303256630897522, ""45"": 0.3276388347148895, ""65"": 0.32580792903900146, ""90"": 0.3266500234603882}",3.740403175354004,0.32580792903900146,0.30562329292297363,737856,0.45682604673008126,0.7131991079998713
timesfm3,coastal_ts,6,L6,block_depth,True,0.3,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.32193854451179504,"{""1e-05"": 0.529914379119873, ""0.0001"": 0.530173122882843, ""0.001"": 0.530404806137085, ""0.01"": 0.5289931297302246, ""0.1"": 0.5118229389190674, ""0.3"": 0.48078203201293945, ""1"": 0.42297500371932983, ""3"": 0.3726383149623871, ""10"": 0.3409143388271332, ""30"": 0.32703661918640137, ""45"": 0.3234863877296448, ""65"": 0.32193854451179504, ""90"": 0.3227209448814392}","{""1e-05"": 0.529914379119873, ""0.0001"": 0.530173122882843, ""0.001"": 0.530404806137085, ""0.01"": 0.5289931297302246, ""0.1"": 0.5118229389190674, ""0.3"": 0.48078203201293945, ""1"": 0.42297500371932983, ""3"": 0.3726383149623871, ""10"": 0.3409143388271332, ""30"": 0.32703661918640137, ""45"": 0.3234863877296448, ""65"": 0.32193854451179504, ""90"": 0.3227209448814392}",3.7432663440704346,0.32193854451179504,0.3113839626312256,737856,0.45682604673008126,0.7047289593406538
timesfm3,coastal_ts,7,L7,block_depth,True,0.35,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.31914374232292175,"{""1e-05"": 0.5556554198265076, ""0.0001"": 0.5558871626853943, ""0.001"": 0.5553590059280396, ""0.01"": 0.5544619560241699, ""0.1"": 0.5353410243988037, ""0.3"": 0.5033465623855591, ""1"": 0.44227051734924316, ""3"": 0.3887403905391693, ""10"": 0.3508128523826599, ""30"": 0.33001908659935, ""45"": 0.3239336609840393, ""65"": 0.3199625015258789, ""90"": 0.31914374232292175}","{""1e-05"": 0.5556554198265076, ""0.0001"": 0.5558871626853943, ""0.001"": 0.5553590059280396, ""0.01"": 0.5544619560241699, ""0.1"": 0.5353410243988037, ""0.3"": 0.5033465623855591, ""1"": 0.44227051734924316, ""3"": 0.3887403905391693, ""10"": 0.3508128523826599, ""30"": 0.33001908659935, ""45"": 0.3239336609840393, ""65"": 0.3199625015258789, ""90"": 0.31914374232292175}",3.7580671310424805,0.31914374232292175,0.31144410371780396,737856,0.45682604673008126,0.6986110897295005
timesfm3,coastal_ts,8,L8,block_depth,True,0.4,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.31661257147789,"{""1e-05"": 0.5737414360046387, ""0.0001"": 0.5744844675064087, ""0.001"": 0.5742096900939941, ""0.01"": 0.5717805624008179, ""0.1"": 0.5537204146385193, ""0.3"": 0.5205814242362976, ""1"": 0.4528757333755493, ""3"": 0.38941165804862976, ""10"": 0.34499025344848633, ""30"": 0.32450544834136963, ""45"": 0.3195644021034241, ""65"": 0.31661257147789, ""90"": 0.31694602966308594}","{""1e-05"": 0.5737414360046387, ""0.0001"": 0.5744844675064087, ""0.001"": 0.5742096900939941, ""0.01"": 0.5717805624008179, ""0.1"": 0.5537204146385193, ""0.3"": 0.5205814242362976, ""1"": 0.4528757333755493, ""3"": 0.38941165804862976, ""10"": 0.34499025344848633, ""30"": 0.32450544834136963, ""45"": 0.3195644021034241, ""65"": 0.31661257147789, ""90"": 0.31694602966308594}",3.7418508529663086,0.31661257147789,0.30754023790359497,737856,0.45682604673008126,0.6930703136219435
timesfm3,coastal_ts,9,L9,block_depth,True,0.45,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.3180450201034546,"{""1e-05"": 0.5854318737983704, ""0.0001"": 0.5860233306884766, ""0.001"": 0.5854549407958984, ""0.01"": 0.5840256214141846, ""0.1"": 0.5629526972770691, ""0.3"": 0.527310311794281, ""1"": 0.45751023292541504, ""3"": 0.39230188727378845, ""10"": 0.34635767340660095, ""30"": 0.3250283896923065, ""45"": 0.32108545303344727, ""65"": 0.3180450201034546, ""90"": 0.3186444938182831}","{""1e-05"": 0.5854318737983704, ""0.0001"": 0.5860233306884766, ""0.001"": 0.5854549407958984, ""0.01"": 0.5840256214141846, ""0.1"": 0.5629526972770691, ""0.3"": 0.527310311794281, ""1"": 0.45751023292541504, ""3"": 0.39230188727378845, ""10"": 0.34635767340660095, ""30"": 0.3250283896923065, ""45"": 0.32108545303344727, ""65"": 0.3180450201034546, ""90"": 0.3186444938182831}",3.7413570880889893,0.3180450201034546,0.3103278577327728,737856,0.45682604673008126,0.6962059680703224
timesfm3,coastal_ts,10,L10,block_depth,True,0.5,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.3170508146286011,"{""1e-05"": 0.5747592449188232, ""0.0001"": 0.5747888088226318, ""0.001"": 0.5741713047027588, ""0.01"": 0.5719162821769714, ""0.1"": 0.55143141746521, ""0.3"": 0.5145951509475708, ""1"": 0.4472835063934326, ""3"": 0.38612276315689087, ""10"": 0.3429396152496338, ""30"": 0.3225633203983307, ""45"": 0.31838512420654297, ""65"": 0.3170508146286011, ""90"": 0.31760168075561523}","{""1e-05"": 0.5747592449188232, ""0.0001"": 0.5747888088226318, ""0.001"": 0.5741713047027588, ""0.01"": 0.5719162821769714, ""0.1"": 0.55143141746521, ""0.3"": 0.5145951509475708, ""1"": 0.4472835063934326, ""3"": 0.38612276315689087, ""10"": 0.3429396152496338, ""30"": 0.3225633203983307, ""45"": 0.31838512420654297, ""65"": 0.3170508146286011, ""90"": 0.31760168075561523}",3.7404463291168213,0.3170508146286011,0.3094835877418518,737856,0.45682604673008126,0.69402963534593
timesfm3,coastal_ts,11,L11,block_depth,True,0.55,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.31283801794052124,"{""1e-05"": 0.587986946105957, ""0.0001"": 0.5877329707145691, ""0.001"": 0.5876030921936035, ""0.01"": 0.5854482054710388, ""0.1"": 0.5602700114250183, ""0.3"": 0.5191820859909058, ""1"": 0.44376254081726074, ""3"": 0.379987895488739, ""10"": 0.3367515802383423, ""30"": 0.31611984968185425, ""45"": 0.31290170550346375, ""65"": 0.31283801794052124, ""90"": 0.3138483166694641}","{""1e-05"": 0.587986946105957, ""0.0001"": 0.5877329707145691, ""0.001"": 0.5876030921936035, ""0.01"": 0.5854482054710388, ""0.1"": 0.5602700114250183, ""0.3"": 0.5191820859909058, ""1"": 0.44376254081726074, ""3"": 0.379987895488739, ""10"": 0.3367515802383423, ""30"": 0.31611984968185425, ""45"": 0.31290170550346375, ""65"": 0.31283801794052124, ""90"": 0.3138483166694641}",3.7401483058929443,0.31283801794052124,0.31207332015037537,737856,0.45682604673008126,0.6848077516152744
