model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,electricity_15min,Electricity 15min,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.22082006931304932,0.279994398355484,0.2593005299568176,1.6678888906444478,1.2692374880316275,0.6678888906444478,0.2692374880316275,3.0,False,False,737856,False,False,False,False,False,False,False,False,0.2593005214824931,0.239291613603025,0.2824584223841893,-0.055004217270903905,-0.0661835095798952,-0.04434678856717095,1.7355821496970003,1.5676319659391025,1.9152033584679358,-0.3816923717499501,-0.459684717065058,-0.30479526056565404,121.23061167115866,69.5019790697685,184.53281461799656,-33.26670450636479,-62.16152771429812,-10.212281572009703,1.5183918750119025,1.3003453720275753,1.7881404932186598,-0.4124729468161219,-0.6257653054094813,-0.13187986422341644,1.7355821496970003,121.23061167115866,1.5183918750119025
timesfm3,electricity_15min,Electricity 15min,1,L1,block,block_depth,True,1,0.05,0.05,True,False,False,0.13080202043056488,0.1623031347990036,0.2065628319978714,0.9668178972078508,1.0110943084047643,0.026089221166855303,0.015766267960399594,10.0,False,False,737856,False,False,True,True,True,True,True,True,0.2065628279028958,0.18891742337061418,0.22700194756194722,-0.002266523691306588,-0.010416649336720462,0.006077683369366042,1.335715535962795,1.1838199486288385,1.5035950040621875,0.018174241984255213,-0.01811534434877066,0.054014007816740914,92.46176978743766,48.78027645450527,152.51033158468917,-4.497862622643794,-14.375126595965812,2.4988038211342385,1.1905710456111185,0.8672904251905698,1.7658680548406018,-0.08465211741533785,-0.2215695524262611,0.03537070270009021,1.335715535962795,92.46176978743766,1.1905710456111185
timesfm3,electricity_15min,Electricity 15min,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.12723931670188904,0.16460692882537842,0.2030576765537262,0.9805412876952746,0.9939370943727369,0.026089221166855303,0.015766267960399594,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.20305767533092098,0.18587929861342803,0.2227820558416593,0.0012386288806682244,-0.0056493866044089736,0.008765825093546098,1.3455582143536817,1.1908106587451321,1.5175148429473035,0.008331563593368507,-0.02390204488788214,0.04185121187472855,93.92986050197167,49.73037222636878,152.27526565824448,-5.965953337177808,-14.675139568152275,0.9596751430319413,1.1930534266279953,0.917916265832567,1.6714427282344113,-0.08713449843221466,-0.15472750743225416,0.02199013210965217,1.3455582143536817,93.92986050197167,1.1930534266279953
timesfm3,electricity_15min,Electricity 15min,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.12742677330970764,0.1640763282775879,0.2022179812192917,0.9773805717515717,0.9898269107291978,0.026089221166855303,0.015766267960399594,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.20221798168850763,0.18501420486825054,0.22195909753697746,0.0020783225230815716,-0.004964680688896465,0.009654690718050784,1.3352423760829644,1.177795368712052,1.506965707394331,0.018647401864085866,-0.014358867041777263,0.05109121369540183,93.34213075455392,48.711418355192535,152.59654851609778,-5.378223589760054,-15.593445955323876,2.0512203857325346,1.1736942902935064,0.8962353183433646,1.6527826777392904,-0.06777536209772572,-0.1363173738425913,0.03878096415126722,1.3352423760829644,93.34213075455392,1.1736942902935064
timesfm3,electricity_15min,Electricity 15min,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.1383199691772461,0.1625678688287735,0.2014816552400589,0.9683948821397713,0.9862227046891658,0.026089221166855303,0.015766267960399594,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.2014816635437594,0.18375775949773557,0.22179772197233355,0.0028146406678297986,-0.0033499399182308582,0.009117076732573724,1.340525229502557,1.1840655815036374,1.5127264585423872,0.013364548444493307,-0.01743316457242553,0.04355377497379122,91.06238797808167,48.961875708033354,146.01858099011477,-3.0984808132878072,-8.860791089567096,1.5505933240059877,1.1408361565995662,0.8774584091233563,1.5908996262668054,-0.03491722840378553,-0.09168697506506443,0.046261484972910764,1.340525229502557,91.06238797808167,1.1408361565995662
timesfm3,electricity_15min,Electricity 15min,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.13030418753623962,0.16332072019577026,0.20725832879543304,0.9728795162563659,1.014498661679392,0.026089221166855303,0.015766267960399594,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.20725834295722365,0.18971346976192854,0.22708145288238657,-0.0029620387456344432,-0.009455794411291952,0.0036726926499622307,1.3477984757760166,1.187344953037764,1.5236975931583017,0.006091302171033597,-0.02775337354541413,0.03793216445777476,91.5169480739015,49.0050520081103,147.36370532374147,-3.5530409091076365,-11.451922717813682,1.5952645907428837,1.1781658439125842,0.9221785151968027,1.6105387046444235,-0.07224691571680353,-0.13673188261941843,0.004156886674385643,1.3477984757760166,91.5169480739015,1.1781658439125842
timesfm3,electricity_15min,Electricity 15min,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.12513774633407593,0.16890329122543335,0.2072802484035492,1.0061341394070302,1.0146059548976072,0.026089221166855303,0.015766267960399594,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.20728024459294692,0.1893441794571673,0.22768153914549025,-0.0029839403813577137,-0.009456529879928302,0.0037962792078672903,1.3433321530011408,1.1865900642991014,1.5176453641090057,0.010557624945909394,-0.021789397929358117,0.042160938515200724,91.7057698476962,48.62696719028391,149.27076063130028,-3.7418626829023367,-11.859924336065927,2.297746062944083,1.1751825651416254,0.8938837029654937,1.6544096754866253,-0.06926363694584481,-0.1265487054438072,0.014070316947611143,1.3433321530011408,91.7057698476962,1.1751825651416254
timesfm3,electricity_15min,Electricity 15min,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.13575495779514313,0.17134137451648712,0.20244307816028595,1.0206574729433378,0.9909287267416785,0.026089221166855303,0.015766267960399594,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.20244307725029137,0.18449653470177801,0.22280174926250373,0.0018532269612978325,-0.003772534441401946,0.008029454099085493,1.343955979072702,1.1862413942924375,1.5187336562675928,0.009933798874348199,-0.01965173218699524,0.040210748597267594,92.14105239798232,49.04967272433933,148.58093705676865,-4.177145233188455,-12.821781669017952,1.490950273574458,1.1589744253699645,0.9038836775703107,1.5880264992448927,-0.0530554971741839,-0.11802037122713631,0.028350880267907247,1.343955979072702,92.14105239798232,1.1589744253699645
timesfm3,electricity_15min,Electricity 15min,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.12180820107460022,0.17107772827148438,0.20743179321289062,1.019086967798653,1.0153477441764982,0.026089221166855303,0.015766267960399594,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.20743178812260846,0.1892907914303897,0.2279932830749321,-0.0031354839110192545,-0.009435592460950838,0.003739221304128993,1.3514049908759853,1.1930435536574937,1.5286191404668392,0.00248478707106492,-0.02891016565207725,0.03443833456974995,92.95246456135521,49.24181921014623,150.96156333388052,-4.9885573965613474,-15.352001708753289,1.8684277985741966,1.16992006809762,0.9066565180641265,1.6115383776827437,-0.06400113990183942,-0.11567756734880642,0.005043296093926728,1.3514049908759853,92.95246456135521,1.16992006809762
timesfm3,electricity_15min,Electricity 15min,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.13361917436122894,0.17207001149654388,0.2017403095960617,1.0249978652207805,0.9874887792518986,0.026089221166855303,0.015766267960399594,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.20174030999418432,0.18347633440751326,0.22235867501243603,0.0025559942174048778,-0.002910337358258155,0.008631007689698262,1.3472616424615722,1.1846443672982374,1.527930490707936,0.006628135485478026,-0.023855980047606716,0.03683821030508953,93.00554648840055,49.33058216666178,151.2138645256734,-5.041639323606688,-15.535346318104343,1.7670485009577197,1.1456094474876466,0.8776946203959539,1.5953230189144538,-0.039690519291865956,-0.09046673296098415,0.029794776977262405,1.3472616424615722,93.00554648840055,1.1456094474876466
