model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,m5,0,Emb,block_depth,True,0.0,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2861891984939575,"{""1e-05"": 0.3035711944103241, ""0.0001"": 0.3040032684803009, ""0.001"": 0.30382469296455383, ""0.01"": 0.3037879168987274, ""0.1"": 0.3026428818702698, ""0.3"": 0.3007006347179413, ""1"": 0.2962455153465271, ""3"": 0.2924358546733856, ""10"": 0.28902435302734375, ""30"": 0.28751739859580994, ""45"": 0.2862898111343384, ""65"": 0.2861891984939575, ""90"": 0.2880373001098633}","{""1e-05"": 0.3035711944103241, ""0.0001"": 0.3040032684803009, ""0.001"": 0.30382469296455383, ""0.01"": 0.3037879168987274, ""0.1"": 0.3026428818702698, ""0.3"": 0.3007006347179413, ""1"": 0.2962455153465271, ""3"": 0.2924358546733856, ""10"": 0.28902435302734375, ""30"": 0.28751739859580994, ""45"": 0.2862898111343384, ""65"": 0.2861891984939575, ""90"": 0.2880373001098633}",0.26018205285072327,0.2861891984939575,0.3018242120742798,737856,0.2818191304006649,1.015506641039874
timesfm3,m5,1,L1,block_depth,True,0.05,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.28021690249443054,"{""1e-05"": 0.32123664021492004, ""0.0001"": 0.32108089327812195, ""0.001"": 0.32111650705337524, ""0.01"": 0.32078617811203003, ""0.1"": 0.31711286306381226, ""0.3"": 0.31124335527420044, ""1"": 0.3013473451137543, ""3"": 0.2920700013637543, ""10"": 0.28481537103652954, ""30"": 0.2808174788951874, ""45"": 0.28021690249443054, ""65"": 0.28123781085014343, ""90"": 0.2826579213142395}","{""1e-05"": 0.32123664021492004, ""0.0001"": 0.32108089327812195, ""0.001"": 0.32111650705337524, ""0.01"": 0.32078617811203003, ""0.1"": 0.31711286306381226, ""0.3"": 0.31124335527420044, ""1"": 0.3013473451137543, ""3"": 0.2920700013637543, ""10"": 0.28481537103652954, ""30"": 0.2808174788951874, ""45"": 0.28021690249443054, ""65"": 0.28123781085014343, ""90"": 0.2826579213142395}",0.24661020934581757,0.28021690249443054,0.2954966723918915,737856,0.2818191304006649,0.9943146943078119
timesfm3,m5,2,L2,block_depth,True,0.1,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2786042392253876,"{""1e-05"": 0.365387886762619, ""0.0001"": 0.36546218395233154, ""0.001"": 0.3655267357826233, ""0.01"": 0.36526671051979065, ""0.1"": 0.3573427200317383, ""0.3"": 0.3448162078857422, ""1"": 0.32164466381073, ""3"": 0.30212855339050293, ""10"": 0.28817668557167053, ""30"": 0.2808746099472046, ""45"": 0.27879589796066284, ""65"": 0.2786042392253876, ""90"": 0.2799370586872101}","{""1e-05"": 0.365387886762619, ""0.0001"": 0.36546218395233154, ""0.001"": 0.3655267357826233, ""0.01"": 0.36526671051979065, ""0.1"": 0.3573427200317383, ""0.3"": 0.3448162078857422, ""1"": 0.32164466381073, ""3"": 0.30212855339050293, ""10"": 0.28817668557167053, ""30"": 0.2808746099472046, ""45"": 0.27879589796066284, ""65"": 0.2786042392253876, ""90"": 0.2799370586872101}",0.24169085919857025,0.2786042392253876,0.2945881485939026,737856,0.2818191304006649,0.9885923600335197
timesfm3,m5,3,L3,block_depth,True,0.15,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2778880298137665,"{""1e-05"": 0.4054381251335144, ""0.0001"": 0.4057846665382385, ""0.001"": 0.4053698182106018, ""0.01"": 0.40436941385269165, ""0.1"": 0.3938961625099182, ""0.3"": 0.3760351836681366, ""1"": 0.34288614988327026, ""3"": 0.31342512369155884, ""10"": 0.2927309572696686, ""30"": 0.28197479248046875, ""45"": 0.27938875555992126, ""65"": 0.2778880298137665, ""90"": 0.27876219153404236}","{""1e-05"": 0.4054381251335144, ""0.0001"": 0.4057846665382385, ""0.001"": 0.4053698182106018, ""0.01"": 0.40436941385269165, ""0.1"": 0.3938961625099182, ""0.3"": 0.3760351836681366, ""1"": 0.34288614988327026, ""3"": 0.31342512369155884, ""10"": 0.2927309572696686, ""30"": 0.28197479248046875, ""45"": 0.27938875555992126, ""65"": 0.2778880298137665, ""90"": 0.27876219153404236}",0.23594772815704346,0.2778880298137665,0.2934538424015045,737856,0.2818191304006649,0.9860509803528612
timesfm3,m5,4,L4,block_depth,True,0.2,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.2779224216938019,"{""1e-05"": 0.42535319924354553, ""0.0001"": 0.42558178305625916, ""0.001"": 0.4251001179218292, ""0.01"": 0.42432600259780884, ""0.1"": 0.4122041165828705, ""0.3"": 0.39128437638282776, ""1"": 0.3518316149711609, ""3"": 0.31805914640426636, ""10"": 0.2952363193035126, ""30"": 0.28266075253486633, ""45"": 0.27982568740844727, ""65"": 0.2780744135379791, ""90"": 0.2779224216938019}","{""1e-05"": 0.42535319924354553, ""0.0001"": 0.42558178305625916, ""0.001"": 0.4251001179218292, ""0.01"": 0.42432600259780884, ""0.1"": 0.4122041165828705, ""0.3"": 0.39128437638282776, ""1"": 0.3518316149711609, ""3"": 0.31805914640426636, ""10"": 0.2952363193035126, ""30"": 0.28266075253486633, ""45"": 0.27982568740844727, ""65"": 0.2780744135379791, ""90"": 0.2779224216938019}",0.23977899551391602,0.2779224216938019,0.2935066819190979,737856,0.2818191304006649,0.9861730156454495
timesfm3,m5,5,L5,block_depth,True,0.25,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.27912193536758423,"{""1e-05"": 0.4425559937953949, ""0.0001"": 0.44251665472984314, ""0.001"": 0.4423811733722687, ""0.01"": 0.44092679023742676, ""0.1"": 0.42808958888053894, ""0.3"": 0.40468892455101013, ""1"": 0.36109715700149536, ""3"": 0.3229008913040161, ""10"": 0.29726678133010864, ""30"": 0.28389430046081543, ""45"": 0.28113853931427, ""65"": 0.27937155961990356, ""90"": 0.27912193536758423}","{""1e-05"": 0.4425559937953949, ""0.0001"": 0.44251665472984314, ""0.001"": 0.4423811733722687, ""0.01"": 0.44092679023742676, ""0.1"": 0.42808958888053894, ""0.3"": 0.40468892455101013, ""1"": 0.36109715700149536, ""3"": 0.3229008913040161, ""10"": 0.29726678133010864, ""30"": 0.28389430046081543, ""45"": 0.28113853931427, ""65"": 0.27937155961990356, ""90"": 0.27912193536758423}",0.2406960427761078,0.27912193536758423,0.29379549622535706,737856,0.2818191304006649,0.9904293401613792
timesfm3,m5,6,L6,block_depth,True,0.3,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2788306176662445,"{""1e-05"": 0.4444306492805481, ""0.0001"": 0.4434671103954315, ""0.001"": 0.44368085265159607, ""0.01"": 0.4420861601829529, ""0.1"": 0.4287363290786743, ""0.3"": 0.4054071009159088, ""1"": 0.36028754711151123, ""3"": 0.321691632270813, ""10"": 0.2963204085826874, ""30"": 0.28332093358039856, ""45"": 0.280297189950943, ""65"": 0.2788306176662445, ""90"": 0.2797555923461914}","{""1e-05"": 0.4444306492805481, ""0.0001"": 0.4434671103954315, ""0.001"": 0.44368085265159607, ""0.01"": 0.4420861601829529, ""0.1"": 0.4287363290786743, ""0.3"": 0.4054071009159088, ""1"": 0.36028754711151123, ""3"": 0.321691632270813, ""10"": 0.2963204085826874, ""30"": 0.28332093358039856, ""45"": 0.280297189950943, ""65"": 0.2788306176662445, ""90"": 0.2797555923461914}",0.23470839858055115,0.2788306176662445,0.2930832505226135,737856,0.2818191304006649,0.9893956356682685
timesfm3,m5,7,L7,block_depth,True,0.35,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.27919870615005493,"{""1e-05"": 0.46378886699676514, ""0.0001"": 0.46369001269340515, ""0.001"": 0.46338343620300293, ""0.01"": 0.4622448682785034, ""0.1"": 0.4470064043998718, ""0.3"": 0.42053887248039246, ""1"": 0.36948204040527344, ""3"": 0.32623395323753357, ""10"": 0.29767340421676636, ""30"": 0.2838802635669708, ""45"": 0.2803761065006256, ""65"": 0.27923280000686646, ""90"": 0.27919870615005493}","{""1e-05"": 0.46378886699676514, ""0.0001"": 0.46369001269340515, ""0.001"": 0.46338343620300293, ""0.01"": 0.4622448682785034, ""0.1"": 0.4470064043998718, ""0.3"": 0.42053887248039246, ""1"": 0.36948204040527344, ""3"": 0.32623395323753357, ""10"": 0.29767340421676636, ""30"": 0.2838802635669708, ""45"": 0.2803761065006256, ""65"": 0.27923280000686646, ""90"": 0.27919870615005493}",0.23988434672355652,0.27919870615005493,0.2931750416755676,737856,0.2818191304006649,0.9907017516983871
timesfm3,m5,8,L8,block_depth,True,0.4,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.27894556522369385,"{""1e-05"": 0.4704185724258423, ""0.0001"": 0.470673531293869, ""0.001"": 0.4705387353897095, ""0.01"": 0.4686925411224365, ""0.1"": 0.4527948498725891, ""0.3"": 0.4257020354270935, ""1"": 0.3715980350971222, ""3"": 0.3263113498687744, ""10"": 0.29766204953193665, ""30"": 0.28379306197166443, ""45"": 0.2806430757045746, ""65"": 0.27901098132133484, ""90"": 0.27894556522369385}","{""1e-05"": 0.4704185724258423, ""0.0001"": 0.470673531293869, ""0.001"": 0.4705387353897095, ""0.01"": 0.4686925411224365, ""0.1"": 0.4527948498725891, ""0.3"": 0.4257020354270935, ""1"": 0.3715980350971222, ""3"": 0.3263113498687744, ""10"": 0.29766204953193665, ""30"": 0.28379306197166443, ""45"": 0.2806430757045746, ""65"": 0.27901098132133484, ""90"": 0.27894556522369385}",0.2402358055114746,0.27894556522369385,0.2928287386894226,737856,0.2818191304006649,0.9898035127250386
timesfm3,m5,9,L9,block_depth,True,0.45,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2791648507118225,"{""1e-05"": 0.46946313977241516, ""0.0001"": 0.4697883725166321, ""0.001"": 0.4690530598163605, ""0.01"": 0.4675615131855011, ""0.1"": 0.451894611120224, ""0.3"": 0.4243600070476532, ""1"": 0.3718378245830536, ""3"": 0.3270556926727295, ""10"": 0.2971588671207428, ""30"": 0.283243328332901, ""45"": 0.28058144450187683, ""65"": 0.2791648507118225, ""90"": 0.2796846926212311}","{""1e-05"": 0.46946313977241516, ""0.0001"": 0.4697883725166321, ""0.001"": 0.4690530598163605, ""0.01"": 0.4675615131855011, ""0.1"": 0.451894611120224, ""0.3"": 0.4243600070476532, ""1"": 0.3718378245830536, ""3"": 0.3270556926727295, ""10"": 0.2971588671207428, ""30"": 0.283243328332901, ""45"": 0.28058144450187683, ""65"": 0.2791648507118225, ""90"": 0.2796846926212311}",0.23486271500587463,0.2791648507118225,0.2929475009441376,737856,0.2818191304006649,0.9905816199025638
