model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,monash_electricity_hourly,Electricity,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.15471138060092926,0.21712997555732727,0.20099397003650665,1.6506322798960005,1.1896425906620594,0.6506322798960005,0.18964259066205935,3.0,False,False,737856,False,False,False,False,False,False,False,False,0.20099397461491686,0.1910970355796393,0.21193387328455124,-0.03204073491044171,-0.03831791279958347,-0.026204238502834817,1.2760111027042427,1.2241197671311947,1.3328279895240747,-0.17940937534718238,-0.21182040549000886,-0.14789593562404577,319.1981325095184,192.29868094880933,501.3074803257593,-53.42699358106421,-95.54517211224221,-25.698557080875233,0.9748501795377806,0.9018276157669743,1.0610301784534186,-0.18090306596653027,-0.22170377015802015,-0.13875505319214476,1.2760111027042427,319.1981325095184,0.9748501795377806
timesfm3,monash_electricity_hourly,Electricity,1,L1,block,block_depth,True,1,0.05,0.05,False,False,False,0.11893437057733536,0.14039668440818787,0.16933809220790863,1.0673021939033973,1.0022778627408437,0.3805581634974131,0.04460772640599164,1.0,False,False,737856,False,False,False,False,False,False,False,True,0.16933808430233074,0.16029058166047316,0.17954844386807378,-0.00038484459785559366,-0.00514298929185927,0.004174955537585371,1.1024204105498097,1.053782226986294,1.1572258967192177,-0.005818683192749363,-0.031901954157026964,0.020853824556344772,271.1406601682446,170.44504537051236,410.3547382593266,-5.3695212397904015,-17.781669939127887,7.662737657818328,0.8256813256667956,0.769954282093109,0.9018472219961556,-0.03173421209554528,-0.06132876262406484,-0.0033001542107446474,1.1024204105498097,271.1406601682446,0.8256813256667956
timesfm3,monash_electricity_hourly,Electricity,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.12050722539424896,0.1508575677871704,0.16683357954025269,1.146826321040865,0.9874541596329596,0.3805581634974131,0.04460772640599164,3.0,False,False,737856,False,False,False,False,False,False,False,False,0.16683359272095538,0.15816761752384367,0.1764336369480255,0.0021196469835197684,-0.001979028698739443,0.006147681959399943,1.08446821634734,1.0343644471379316,1.138507347525007,0.012133511009720266,-0.011949825574042543,0.03697676822547334,263.4380253153236,165.54124014601913,398.26722087336407,2.3331136131305925,-13.008634996968762,22.034963383971753,0.8205815071312244,0.7659325012899161,0.8932279338440677,-0.02663439355997399,-0.05385773304023064,0.0035747411606167614,1.08446821634734,263.4380253153236,0.8205815071312244
timesfm3,monash_electricity_hourly,Electricity,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.11703173071146011,0.14744314551353455,0.1639341413974762,1.1208697224293975,0.9702929726430687,0.3805581634974131,0.04460772640599164,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.16393412629725368,0.15540294147288525,0.17357052645454082,0.0050191134072214705,0.0015812403330480035,0.008614821064122426,1.0359460223069195,0.9884497417810951,1.0888637073160947,0.06065570505014084,0.03986151200405464,0.08141538640770586,246.45380509340546,153.57066253388757,378.7346922563914,19.317333835048743,4.943882708230821,38.29337129031942,0.785949552812234,0.7266870556372015,0.8621093922199582,0.007997560759016364,-0.013602655997687365,0.033225923034763814,1.0359460223069195,246.45380509340546,0.785949552812234
timesfm3,monash_electricity_hourly,Electricity,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.12195883691310883,0.15902096033096313,0.16391964256763458,1.2088848148607978,0.9702071570064542,0.3805581634974131,0.04460772640599164,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.16391963697969913,0.155178961453547,0.173774580083759,0.005033602724776015,0.0018248119256423564,0.008305889112832207,1.0410291960797728,0.9931450001203106,1.0938657561726692,0.05557253127728745,0.03585655051374995,0.07568635151720021,249.6247508720297,155.70222518375311,381.2995141248329,16.146388056424513,1.6962971771560569,36.548478466635565,0.7731643817379682,0.7155524178911455,0.8535185605190642,0.020782731833282164,-0.005417552828314853,0.04115086353806393,1.0410291960797728,249.6247508720297,0.7731643817379682
timesfm3,monash_electricity_hourly,Electricity,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.12240666151046753,0.16261261701583862,0.1693345159292221,1.236188757797016,1.002256695471792,0.3805581634974131,0.04460772640599164,65.0,False,False,737856,False,False,False,False,False,False,False,False,0.16933451860233117,0.16063195577474268,0.17912782148763765,-0.0003812788978560244,-0.0035912620052979704,0.002975298144378281,1.1641169008377303,1.1137543435242643,1.2189829797337663,-0.06751517348067004,-0.08987811091753863,-0.04484362210818824,278.6652961696645,174.06955718659822,421.29979698012085,-12.89415724121028,-34.25335359761302,6.218925166240242,0.789503648509585,0.7178535519186009,0.8852489104744125,0.004443465061665375,-0.038886183597717616,0.0412000851203795,1.1641169008377303,278.6652961696645,0.789503648509585
timesfm3,monash_electricity_hourly,Electricity,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.0969952866435051,0.16321414709091187,0.16923758387565613,1.2407616177012997,1.001682974283532,0.3805581634974131,0.04460772640599164,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.16923758128785904,0.15965531114773213,0.18000451196127265,-0.00028434158338389026,-0.003748713283024653,0.0032420589275771947,1.0806291699444515,1.0296959004684831,1.1378388488958595,0.015972557412608834,-0.007209072913168285,0.040158009948138354,249.82324429764353,159.75479084517914,372.0778100543605,15.94789463081068,-6.253934599344686,48.45203700915525,0.7812603935348331,0.694400102565415,0.8931993289766927,0.012686720036417243,-0.046356340569256416,0.061752776683673315,1.0806291699444515,249.82324429764353,0.7812603935348331
timesfm3,monash_electricity_hourly,Electricity,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.1110164225101471,0.15897302329540253,0.16907817125320435,1.2085203952632928,1.0007394432655452,0.3805581634974131,0.04460772640599164,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.16907817068445774,0.15979985774046818,0.1793360174999693,-0.0001249309799825904,-0.003337514628336287,0.0032947703253989524,1.083606384952458,1.033669320746482,1.1404699035122823,0.012995342404602317,-0.008423684209988612,0.035784034090243944,253.1874054795237,159.93051269802928,380.0690494617237,12.583733448930502,-14.63646687351372,48.46525884060137,0.7830020824945908,0.6879811480513954,0.9062396151870806,0.010945031076659562,-0.06420917465773021,0.07225219901881136,1.083606384952458,253.1874054795237,0.7830020824945908
timesfm3,monash_electricity_hourly,Electricity,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.10994474589824677,0.16400472819805145,0.1707836538553238,1.2467716524372727,1.0108338492855165,0.3805581634974131,0.04460772640599164,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.1707836461203699,0.16132824398996662,0.1813289677685141,-0.001830406415894742,-0.005122497923785961,0.001547862224295048,1.104472406602354,1.0530321194063896,1.1635222089487545,-0.00787067924529361,-0.027976438562052886,0.01329804744255686,261.4407918103061,162.92555900065608,397.2280736690183,4.330347118148097,-16.96092650970206,28.17451202594257,0.7957023359843569,0.7089465834679565,0.9085251952151012,-0.0017552224131065497,-0.06502078387912037,0.04834845914102102,1.104472406602354,261.4407918103061,0.7957023359843569
timesfm3,monash_electricity_hourly,Electricity,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.10325828194618225,0.1718592792749405,0.17508935928344727,1.306482318909401,1.0363184474513727,0.3805581634974131,0.04460772640599164,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.17508936337842287,0.1655882627546844,0.18580115992426588,-0.006136123673947724,-0.009457239660057635,-0.002842833377947003,1.1084252608698462,1.0570364578146452,1.1666044128767592,-0.011823533512785867,-0.03254114336283985,0.009675452661005831,260.92465914332917,164.46499697798293,393.62087086328677,4.846479785125041,-14.084267354767618,29.076390616329377,0.8218492661561623,0.7420668833604906,0.9258577654184572,-0.02790215258491191,-0.07771818917853933,0.011979100635292842,1.1084252608698462,260.92465914332917,0.8218492661561623
