model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,monash_london_smart_meters,0,Emb,block_depth,True,0.0,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.2798005938529968,"{""1e-05"": 0.288338303565979, ""0.0001"": 0.2888370454311371, ""0.001"": 0.288301020860672, ""0.01"": 0.288023978471756, ""0.1"": 0.2870108485221863, ""0.3"": 0.28544777631759644, ""1"": 0.28300946950912476, ""3"": 0.2812158763408661, ""10"": 0.2798005938529968, ""30"": 0.2798050343990326, ""45"": 0.2801159620285034, ""65"": 0.2807561755180359, ""90"": 0.2832043468952179}","{""1e-05"": 0.288338303565979, ""0.0001"": 0.2888370454311371, ""0.001"": 0.288301020860672, ""0.01"": 0.288023978471756, ""0.1"": 0.2870108485221863, ""0.3"": 0.28544777631759644, ""1"": 0.28300946950912476, ""3"": 0.2812158763408661, ""10"": 0.2798005938529968, ""30"": 0.2798050343990326, ""45"": 0.2801159620285034, ""65"": 0.2807561755180359, ""90"": 0.2832043468952179}",0.23294062912464142,0.2798005938529968,0.23939789831638336,737856,0.3002947132380409,0.9317533127238288
timesfm3,monash_london_smart_meters,1,L1,block_depth,True,0.05,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.2625882029533386,"{""1e-05"": 0.2946748435497284, ""0.0001"": 0.2947573959827423, ""0.001"": 0.2946253716945648, ""0.01"": 0.29419273138046265, ""0.1"": 0.2912866771221161, ""0.3"": 0.28610363602638245, ""1"": 0.2769700586795807, ""3"": 0.2699117362499237, ""10"": 0.26428577303886414, ""30"": 0.2625882029533386, ""45"": 0.26291581988334656, ""65"": 0.2637769281864166, ""90"": 0.26683709025382996}","{""1e-05"": 0.2946748435497284, ""0.0001"": 0.2947573959827423, ""0.001"": 0.2946253716945648, ""0.01"": 0.29419273138046265, ""0.1"": 0.2912866771221161, ""0.3"": 0.28610363602638245, ""1"": 0.2769700586795807, ""3"": 0.2699117362499237, ""10"": 0.26428577303886414, ""30"": 0.2625882029533386, ""45"": 0.26291581988334656, ""65"": 0.2637769281864166, ""90"": 0.26683709025382996}",0.2079363316297531,0.2625882029533386,0.21708132326602936,737856,0.3002947132380409,0.8744349846252115
timesfm3,monash_london_smart_meters,2,L2,block_depth,True,0.1,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.26058462262153625,"{""1e-05"": 0.32919275760650635, ""0.0001"": 0.3290803134441376, ""0.001"": 0.3289414346218109, ""0.01"": 0.3284097909927368, ""0.1"": 0.3220459520816803, ""0.3"": 0.31200897693634033, ""1"": 0.2928422689437866, ""3"": 0.2769785225391388, ""10"": 0.2661454677581787, ""30"": 0.26128247380256653, ""45"": 0.26058462262153625, ""65"": 0.26123303174972534, ""90"": 0.2636023461818695}","{""1e-05"": 0.32919275760650635, ""0.0001"": 0.3290803134441376, ""0.001"": 0.3289414346218109, ""0.01"": 0.3284097909927368, ""0.1"": 0.3220459520816803, ""0.3"": 0.31200897693634033, ""1"": 0.2928422689437866, ""3"": 0.2769785225391388, ""10"": 0.2661454677581787, ""30"": 0.26128247380256653, ""45"": 0.26058462262153625, ""65"": 0.26123303174972534, ""90"": 0.2636023461818695}",0.2023092359304428,0.26058462262153625,0.21687066555023193,737856,0.3002947132380409,0.8677629379874336
timesfm3,monash_london_smart_meters,3,L3,block_depth,True,0.15,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.26056915521621704,"{""1e-05"": 0.3580133616924286, ""0.0001"": 0.35791105031967163, ""0.001"": 0.35795846581459045, ""0.01"": 0.35697948932647705, ""0.1"": 0.34862151741981506, ""0.3"": 0.334155797958374, ""1"": 0.30739298462867737, ""3"": 0.284862220287323, ""10"": 0.2695379853248596, ""30"": 0.262326180934906, ""45"": 0.26095888018608093, ""65"": 0.26056915521621704, ""90"": 0.26191964745521545}","{""1e-05"": 0.3580133616924286, ""0.0001"": 0.35791105031967163, ""0.001"": 0.35795846581459045, ""0.01"": 0.35697948932647705, ""0.1"": 0.34862151741981506, ""0.3"": 0.334155797958374, ""1"": 0.30739298462867737, ""3"": 0.284862220287323, ""10"": 0.2695379853248596, ""30"": 0.262326180934906, ""45"": 0.26095888018608093, ""65"": 0.26056915521621704, ""90"": 0.26191964745521545}",0.20148880779743195,0.26056915521621704,0.21663177013397217,737856,0.3002947132380409,0.8677114305694293
timesfm3,monash_london_smart_meters,4,L4,block_depth,True,0.2,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.26111653447151184,"{""1e-05"": 0.378415048122406, ""0.0001"": 0.37747400999069214, ""0.001"": 0.37764936685562134, ""0.01"": 0.37640953063964844, ""0.1"": 0.3662111163139343, ""0.3"": 0.3483230173587799, ""1"": 0.31533706188201904, ""3"": 0.2888715863227844, ""10"": 0.2710358202457428, ""30"": 0.262879341840744, ""45"": 0.2615440785884857, ""65"": 0.26111653447151184, ""90"": 0.2627534866333008}","{""1e-05"": 0.378415048122406, ""0.0001"": 0.37747400999069214, ""0.001"": 0.37764936685562134, ""0.01"": 0.37640953063964844, ""0.1"": 0.3662111163139343, ""0.3"": 0.3483230173587799, ""1"": 0.31533706188201904, ""3"": 0.2888715863227844, ""10"": 0.2710358202457428, ""30"": 0.262879341840744, ""45"": 0.2615440785884857, ""65"": 0.26111653447151184, ""90"": 0.2627534866333008}",0.19961324334144592,0.26111653447151184,0.2168077677488327,737856,0.3002947132380409,0.8695342374027315
timesfm3,monash_london_smart_meters,5,L5,block_depth,True,0.25,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2605171203613281,"{""1e-05"": 0.3950868546962738, ""0.0001"": 0.39568793773651123, ""0.001"": 0.395141065120697, ""0.01"": 0.3934369385242462, ""0.1"": 0.381901353597641, ""0.3"": 0.362114280462265, ""1"": 0.32390058040618896, ""3"": 0.29252079129219055, ""10"": 0.27215155959129333, ""30"": 0.2628575563430786, ""45"": 0.2612835168838501, ""65"": 0.2605171203613281, ""90"": 0.26201945543289185}","{""1e-05"": 0.3950868546962738, ""0.0001"": 0.39568793773651123, ""0.001"": 0.395141065120697, ""0.01"": 0.3934369385242462, ""0.1"": 0.381901353597641, ""0.3"": 0.362114280462265, ""1"": 0.32390058040618896, ""3"": 0.29252079129219055, ""10"": 0.27215155959129333, ""30"": 0.2628575563430786, ""45"": 0.2612835168838501, ""65"": 0.2605171203613281, ""90"": 0.26201945543289185}",0.19758181273937225,0.2605171203613281,0.21611334383487701,737856,0.3002947132380409,0.8675381512788024
timesfm3,monash_london_smart_meters,6,L6,block_depth,True,0.3,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2608512043952942,"{""1e-05"": 0.40211251378059387, ""0.0001"": 0.4030704200267792, ""0.001"": 0.4021838903427124, ""0.01"": 0.40087956190109253, ""0.1"": 0.3879578411579132, ""0.3"": 0.365950345993042, ""1"": 0.32607102394104004, ""3"": 0.29407575726509094, ""10"": 0.2727407217025757, ""30"": 0.26341918110847473, ""45"": 0.26161274313926697, ""65"": 0.2608512043952942, ""90"": 0.26289528608322144}","{""1e-05"": 0.40211251378059387, ""0.0001"": 0.4030704200267792, ""0.001"": 0.4021838903427124, ""0.01"": 0.40087956190109253, ""0.1"": 0.3879578411579132, ""0.3"": 0.365950345993042, ""1"": 0.32607102394104004, ""3"": 0.29407575726509094, ""10"": 0.2727407217025757, ""30"": 0.26341918110847473, ""45"": 0.26161274313926697, ""65"": 0.2608512043952942, ""90"": 0.26289528608322144}",0.1979035884141922,0.2608512043952942,0.21622462570667267,737856,0.3002947132380409,0.8686506718102619
timesfm3,monash_london_smart_meters,7,L7,block_depth,True,0.35,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.26062461733818054,"{""1e-05"": 0.41384899616241455, ""0.0001"": 0.41390302777290344, ""0.001"": 0.413505494594574, ""0.01"": 0.41238677501678467, ""0.1"": 0.3987917900085449, ""0.3"": 0.37532705068588257, ""1"": 0.3326175808906555, ""3"": 0.29677459597587585, ""10"": 0.2738327383995056, ""30"": 0.2631964087486267, ""45"": 0.26113271713256836, ""65"": 0.26062461733818054, ""90"": 0.2622285485267639}","{""1e-05"": 0.41384899616241455, ""0.0001"": 0.41390302777290344, ""0.001"": 0.413505494594574, ""0.01"": 0.41238677501678467, ""0.1"": 0.3987917900085449, ""0.3"": 0.37532705068588257, ""1"": 0.3326175808906555, ""3"": 0.29677459597587585, ""10"": 0.2738327383995056, ""30"": 0.2631964087486267, ""45"": 0.26113271713256836, ""65"": 0.26062461733818054, ""90"": 0.2622285485267639}",0.19700033962726593,0.26062461733818054,0.21612077951431274,737856,0.3002947132380409,0.8678961228717529
timesfm3,monash_london_smart_meters,8,L8,block_depth,True,0.4,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2611827552318573,"{""1e-05"": 0.4132975935935974, ""0.0001"": 0.4134018123149872, ""0.001"": 0.4131784439086914, ""0.01"": 0.41195711493492126, ""0.1"": 0.3977881073951721, ""0.3"": 0.37496083974838257, ""1"": 0.3305879831314087, ""3"": 0.2954022288322449, ""10"": 0.27302080392837524, ""30"": 0.2630864381790161, ""45"": 0.2613224983215332, ""65"": 0.2611827552318573, ""90"": 0.2630433142185211}","{""1e-05"": 0.4132975935935974, ""0.0001"": 0.4134018123149872, ""0.001"": 0.4131784439086914, ""0.01"": 0.41195711493492126, ""0.1"": 0.3977881073951721, ""0.3"": 0.37496083974838257, ""1"": 0.3305879831314087, ""3"": 0.2954022288322449, ""10"": 0.27302080392837524, ""30"": 0.2630864381790161, ""45"": 0.2613224983215332, ""65"": 0.2611827552318573, ""90"": 0.2630433142185211}",0.1983788013458252,0.2611827552318573,0.21644338965415955,737856,0.3002947132380409,0.869754756637424
timesfm3,monash_london_smart_meters,9,L9,block_depth,True,0.45,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2615244686603546,"{""1e-05"": 0.41827648878097534, ""0.0001"": 0.41923853754997253, ""0.001"": 0.41896575689315796, ""0.01"": 0.4170211851596832, ""0.1"": 0.4032288193702698, ""0.3"": 0.3783372640609741, ""1"": 0.3334444463253021, ""3"": 0.2968514859676361, ""10"": 0.27399373054504395, ""30"": 0.2633916139602661, ""45"": 0.2622070014476776, ""65"": 0.2615244686603546, ""90"": 0.2632431089878082}","{""1e-05"": 0.41827648878097534, ""0.0001"": 0.41923853754997253, ""0.001"": 0.41896575689315796, ""0.01"": 0.4170211851596832, ""0.1"": 0.4032288193702698, ""0.3"": 0.3783372640609741, ""1"": 0.3334444463253021, ""3"": 0.2968514859676361, ""10"": 0.27399373054504395, ""30"": 0.2633916139602661, ""45"": 0.2622070014476776, ""65"": 0.2615244686603546, ""90"": 0.2632431089878082}",0.19759775698184967,0.2615244686603546,0.21651272475719452,737856,0.3002947132380409,0.8708926835253558
