model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,monash_traffic,0,Emb,block_depth,True,0.0,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.14085935056209564,"{""1e-05"": 0.14706307649612427, ""0.0001"": 0.14913137257099152, ""0.001"": 0.1502828598022461, ""0.01"": 0.14715032279491425, ""0.1"": 0.14895112812519073, ""0.3"": 0.14813973009586334, ""1"": 0.14565704762935638, ""3"": 0.14327146112918854, ""10"": 0.14085935056209564, ""30"": 0.1423369199037552, ""45"": 0.14471317827701569, ""65"": 0.14657367765903473, ""90"": 0.1514584869146347}","{""1e-05"": 0.14706307649612427, ""0.0001"": 0.14913137257099152, ""0.001"": 0.1502828598022461, ""0.01"": 0.14715032279491425, ""0.1"": 0.14895112812519073, ""0.3"": 0.14813973009586334, ""1"": 0.14565704762935638, ""3"": 0.14327146112918854, ""10"": 0.14085935056209564, ""30"": 0.1423369199037552, ""45"": 0.14471317827701569, ""65"": 0.14657367765903473, ""90"": 0.1514584869146347}",0.1628730595111847,0.14085935056209564,0.13423556089401245,737856,0.2297141970000194,0.613193927069661
timesfm3,monash_traffic,1,L1,block_depth,True,0.05,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.1279858499765396,"{""1e-05"": 0.14478816092014313, ""0.0001"": 0.14252020418643951, ""0.001"": 0.14501798152923584, ""0.01"": 0.14476342499256134, ""0.1"": 0.14386753737926483, ""0.3"": 0.14155380427837372, ""1"": 0.13527138531208038, ""3"": 0.13191922008991241, ""10"": 0.130093052983284, ""30"": 0.1279858499765396, ""45"": 0.12920542061328888, ""65"": 0.13159875571727753, ""90"": 0.13454650342464447}","{""1e-05"": 0.14478816092014313, ""0.0001"": 0.14252020418643951, ""0.001"": 0.14501798152923584, ""0.01"": 0.14476342499256134, ""0.1"": 0.14386753737926483, ""0.3"": 0.14155380427837372, ""1"": 0.13527138531208038, ""3"": 0.13191922008991241, ""10"": 0.130093052983284, ""30"": 0.1279858499765396, ""45"": 0.12920542061328888, ""65"": 0.13159875571727753, ""90"": 0.13454650342464447}",0.13753795623779297,0.1279858499765396,0.125828355550766,737856,0.2297141970000194,0.5571525471563641
timesfm3,monash_traffic,2,L2,block_depth,True,0.1,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.13051320612430573,"{""1e-05"": 0.15434813499450684, ""0.0001"": 0.15497583150863647, ""0.001"": 0.15438500046730042, ""0.01"": 0.155831441283226, ""0.1"": 0.15211686491966248, ""0.3"": 0.14874376356601715, ""1"": 0.13873083889484406, ""3"": 0.13187451660633087, ""10"": 0.13051320612430573, ""30"": 0.13209448754787445, ""45"": 0.1328672170639038, ""65"": 0.13365615904331207, ""90"": 0.1378117948770523}","{""1e-05"": 0.15434813499450684, ""0.0001"": 0.15497583150863647, ""0.001"": 0.15438500046730042, ""0.01"": 0.155831441283226, ""0.1"": 0.15211686491966248, ""0.3"": 0.14874376356601715, ""1"": 0.13873083889484406, ""3"": 0.13187451660633087, ""10"": 0.13051320612430573, ""30"": 0.13209448754787445, ""45"": 0.1328672170639038, ""65"": 0.13365615904331207, ""90"": 0.1378117948770523}",0.12083829194307327,0.13051320612430573,0.11979707330465317,737856,0.2297141970000194,0.5681547236903894
timesfm3,monash_traffic,3,L3,block_depth,True,0.15,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.12773822247982025,"{""1e-05"": 0.1688207983970642, ""0.0001"": 0.17056044936180115, ""0.001"": 0.16811440885066986, ""0.01"": 0.17066940665245056, ""0.1"": 0.16501253843307495, ""0.3"": 0.1570786088705063, ""1"": 0.14455129206180573, ""3"": 0.13642790913581848, ""10"": 0.1293981969356537, ""30"": 0.12773822247982025, ""45"": 0.12891778349876404, ""65"": 0.13055644929409027, ""90"": 0.13472236692905426}","{""1e-05"": 0.1688207983970642, ""0.0001"": 0.17056044936180115, ""0.001"": 0.16811440885066986, ""0.01"": 0.17066940665245056, ""0.1"": 0.16501253843307495, ""0.3"": 0.1570786088705063, ""1"": 0.14455129206180573, ""3"": 0.13642790913581848, ""10"": 0.1293981969356537, ""30"": 0.12773822247982025, ""45"": 0.12891778349876404, ""65"": 0.13055644929409027, ""90"": 0.13472236692905426}",0.12309068441390991,0.12773822247982025,0.1174219474196434,737856,0.2297141970000194,0.556074566343888
timesfm3,monash_traffic,4,L4,block_depth,True,0.2,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.12996767461299896,"{""1e-05"": 0.17674392461776733, ""0.0001"": 0.18039840459823608, ""0.001"": 0.17651574313640594, ""0.01"": 0.1782355159521103, ""0.1"": 0.17322339117527008, ""0.3"": 0.16295947134494781, ""1"": 0.151961550116539, ""3"": 0.1404290795326233, ""10"": 0.13287070393562317, ""30"": 0.12996767461299896, ""45"": 0.13164331018924713, ""65"": 0.1337512880563736, ""90"": 0.14123904705047607}","{""1e-05"": 0.17674392461776733, ""0.0001"": 0.18039840459823608, ""0.001"": 0.17651574313640594, ""0.01"": 0.1782355159521103, ""0.1"": 0.17322339117527008, ""0.3"": 0.16295947134494781, ""1"": 0.151961550116539, ""3"": 0.1404290795326233, ""10"": 0.13287070393562317, ""30"": 0.12996767461299896, ""45"": 0.13164331018924713, ""65"": 0.1337512880563736, ""90"": 0.14123904705047607}",0.11911354213953018,0.12996767461299896,0.11046202480792999,737856,0.2297141970000194,0.5657798965424325
timesfm3,monash_traffic,5,L5,block_depth,True,0.25,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.13464443385601044,"{""1e-05"": 0.1847074031829834, ""0.0001"": 0.1824466586112976, ""0.001"": 0.18219836056232452, ""0.01"": 0.181108295917511, ""0.1"": 0.1771368533372879, ""0.3"": 0.16669103503227234, ""1"": 0.1514934003353119, ""3"": 0.14240363240242004, ""10"": 0.13727013766765594, ""30"": 0.13464443385601044, ""45"": 0.1376713216304779, ""65"": 0.14445868134498596, ""90"": 0.1516568809747696}","{""1e-05"": 0.1847074031829834, ""0.0001"": 0.1824466586112976, ""0.001"": 0.18219836056232452, ""0.01"": 0.181108295917511, ""0.1"": 0.1771368533372879, ""0.3"": 0.16669103503227234, ""1"": 0.1514934003353119, ""3"": 0.14240363240242004, ""10"": 0.13727013766765594, ""30"": 0.13464443385601044, ""45"": 0.1376713216304779, ""65"": 0.14445868134498596, ""90"": 0.1516568809747696}",0.11563486605882645,0.13464443385601044,0.11046751588582993,737856,0.2297141970000194,0.5861389309603666
timesfm3,monash_traffic,6,L6,block_depth,True,0.3,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.13870178163051605,"{""1e-05"": 0.19154983758926392, ""0.0001"": 0.1928320825099945, ""0.001"": 0.18769532442092896, ""0.01"": 0.19130179286003113, ""0.1"": 0.18313759565353394, ""0.3"": 0.17404451966285706, ""1"": 0.16214068233966827, ""3"": 0.1443418264389038, ""10"": 0.13870178163051605, ""30"": 0.141699880361557, ""45"": 0.14432170987129211, ""65"": 0.14555682241916656, ""90"": 0.16159313917160034}","{""1e-05"": 0.19154983758926392, ""0.0001"": 0.1928320825099945, ""0.001"": 0.18769532442092896, ""0.01"": 0.19130179286003113, ""0.1"": 0.18313759565353394, ""0.3"": 0.17404451966285706, ""1"": 0.16214068233966827, ""3"": 0.1443418264389038, ""10"": 0.13870178163051605, ""30"": 0.141699880361557, ""45"": 0.14432170987129211, ""65"": 0.14555682241916656, ""90"": 0.16159313917160034}",0.10875909775495529,0.13870178163051605,0.113054059445858,737856,0.2297141970000194,0.6038015213770368
timesfm3,monash_traffic,7,L7,block_depth,True,0.35,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.1372779905796051,"{""1e-05"": 0.19486196339130402, ""0.0001"": 0.19739395380020142, ""0.001"": 0.1956697255373001, ""0.01"": 0.19669152796268463, ""0.1"": 0.1902090460062027, ""0.3"": 0.17887774109840393, ""1"": 0.16061308979988098, ""3"": 0.14544452726840973, ""10"": 0.1372779905796051, ""30"": 0.13730251789093018, ""45"": 0.1413046270608902, ""65"": 0.14516738057136536, ""90"": 0.16235114634037018}","{""1e-05"": 0.19486196339130402, ""0.0001"": 0.19739395380020142, ""0.001"": 0.1956697255373001, ""0.01"": 0.19669152796268463, ""0.1"": 0.1902090460062027, ""0.3"": 0.17887774109840393, ""1"": 0.16061308979988098, ""3"": 0.14544452726840973, ""10"": 0.1372779905796051, ""30"": 0.13730251789093018, ""45"": 0.1413046270608902, ""65"": 0.14516738057136536, ""90"": 0.16235114634037018}",0.10691986978054047,0.1372779905796051,0.11898170411586761,737856,0.2297141970000194,0.597603423612488
timesfm3,monash_traffic,8,L8,block_depth,True,0.4,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.14634454250335693,"{""1e-05"": 0.20671746134757996, ""0.0001"": 0.2068270444869995, ""0.001"": 0.21113117039203644, ""0.01"": 0.2083636373281479, ""0.1"": 0.1992185413837433, ""0.3"": 0.1934758573770523, ""1"": 0.17245972156524658, ""3"": 0.157217338681221, ""10"": 0.15019777417182922, ""30"": 0.14634454250335693, ""45"": 0.15013596415519714, ""65"": 0.15921856462955475, ""90"": 0.17281493544578552}","{""1e-05"": 0.20671746134757996, ""0.0001"": 0.2068270444869995, ""0.001"": 0.21113117039203644, ""0.01"": 0.2083636373281479, ""0.1"": 0.1992185413837433, ""0.3"": 0.1934758573770523, ""1"": 0.17245972156524658, ""3"": 0.157217338681221, ""10"": 0.15019777417182922, ""30"": 0.14634454250335693, ""45"": 0.15013596415519714, ""65"": 0.15921856462955475, ""90"": 0.17281493544578552}",0.11842772364616394,0.14634454250335693,0.1171441525220871,737856,0.2297141970000194,0.6370722594187096
timesfm3,monash_traffic,9,L9,block_depth,True,0.45,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.1488388478755951,"{""1e-05"": 0.22263558208942413, ""0.0001"": 0.22089266777038574, ""0.001"": 0.2231665998697281, ""0.01"": 0.22211304306983948, ""0.1"": 0.21579623222351074, ""0.3"": 0.19977691769599915, ""1"": 0.17825733125209808, ""3"": 0.16379256546497345, ""10"": 0.1492956131696701, ""30"": 0.1488388478755951, ""45"": 0.15160371363162994, ""65"": 0.15914253890514374, ""90"": 0.17758941650390625}","{""1e-05"": 0.22263558208942413, ""0.0001"": 0.22089266777038574, ""0.001"": 0.2231665998697281, ""0.01"": 0.22211304306983948, ""0.1"": 0.21579623222351074, ""0.3"": 0.19977691769599915, ""1"": 0.17825733125209808, ""3"": 0.16379256546497345, ""10"": 0.1492956131696701, ""30"": 0.1488388478755951, ""45"": 0.15160371363162994, ""65"": 0.15914253890514374, ""90"": 0.17758941650390625}",0.12017128616571426,0.1488388478755951,0.11915288865566254,737856,0.2297141970000194,0.6479305581430064
