model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
timesfm3,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.24113532900810242,0.23068931698799133,0.31709733605384827,1.116454225212197,1.2051235090590224,0.11645422521219695,0.20512350905902244,10.0,False,False,737856,False,False,False,False,False,False,False,False,0.3170973009195264,0.30479897587801835,0.3298902430226813,-0.05397298182751842,-0.06030581171681237,-0.04796106804212029,1.1658821612901973,1.1105991891449283,1.224777609652335,-0.22966284691420835,-0.2615654058073009,-0.2004274385463279,7.663101494910397,6.160905508456901,9.307631910609564,-2.005449253410151,-2.516309012842141,-1.5483528580582044,3.1728741418107607,3.0068962279097358,3.3417172341120014,-0.7626771985764909,-0.8518335416580188,-0.6692215260094952,1.1658821612901973,7.663101494910397,3.1728741418107607
timesfm3,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.05,0.05,True,False,False,0.20403404533863068,0.21481013298034668,0.28897368907928467,1.0396046237233698,1.0982400247910633,0.039604623723369814,0.10373669100014626,10.0,False,False,737856,False,False,True,True,False,False,True,True,0.28897369596111866,0.27797619118764,0.3000695227579576,-0.025849376869110652,-0.029152183628370913,-0.022442065996921227,1.035585518067696,0.9925791935834288,1.0821157241808617,-0.09936620369170712,-0.11472406432418199,-0.08344370235795281,6.505540559520755,5.254993811545995,7.889689539744107,-0.8478883180205088,-1.0823939531455848,-0.6326501245620918,2.7392543760261083,2.6091375036093947,2.8733340712222364,-0.3290574327918385,-0.37473992347075225,-0.2802424256608985,1.035585518067696,6.505540559520755,2.7392543760261083
timesfm3,uber_tlc_hourly,Uber TLC,2,L2,block,block_depth,True,2,0.1,0.1,False,False,False,0.20654311776161194,0.21014870703220367,0.2904199957847595,1.0170449804626074,1.1037366910001463,0.03466112217175121,0.10373669100014626,45.0,False,False,737856,False,False,False,False,False,True,False,False,0.2904200201555518,0.279429479901686,0.30189587116660904,-0.027295701063543787,-0.031057132753891884,-0.023497872377696023,1.050971227687197,1.0064699316285994,1.0983200718663775,-0.11475191331120804,-0.13028156551583478,-0.09870494104287363,6.664673325555715,5.384345145629858,8.066563742448906,-1.0070210840554692,-1.2604603133684296,-0.7731178825983194,2.796146993981634,2.666579042344624,2.9311312990879785,-0.3859500507473643,-0.4307390817085849,-0.3363768106548169,1.050971227687197,6.664673325555715,2.796146993981634
timesfm3,uber_tlc_hourly,Uber TLC,3,L3,block,block_depth,True,3,0.15,0.15,False,False,False,0.19887232780456543,0.20960797369480133,0.28390857577323914,1.0144280234784773,1.0789901402063293,0.03466112217175121,0.08179952221024656,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.28390860212042585,0.2731763191059061,0.29492812594434403,-0.020784283028417838,-0.023800127475543803,-0.01776465765193443,1.0173405908285331,0.9743988221364723,1.0628346768888914,-0.08112127645254419,-0.0935833357029034,-0.06865672898038866,6.3020286011861515,5.099719736098633,7.6414008711094255,-0.6443763596859053,-0.8368555107622593,-0.46741135015592106,2.6895143248529707,2.5563241815668305,2.82659601131167,-0.2793173816187009,-0.3244291375165539,-0.23060632552194033,1.0173405908285331,6.3020286011861515,2.6895143248529707
timesfm3,uber_tlc_hourly,Uber TLC,4,L4,block,block_depth,True,4,0.2,0.2,False,False,False,0.20453275740146637,0.21054208278656006,0.28464779257774353,1.0189487791680762,1.0817995222102466,0.03466112217175121,0.08179952221024656,65.0,False,False,737856,False,False,False,False,False,False,False,False,0.28464780288627584,0.2739074793054175,0.29549376120158105,-0.021523483794267828,-0.024711066757449676,-0.018374332253117385,1.0458966762936852,0.9986638948707678,1.0966795401378784,-0.10967736191769628,-0.12905335183158043,-0.09197149772368135,6.53581318918576,5.258002703111944,7.9627796997948135,-0.8781609476855134,-1.1503200153160928,-0.6396407577437204,2.757584724372642,2.6137386886186937,2.9082408253294507,-0.3473877811383721,-0.4037926896651536,-0.2867485740724887,1.0458966762936852,6.53581318918576,2.757584724372642
timesfm3,uber_tlc_hourly,Uber TLC,5,L5,block,block_depth,True,5,0.25,0.25,False,False,False,0.1974254846572876,0.20980316400527954,0.2763305604457855,1.0153726751411514,1.050190010451934,0.03466112217175121,0.05695250690113074,45.0,False,False,737856,False,False,False,False,False,False,False,False,0.27633054548774966,0.2662067725042322,0.28669038550601206,-0.01320622639574165,-0.015407638457952132,-0.010915516018298757,1.0073584366940578,0.9622321265425072,1.0568594203034336,-0.07113912231806885,-0.08886951508798824,-0.05519861582466771,6.088032054870648,4.91213158764608,7.408597343810699,-0.43037981337040154,-0.6056699287541424,-0.27873963295295506,2.6019664301597216,2.4653477617077324,2.7411532500637996,-0.19176948692545182,-0.2348241740832627,-0.14622152105923647,1.0073584366940578,6.088032054870648,2.6019664301597216
timesfm3,uber_tlc_hourly,Uber TLC,6,L6,block,block_depth,True,6,0.3,0.3,False,False,False,0.19376841187477112,0.21047033369541168,0.27810993790626526,1.018601539092057,1.0569525069011307,0.03466112217175121,0.05695250690113074,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.27810994626684044,0.2678990083590207,0.28851057802973923,-0.014985627174832428,-0.017246616420599107,-0.01267951310306559,1.011465324822061,0.9686420917147177,1.0580755244764857,-0.07524601044607215,-0.08831675920069922,-0.06251451150506869,6.224261180204977,5.016743199245719,7.570665060653564,-0.5666089387047313,-0.7676516001284439,-0.3878956740996476,2.626445951565792,2.491921800854925,2.767416183731522,-0.21624900833152205,-0.25968734105955804,-0.17100972078777768,1.011465324822061,6.224261180204977,2.626445951565792
timesfm3,uber_tlc_hourly,Uber TLC,7,L7,block,block_depth,True,7,0.35,0.35,False,False,False,0.19488568603992462,0.21031372249126434,0.27492961287498474,1.0178435965792922,1.0448657309308835,0.03466112217175121,0.053234866782013945,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.27492957296319137,0.2648955214857515,0.2851775631237462,-0.011805253871183363,-0.013942127695079638,-0.009560827824521709,1.005239167054006,0.9620555859380222,1.052291341661149,-0.06901985267801702,-0.08340337482646418,-0.05560845294281645,6.13087630063221,4.951900165493698,7.437485553528984,-0.4732240591319634,-0.6421496322714915,-0.32216987397744634,2.593207012257898,2.4574126288956957,2.7341483513796363,-0.18301006902362804,-0.22407684705402686,-0.14098548733646726,1.005239167054006,6.13087630063221,2.593207012257898
timesfm3,uber_tlc_hourly,Uber TLC,8,L8,block,block_depth,True,8,0.4,0.4,False,False,False,0.19746549427509308,0.21047233045101166,0.2750397324562073,1.018611202678804,1.045284238691909,0.03466112217175121,0.053234866782013945,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.2750397303660635,0.26497155633036984,0.2852757153094156,-0.011915411274055487,-0.014230176922687462,-0.009502768829706661,1.0035473932725896,0.9607752406790308,1.0506615396360366,-0.06732807889660064,-0.07998459484395697,-0.055073585571083945,6.200717853816203,4.994770003968528,7.5446381592022815,-0.5430656123159565,-0.7507325422279133,-0.3663814823578003,2.596914575465964,2.4559432634736083,2.7419099938718383,-0.18671763223169435,-0.23829783625724557,-0.13476772840458737,1.0035473932725896,6.200717853816203,2.596914575465964
timesfm3,uber_tlc_hourly,Uber TLC,9,L9,block,block_depth,True,9,0.45,0.45,False,False,False,0.19863931834697723,0.21292860805988312,0.27606311440467834,1.0304987124712985,1.0491735859194735,0.03466112217175121,0.053234866782013945,30.0,False,False,737856,False,False,False,False,False,False,False,False,0.2760631362018922,0.26589942517235365,0.2864184955124324,-0.012938817109884204,-0.015503384755526208,-0.010268845591509295,1.005677472717393,0.962119091017313,1.0527963374033968,-0.06945815834140401,-0.08279849359528445,-0.056365879759206254,6.227303689920595,5.017514960619729,7.580834179201842,-0.5696514484203492,-0.7894129356774554,-0.3774670508388045,2.624331141645706,2.4831254549848016,2.769723001258367,-0.21413419841143622,-0.2704372668674826,-0.15683101786007758,1.005677472717393,6.227303689920595,2.624331141645706
