model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
timesfm3,wiki_daily_100k,0,Emb,block_depth,True,0.0,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.26614177227020264,"{""1e-05"": 0.27448737621307373, ""0.0001"": 0.27463334798812866, ""0.001"": 0.274627685546875, ""0.01"": 0.27455615997314453, ""0.1"": 0.2738547921180725, ""0.3"": 0.27210745215415955, ""1"": 0.269466370344162, ""3"": 0.26727059483528137, ""10"": 0.2662500739097595, ""30"": 0.26614177227020264, ""45"": 0.2664202153682709, ""65"": 0.2679731249809265, ""90"": 0.270468145608902}","{""1e-05"": 0.27448737621307373, ""0.0001"": 0.27463334798812866, ""0.001"": 0.274627685546875, ""0.01"": 0.27455615997314453, ""0.1"": 0.2738547921180725, ""0.3"": 0.27210745215415955, ""1"": 0.269466370344162, ""3"": 0.26727059483528137, ""10"": 0.2662500739097595, ""30"": 0.26614177227020264, ""45"": 0.2664202153682709, ""65"": 0.2679731249809265, ""90"": 0.270468145608902}",0.2814487814903259,0.26614177227020264,0.2628377079963684,737856,0.29510931682040675,0.9018413079522232
timesfm3,wiki_daily_100k,1,L1,block_depth,True,0.05,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.2654608190059662,"{""1e-05"": 0.30164608359336853, ""0.0001"": 0.3019370138645172, ""0.001"": 0.3018767833709717, ""0.01"": 0.30181920528411865, ""0.1"": 0.29818227887153625, ""0.3"": 0.29262468218803406, ""1"": 0.28291967511177063, ""3"": 0.27502742409706116, ""10"": 0.26841530203819275, ""30"": 0.2654608190059662, ""45"": 0.2657785415649414, ""65"": 0.2666351795196533, ""90"": 0.26897957921028137}","{""1e-05"": 0.30164608359336853, ""0.0001"": 0.3019370138645172, ""0.001"": 0.3018767833709717, ""0.01"": 0.30181920528411865, ""0.1"": 0.29818227887153625, ""0.3"": 0.29262468218803406, ""1"": 0.28291967511177063, ""3"": 0.27502742409706116, ""10"": 0.26841530203819275, ""30"": 0.2654608190059662, ""45"": 0.2657785415649414, ""65"": 0.2666351795196533, ""90"": 0.26897957921028137}",0.2661415636539459,0.2654608190059662,0.2570072114467621,737856,0.29510931682040675,0.8995338468677232
timesfm3,wiki_daily_100k,2,L2,block_depth,True,0.1,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.26520439982414246,"{""1e-05"": 0.3406929671764374, ""0.0001"": 0.3406042456626892, ""0.001"": 0.3405432105064392, ""0.01"": 0.33979639410972595, ""0.1"": 0.3338037431240082, ""0.3"": 0.3229949176311493, ""1"": 0.3031313419342041, ""3"": 0.2862614095211029, ""10"": 0.27292490005493164, ""30"": 0.26623809337615967, ""45"": 0.26520439982414246, ""65"": 0.2652476727962494, ""90"": 0.2668689489364624}","{""1e-05"": 0.3406929671764374, ""0.0001"": 0.3406042456626892, ""0.001"": 0.3405432105064392, ""0.01"": 0.33979639410972595, ""0.1"": 0.3338037431240082, ""0.3"": 0.3229949176311493, ""1"": 0.3031313419342041, ""3"": 0.2862614095211029, ""10"": 0.27292490005493164, ""30"": 0.26623809337615967, ""45"": 0.26520439982414246, ""65"": 0.2652476727962494, ""90"": 0.2668689489364624}",0.2591111958026886,0.26520439982414246,0.2552490830421448,737856,0.29510931682040675,0.898664951284939
timesfm3,wiki_daily_100k,3,L3,block_depth,True,0.15,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2651398777961731,"{""1e-05"": 0.36550185084342957, ""0.0001"": 0.3658148944377899, ""0.001"": 0.3655387759208679, ""0.01"": 0.3645241856575012, ""0.1"": 0.3565915524959564, ""0.3"": 0.3428904712200165, ""1"": 0.31719768047332764, ""3"": 0.2945776879787445, ""10"": 0.2780539393424988, ""30"": 0.26822614669799805, ""45"": 0.2662219703197479, ""65"": 0.2651398777961731, ""90"": 0.26551732420921326}","{""1e-05"": 0.36550185084342957, ""0.0001"": 0.3658148944377899, ""0.001"": 0.3655387759208679, ""0.01"": 0.3645241856575012, ""0.1"": 0.3565915524959564, ""0.3"": 0.3428904712200165, ""1"": 0.31719768047332764, ""3"": 0.2945776879787445, ""10"": 0.2780539393424988, ""30"": 0.26822614669799805, ""45"": 0.2662219703197479, ""65"": 0.2651398777961731, ""90"": 0.26551732420921326}",0.25884923338890076,0.2651398777961731,0.2556222677230835,737856,0.29510931682040675,0.898446313565654
timesfm3,wiki_daily_100k,4,L4,block_depth,True,0.2,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2651788890361786,"{""1e-05"": 0.382223516702652, ""0.0001"": 0.38226839900016785, ""0.001"": 0.38230782747268677, ""0.01"": 0.38069427013397217, ""0.1"": 0.3714766502380371, ""0.3"": 0.35488831996917725, ""1"": 0.3239072263240814, ""3"": 0.2976830303668976, ""10"": 0.2791851758956909, ""30"": 0.2688422203063965, ""45"": 0.2663469910621643, ""65"": 0.2651788890361786, ""90"": 0.26526010036468506}","{""1e-05"": 0.382223516702652, ""0.0001"": 0.38226839900016785, ""0.001"": 0.38230782747268677, ""0.01"": 0.38069427013397217, ""0.1"": 0.3714766502380371, ""0.3"": 0.35488831996917725, ""1"": 0.3239072263240814, ""3"": 0.2976830303668976, ""10"": 0.2791851758956909, ""30"": 0.2688422203063965, ""45"": 0.2663469910621643, ""65"": 0.2651788890361786, ""90"": 0.26526010036468506}",0.25671181082725525,0.2651788890361786,0.2560087740421295,737856,0.29510931682040675,0.898578506071217
timesfm3,wiki_daily_100k,5,L5,block_depth,True,0.25,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.2633926272392273,"{""1e-05"": 0.3990008533000946, ""0.0001"": 0.3986748158931732, ""0.001"": 0.3990022540092468, ""0.01"": 0.3976362943649292, ""0.1"": 0.3864680230617523, ""0.3"": 0.36659637093544006, ""1"": 0.3306885361671448, ""3"": 0.30026572942733765, ""10"": 0.2787226438522339, ""30"": 0.2675818204879761, ""45"": 0.2647942006587982, ""65"": 0.2634093463420868, ""90"": 0.2633926272392273}","{""1e-05"": 0.3990008533000946, ""0.0001"": 0.3986748158931732, ""0.001"": 0.3990022540092468, ""0.01"": 0.3976362943649292, ""0.1"": 0.3864680230617523, ""0.3"": 0.36659637093544006, ""1"": 0.3306885361671448, ""3"": 0.30026572942733765, ""10"": 0.2787226438522339, ""30"": 0.2675818204879761, ""45"": 0.2647942006587982, ""65"": 0.2634093463420868, ""90"": 0.2633926272392273}",0.2620197534561157,0.2633926272392273,0.25444743037223816,737856,0.29510931682040675,0.8925256243248968
timesfm3,wiki_daily_100k,6,L6,block_depth,True,0.3,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.26251891255378723,"{""1e-05"": 0.41105860471725464, ""0.0001"": 0.410706102848053, ""0.001"": 0.4104633927345276, ""0.01"": 0.4093678295612335, ""0.1"": 0.39730656147003174, ""0.3"": 0.3750722110271454, ""1"": 0.3353566825389862, ""3"": 0.30198127031326294, ""10"": 0.2786359190940857, ""30"": 0.2662428319454193, ""45"": 0.26407191157341003, ""65"": 0.26267823576927185, ""90"": 0.26251891255378723}","{""1e-05"": 0.41105860471725464, ""0.0001"": 0.410706102848053, ""0.001"": 0.4104633927345276, ""0.01"": 0.4093678295612335, ""0.1"": 0.39730656147003174, ""0.3"": 0.3750722110271454, ""1"": 0.3353566825389862, ""3"": 0.30198127031326294, ""10"": 0.2786359190940857, ""30"": 0.2662428319454193, ""45"": 0.26407191157341003, ""65"": 0.26267823576927185, ""90"": 0.26251891255378723}",0.2613256871700287,0.26251891255378723,0.2539583742618561,737856,0.29510931682040675,0.8895649767423205
timesfm3,wiki_daily_100k,7,L7,block_depth,True,0.35,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.2614028751850128,"{""1e-05"": 0.4251667261123657, ""0.0001"": 0.4248708486557007, ""0.001"": 0.4250408709049225, ""0.01"": 0.4236030876636505, ""0.1"": 0.4099571108818054, ""0.3"": 0.3855845332145691, ""1"": 0.34100738167762756, ""3"": 0.30277955532073975, ""10"": 0.2773963510990143, ""30"": 0.2653824985027313, ""45"": 0.26271161437034607, ""65"": 0.26147451996803284, ""90"": 0.2614028751850128}","{""1e-05"": 0.4251667261123657, ""0.0001"": 0.4248708486557007, ""0.001"": 0.4250408709049225, ""0.01"": 0.4236030876636505, ""0.1"": 0.4099571108818054, ""0.3"": 0.3855845332145691, ""1"": 0.34100738167762756, ""3"": 0.30277955532073975, ""10"": 0.2773963510990143, ""30"": 0.2653824985027313, ""45"": 0.26271161437034607, ""65"": 0.26147451996803284, ""90"": 0.2614028751850128}",0.25909560918807983,0.2614028751850128,0.2516166865825653,737856,0.29510931682040675,0.8857832006167853
timesfm3,wiki_daily_100k,8,L8,block_depth,True,0.4,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.26074761152267456,"{""1e-05"": 0.42489704489707947, ""0.0001"": 0.4247254729270935, ""0.001"": 0.42510107159614563, ""0.01"": 0.42384472489356995, ""0.1"": 0.409759521484375, ""0.3"": 0.3850349187850952, ""1"": 0.33861133456230164, ""3"": 0.2997831404209137, ""10"": 0.27534496784210205, ""30"": 0.2641359269618988, ""45"": 0.26166510581970215, ""65"": 0.2608479857444763, ""90"": 0.26074761152267456}","{""1e-05"": 0.42489704489707947, ""0.0001"": 0.4247254729270935, ""0.001"": 0.42510107159614563, ""0.01"": 0.42384472489356995, ""0.1"": 0.409759521484375, ""0.3"": 0.3850349187850952, ""1"": 0.33861133456230164, ""3"": 0.2997831404209137, ""10"": 0.27534496784210205, ""30"": 0.2641359269618988, ""45"": 0.26166510581970215, ""65"": 0.2608479857444763, ""90"": 0.26074761152267456}",0.2594890296459198,0.26074761152267456,0.25090187788009644,737856,0.29510931682040675,0.8835627906704026
timesfm3,wiki_daily_100k,9,L9,block_depth,True,0.45,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2604602873325348,"{""1e-05"": 0.4272213578224182, ""0.0001"": 0.42770618200302124, ""0.001"": 0.4274030327796936, ""0.01"": 0.42576074600219727, ""0.1"": 0.4108060300350189, ""0.3"": 0.3861714005470276, ""1"": 0.33974266052246094, ""3"": 0.3007945418357849, ""10"": 0.2756521701812744, ""30"": 0.2640799582004547, ""45"": 0.26193559169769287, ""65"": 0.2604602873325348, ""90"": 0.26063603162765503}","{""1e-05"": 0.4272213578224182, ""0.0001"": 0.42770618200302124, ""0.001"": 0.4274030327796936, ""0.01"": 0.42576074600219727, ""0.1"": 0.4108060300350189, ""0.3"": 0.3861714005470276, ""1"": 0.33974266052246094, ""3"": 0.3007945418357849, ""10"": 0.2756521701812744, ""30"": 0.2640799582004547, ""45"": 0.26193559169769287, ""65"": 0.2604602873325348, ""90"": 0.26063603162765503}",0.25126421451568604,0.2604602873325348,0.2503575086593628,737856,0.29510931682040675,0.8825891711546398
