model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,LOOP_SEATTLE_5T,0,Emb,block_depth,True,0.0,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.3084152340888977,"{""1e-05"": 0.3111764192581177, ""0.0001"": 0.31103453040122986, ""0.001"": 0.311632364988327, ""0.01"": 0.3111790418624878, ""0.1"": 0.310930460691452, ""0.3"": 0.31092503666877747, ""1"": 0.31048741936683655, ""3"": 0.31017667055130005, ""10"": 0.3097380995750427, ""30"": 0.30932745337486267, ""45"": 0.30903685092926025, ""65"": 0.3089217245578766, ""90"": 0.3084152340888977}","{""1e-05"": 0.3111764192581177, ""0.0001"": 0.31103453040122986, ""0.001"": 0.311632364988327, ""0.01"": 0.3111790418624878, ""0.1"": 0.310930460691452, ""0.3"": 0.31092503666877747, ""1"": 0.31048741936683655, ""3"": 0.31017667055130005, ""10"": 0.3097380995750427, ""30"": 0.30932745337486267, ""45"": 0.30903685092926025, ""65"": 0.3089217245578766, ""90"": 0.3084152340888977}",0.32583796977996826,0.3084152203252297,0.23651210303979975,147744,0.3131696619093418,0.9848183200277923
tirex,LOOP_SEATTLE_5T,1,L1,block_depth,True,0.08333333333333333,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.31739887595176697,"{""1e-05"": 0.33129602670669556, ""0.0001"": 0.33111676573753357, ""0.001"": 0.331193208694458, ""0.01"": 0.33109191060066223, ""0.1"": 0.33031922578811646, ""0.3"": 0.32882604002952576, ""1"": 0.3266095817089081, ""3"": 0.3247319757938385, ""10"": 0.3235055208206177, ""30"": 0.3215932846069336, ""45"": 0.3200485408306122, ""65"": 0.31838804483413696, ""90"": 0.31739887595176697}","{""1e-05"": 0.33129602670669556, ""0.0001"": 0.33111676573753357, ""0.001"": 0.331193208694458, ""0.01"": 0.33109191060066223, ""0.1"": 0.33031922578811646, ""0.3"": 0.32882604002952576, ""1"": 0.3266095817089081, ""3"": 0.3247319757938385, ""10"": 0.3235055208206177, ""30"": 0.3215932846069336, ""45"": 0.3200485408306122, ""65"": 0.31838804483413696, ""90"": 0.31739887595176697}",0.32278162240982056,0.31739889056855486,0.24361416657689874,147744,0.3131696619093418,1.0135045924737032
tirex,LOOP_SEATTLE_5T,2,L2,block_depth,True,0.16666666666666666,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.31710776686668396,"{""1e-05"": 0.3272496461868286, ""0.0001"": 0.32726725935935974, ""0.001"": 0.3271118998527527, ""0.01"": 0.327281653881073, ""0.1"": 0.32620468735694885, ""0.3"": 0.32447350025177, ""1"": 0.3216642439365387, ""3"": 0.31973710656166077, ""10"": 0.3185524344444275, ""30"": 0.31839582324028015, ""45"": 0.3178746700286865, ""65"": 0.3174252212047577, ""90"": 0.31710776686668396}","{""1e-05"": 0.3272496461868286, ""0.0001"": 0.32726725935935974, ""0.001"": 0.3271118998527527, ""0.01"": 0.327281653881073, ""0.1"": 0.32620468735694885, ""0.3"": 0.32447350025177, ""1"": 0.3216642439365387, ""3"": 0.31973710656166077, ""10"": 0.3185524344444275, ""30"": 0.31839582324028015, ""45"": 0.3178746700286865, ""65"": 0.3174252212047577, ""90"": 0.31710776686668396}",0.32136452198028564,0.31710777972035736,0.24290799619701073,147744,0.3131696619093418,1.0125750297362954
tirex,LOOP_SEATTLE_5T,3,L3,block_depth,True,0.25,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.315585196018219,"{""1e-05"": 0.3414734899997711, ""0.0001"": 0.3418772220611572, ""0.001"": 0.34143924713134766, ""0.01"": 0.34092801809310913, ""0.1"": 0.3396539092063904, ""0.3"": 0.33636805415153503, ""1"": 0.32990050315856934, ""3"": 0.32441821694374084, ""10"": 0.32092151045799255, ""30"": 0.3180852234363556, ""45"": 0.31725794076919556, ""65"": 0.31661638617515564, ""90"": 0.315585196018219}","{""1e-05"": 0.3414734899997711, ""0.0001"": 0.3418772220611572, ""0.001"": 0.34143924713134766, ""0.01"": 0.34092801809310913, ""0.1"": 0.3396539092063904, ""0.3"": 0.33636805415153503, ""1"": 0.32990050315856934, ""3"": 0.32441821694374084, ""10"": 0.32092151045799255, ""30"": 0.3180852234363556, ""45"": 0.31725794076919556, ""65"": 0.31661638617515564, ""90"": 0.315585196018219}",0.320061594247818,0.3155852238157096,0.2412528116113812,147744,0.3131696619093418,1.00771326919613
tirex,LOOP_SEATTLE_5T,4,L4,block_depth,True,0.3333333333333333,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.311417818069458,"{""1e-05"": 0.3377912938594818, ""0.0001"": 0.3376455307006836, ""0.001"": 0.3376947343349457, ""0.01"": 0.337247759103775, ""0.1"": 0.3361362814903259, ""0.3"": 0.3325515389442444, ""1"": 0.3274558186531067, ""3"": 0.32214903831481934, ""10"": 0.31695353984832764, ""30"": 0.3143737018108368, ""45"": 0.31279000639915466, ""65"": 0.3116726279258728, ""90"": 0.311417818069458}","{""1e-05"": 0.3377912938594818, ""0.0001"": 0.3376455307006836, ""0.001"": 0.3376947343349457, ""0.01"": 0.337247759103775, ""0.1"": 0.3361362814903259, ""0.3"": 0.3325515389442444, ""1"": 0.3274558186531067, ""3"": 0.32214903831481934, ""10"": 0.31695353984832764, ""30"": 0.3143737018108368, ""45"": 0.31279000639915466, ""65"": 0.3116726279258728, ""90"": 0.311417818069458}",0.3147057294845581,0.31141780336735814,0.23921837177099162,147744,0.3131696619093418,0.9944060400637057
tirex,LOOP_SEATTLE_5T,5,L5,block_depth,True,0.4166666666666667,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.29958024621009827,"{""1e-05"": 0.3243809938430786, ""0.0001"": 0.32424649596214294, ""0.001"": 0.3242861032485962, ""0.01"": 0.324424147605896, ""0.1"": 0.3233725428581238, ""0.3"": 0.3215528130531311, ""1"": 0.31795307993888855, ""3"": 0.3134210705757141, ""10"": 0.3080141544342041, ""30"": 0.30231234431266785, ""45"": 0.30046501755714417, ""65"": 0.29958024621009827, ""90"": 0.29995197057724}","{""1e-05"": 0.3243809938430786, ""0.0001"": 0.32424649596214294, ""0.001"": 0.3242861032485962, ""0.01"": 0.324424147605896, ""0.1"": 0.3233725428581238, ""0.3"": 0.3215528130531311, ""1"": 0.31795307993888855, ""3"": 0.3134210705757141, ""10"": 0.3080141544342041, ""30"": 0.30231234431266785, ""45"": 0.30046501755714417, ""65"": 0.29958024621009827, ""90"": 0.29995197057724}",0.2935640215873718,0.29958024703478087,0.20981880703955205,147744,0.3131696619093418,0.9566068603462142
tirex,LOOP_SEATTLE_5T,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.2868543565273285,"{""1e-05"": 0.2991059720516205, ""0.0001"": 0.2992715537548065, ""0.001"": 0.29929307103157043, ""0.01"": 0.2990473806858063, ""0.1"": 0.2977134883403778, ""0.3"": 0.2957082986831665, ""1"": 0.29144033789634705, ""3"": 0.2885027825832367, ""10"": 0.2868543565273285, ""30"": 0.28728461265563965, ""45"": 0.2891971170902252, ""65"": 0.29180896282196045, ""90"": 0.29566264152526855}","{""1e-05"": 0.2991059720516205, ""0.0001"": 0.2992715537548065, ""0.001"": 0.29929307103157043, ""0.01"": 0.2990473806858063, ""0.1"": 0.2977134883403778, ""0.3"": 0.2957082986831665, ""1"": 0.29144033789634705, ""3"": 0.2885027825832367, ""10"": 0.2868543565273285, ""30"": 0.28728461265563965, ""45"": 0.2891971170902252, ""65"": 0.29180896282196045, ""90"": 0.29566264152526855}",0.25954779982566833,0.2868543490483106,0.20896407599269434,147744,0.3131696619093418,0.9159710659691898
tirex,LOOP_SEATTLE_5T,7,L7,block_depth,True,0.5833333333333334,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.65,"mean pinball over (batch, quantiles, horizon)",0.2792808413505554,"{""1e-05"": 0.2979539632797241, ""0.0001"": 0.2974769175052643, ""0.001"": 0.2978905737400055, ""0.01"": 0.2975245714187622, ""0.1"": 0.29632988572120667, ""0.3"": 0.29433467984199524, ""1"": 0.2900497317314148, ""3"": 0.28603076934814453, ""10"": 0.2828921973705292, ""30"": 0.2802360951900482, ""45"": 0.27952808141708374, ""65"": 0.2792808413505554, ""90"": 0.27963533997535706}","{""1e-05"": 0.2979539632797241, ""0.0001"": 0.2974769175052643, ""0.001"": 0.2978905737400055, ""0.01"": 0.2975245714187622, ""0.1"": 0.29632988572120667, ""0.3"": 0.29433467984199524, ""1"": 0.2900497317314148, ""3"": 0.28603076934814453, ""10"": 0.2828921973705292, ""30"": 0.2802360951900482, ""45"": 0.27952808141708374, ""65"": 0.2792808413505554, ""90"": 0.27963533997535706}",0.2849220335483551,0.2792808407533715,0.1982539569432954,147744,0.3131696619093418,0.8917876624786834
tirex,LOOP_SEATTLE_5T,8,L8,block_depth,True,0.6666666666666666,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,"mean pinball over (batch, quantiles, horizon)",0.2731304168701172,"{""1e-05"": 0.30616477131843567, ""0.0001"": 0.30605801939964294, ""0.001"": 0.3060401678085327, ""0.01"": 0.30592209100723267, ""0.1"": 0.3042847812175751, ""0.3"": 0.30115807056427, ""1"": 0.29533395171165466, ""3"": 0.28831371665000916, ""10"": 0.28100472688674927, ""30"": 0.2753731906414032, ""45"": 0.27410948276519775, ""65"": 0.27341994643211365, ""90"": 0.2731304168701172}","{""1e-05"": 0.30616477131843567, ""0.0001"": 0.30605801939964294, ""0.001"": 0.3060401678085327, ""0.01"": 0.30592209100723267, ""0.1"": 0.3042847812175751, ""0.3"": 0.30115807056427, ""1"": 0.29533395171165466, ""3"": 0.28831371665000916, ""10"": 0.28100472688674927, ""30"": 0.2753731906414032, ""45"": 0.27410948276519775, ""65"": 0.27341994643211365, ""90"": 0.2731304168701172}",0.28813350200653076,0.2731304002058415,0.20270608615784244,147744,0.3131696619093418,0.8721483381902712
tirex,LOOP_SEATTLE_5T,9,L9,block_depth,True,0.75,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.2726287543773651,"{""1e-05"": 0.2989989221096039, ""0.0001"": 0.29907459020614624, ""0.001"": 0.29912281036376953, ""0.01"": 0.29891344904899597, ""0.1"": 0.2972850501537323, ""0.3"": 0.294363409280777, ""1"": 0.28866395354270935, ""3"": 0.2818898558616638, ""10"": 0.27588748931884766, ""30"": 0.27313557267189026, ""45"": 0.2726287543773651, ""65"": 0.2728565037250519, ""90"": 0.2738167345523834}","{""1e-05"": 0.2989989221096039, ""0.0001"": 0.29907459020614624, ""0.001"": 0.29912281036376953, ""0.01"": 0.29891344904899597, ""0.1"": 0.2972850501537323, ""0.3"": 0.294363409280777, ""1"": 0.28866395354270935, ""3"": 0.2818898558616638, ""10"": 0.27588748931884766, ""30"": 0.27313557267189026, ""45"": 0.2726287543773651, ""65"": 0.2728565037250519, ""90"": 0.2738167345523834}",0.2688925266265869,0.2726287481211524,0.20925337508434558,147744,0.3131696619093418,0.8705464841612741
