model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,SZ_TAXI_15T,SZ Taxi,0,Emb,embedding,block_depth,True,0,0.0,0.0,True,False,False,0.28964489698410034,0.29148620806443387,0.32772649050905156,1.0468413642192724,1.04787410849295,0.04684136421927243,0.04787410849294993,65.0,False,False,147744,False,False,True,True,False,False,True,True,0.32772649050905156,0.3023538262893756,0.35897848150477957,-0.01497280392318201,-0.020310341994254254,-0.009746422630567606,0.8460946586695101,0.7889248742803663,0.9138404393062348,-0.04416599598656912,-0.06061656192814334,-0.028348379361423027,2.9500816315429566,2.713273851195462,3.1861121676072095,-0.17827304386573495,-0.2315541945014999,-0.12854091691071587,1.9204096764720726,1.7284132921885706,2.138051112678113,-0.10368723396980206,-0.13335701124247043,-0.07440459110978372,0.8460946586695101,2.9500816315429566,1.9204096764720726
tirex,SZ_TAXI_15T,SZ Taxi,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.2778901159763336,0.29140825560077643,0.32461521841394597,1.046561406330557,1.0379261135418134,0.046561406330557054,0.037976364396594464,45.0,False,False,147744,False,False,False,False,False,False,False,False,0.32461521841394597,0.2982868172443257,0.35714179256166784,-0.011861531828076421,-0.01724525696287554,-0.006740367484207336,0.8306920215049838,0.7730337780630069,0.8994321918169345,-0.02876335882204284,-0.04341522351360464,-0.014974685551721241,2.879442782917856,2.653191181646016,3.1058975553639914,-0.10763419524063433,-0.15251038726925412,-0.06511223750132508,1.888833827738989,1.6990696883261884,2.1064330009893295,-0.07211138523671834,-0.09940161884272715,-0.04497860723874558,0.8306920215049838,2.879442782917856,1.888833827738989
tirex,SZ_TAXI_15T,SZ Taxi,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.2781710624694824,0.29073905653487414,0.3246309345540328,1.044158049863933,1.0379763643965945,0.0441580498639329,0.037976364396594464,90.0,True,False,147744,False,False,False,False,False,False,False,False,0.3246309345540328,0.29783765074486535,0.3582715664918606,-0.011877247968163251,-0.017972855580349747,-0.0065021904352574825,0.8318799896223166,0.7729964200737749,0.9023711257108042,-0.029951326939375633,-0.0447501715482512,-0.01632108615712176,2.8660315877046694,2.6475503620629586,3.085851251869796,-0.09422300002744777,-0.13527648709796486,-0.05479353264232489,1.8799098253139015,1.6918776242775408,2.0935087448591294,-0.06318738281163094,-0.08819818361563832,-0.039364026320025405,0.8318799896223166,2.8660315877046694,1.8799098253139015
tirex,SZ_TAXI_15T,SZ Taxi,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.2700479328632355,0.2889142311536349,0.32269097625827176,1.0376043857841004,1.0317735332903064,0.037604385784100414,0.03177353329030641,65.0,False,False,147744,False,False,False,False,False,False,False,False,0.32269097625827176,0.2961855370121506,0.3558418640102713,-0.009937289672402205,-0.015099072902917083,-0.005300598102024732,0.8238861936939623,0.765169939412872,0.8946056010489675,-0.02195753101102138,-0.03456652982503465,-0.010444522007682804,2.8345818055001226,2.6206036575977625,3.054945016264103,-0.06277321782290102,-0.09804975769825094,-0.02691747803766138,1.8650869722850127,1.6772931526035115,2.0775669958828344,-0.048364529782742194,-0.06995767579188764,-0.027891285175087228,0.8238861936939623,2.8345818055001226,1.8650869722850127
tirex,SZ_TAXI_15T,SZ Taxi,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.26430460810661316,0.2864246861770367,0.3215232032995958,1.0286634527742917,1.028039690944837,0.02866345277429172,0.028105170802924073,65.0,False,False,147744,False,False,False,False,False,False,False,False,0.3215232032995958,0.29571762228480136,0.35379271229060416,-0.008769516713726222,-0.012705185959258868,-0.005098821268154256,0.8219440247847766,0.7646341716249423,0.8909617612431769,-0.020015362101835632,-0.030117445651985923,-0.010152153050558617,2.831086226995435,2.6181319889930403,3.0495424103914965,-0.05927763931821328,-0.09006482777867873,-0.0277242837560478,1.8626615775033308,1.6756773876836442,2.073935636825966,-0.04593913500106028,-0.0641124146315318,-0.028585412202893228,0.8219440247847766,2.831086226995435,1.8626615775033308
tirex,SZ_TAXI_15T,SZ Taxi,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.2615554928779602,0.28573759248814523,0.3215436823666096,1.0261958296939344,1.028105170802924,0.026195829693934414,0.028105170802924073,65.0,False,False,147744,False,False,False,False,False,False,False,False,0.3215436823666096,0.2956310458075351,0.35411401038320783,-0.008789995780740023,-0.012730319209349047,-0.00501304109437536,0.8224269794613983,0.7647823851893067,0.891077429861257,-0.02049831677845737,-0.030578862589260958,-0.010884812418897676,2.829919837869649,2.61936529601899,3.0453168076107433,-0.058111250192427466,-0.08910081140606382,-0.0272751316526946,1.8592624844659285,1.670479949060355,2.072204428233575,-0.042540041963657904,-0.059948364069885726,-0.025516129257589587,0.8224269794613983,2.829919837869649,1.8592624844659285
tirex,SZ_TAXI_15T,SZ Taxi,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.2586991786956787,0.28530973215133715,0.3186706538574818,1.0246592153146343,1.0189189369315002,0.02465921531463433,0.018918936931500152,65.0,False,False,147744,False,False,False,False,False,False,False,False,0.3186706538574818,0.2932105256817662,0.3506246534820932,-0.005916967271612228,-0.00948237158501379,-0.002493980425433887,0.8122909881712714,0.7563728046125505,0.8790446699910602,-0.010362325488330493,-0.01869540596214934,-0.0017765355711341095,2.808343279228831,2.593846499313073,3.0300450567591293,-0.03653469155160938,-0.06326164260879294,-0.010546132185026365,1.8482336213326245,1.6607290038164728,2.0586667538550727,-0.031511178830353925,-0.04599831071577231,-0.01703384037919142,0.8122909881712714,2.808343279228831,1.8482336213326245
tirex,SZ_TAXI_15T,SZ Taxi,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.2586289644241333,0.28385816867917013,0.3171032480895519,1.0194460812334558,1.0139073069007234,0.019446081233455814,0.013907306900723393,65.0,False,False,147744,False,True,False,False,False,True,False,False,0.3171032480895519,0.2921170947953868,0.34854210938971775,-0.004349561503682375,-0.008261765453677877,-0.0008556525999059093,0.8109625357925133,0.7550572371113313,0.8784592594501541,-0.009033873109572377,-0.01783070830169747,-0.0006471497720265173,2.802068433892972,2.5877700244026407,3.024002359448288,-0.030259846215750397,-0.054337398956637376,-0.007155302402649391,1.8412031657809795,1.6541040929858162,2.0513674049918813,-0.024480723278708982,-0.03854182051011908,-0.010682644740837516,0.8109625357925133,2.802068433892972,1.8412031657809795
tirex,SZ_TAXI_15T,SZ Taxi,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.25790563225746155,0.28147898805447114,0.3140229201183105,1.0109015099227836,1.0040582528260382,0.010901509922783603,0.007429444203374214,65.0,False,False,147744,False,False,False,False,False,False,False,False,0.3140229201183105,0.2897836904877272,0.3448517255998479,-0.001269233532440961,-0.004353717927080711,0.0017180954607633244,0.8052482517654601,0.7501052517046038,0.8697569602277723,-0.00331958908251917,-0.010647110021948066,0.0038982479184382036,2.7835839879215976,2.574335790486544,3.0035046050961416,-0.011775400244375955,-0.03120247994736568,0.007366169795871279,1.8250614169396715,1.6392536503542068,2.0369583814874885,-0.008338974437400948,-0.0188254825018637,0.0019885090814770667,0.8052482517654601,2.7835839879215976,1.8250614169396715
tirex,SZ_TAXI_15T,SZ Taxi,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.2569698393344879,0.28064011983000314,0.31482640701608783,1.0078888049226618,1.0066273253333793,0.007888804922661752,0.007429444203374214,65.0,False,False,147744,True,False,False,False,True,False,False,False,0.31482640701608783,0.2904425551565603,0.3457721288984593,-0.002072720430218278,-0.004650488054045461,0.0004096820341566574,0.809618095648624,0.75459487094668,0.8746312525029952,-0.00768943296568303,-0.013992949139549923,-0.001405735099267881,2.7961711916782073,2.5841122808252863,3.0174322013721926,-0.024362604000985666,-0.0434518307574482,-0.006085599041230022,1.8285375434267372,1.6423370372383164,2.0433942168776724,-0.011815100924466693,-0.02226759054287698,-0.0023457838279096906,0.809618095648624,2.7961711916782073,1.8285375434267372
