model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
tirex,coastal_ts,Coastal T-S,pos0,test,Emb,block_depth,True,0,48,512,6.530863799000226,0.012755593357422317,0.13895454891489842,1.876539216163209,0.5220816889691572,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L1,block_depth,True,1,48,512,10.522952622652179,0.020552641841117537,0.22389260899259955,2.353558835482283,0.36362826062717585,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L2,block_depth,True,2,48,512,11.638888282262334,0.02273220367629362,0.24763592089919859,2.4543519293453677,0.3331551161477279,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L3,block_depth,True,3,48,512,12.313515517140646,0.024049834994415323,0.2619896918540563,2.510697481646533,0.333051944966219,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L4,block_depth,True,4,48,512,13.417494142099649,0.026206043246288377,0.28547859876807763,2.596559388482178,0.33133362761914265,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L5,block_depth,True,5,48,512,15.13215142759771,0.02955498325702678,0.3219606686722917,2.7168217138313193,0.3151372275696059,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L6,block_depth,True,6,48,512,16.38892237401018,0.03200961401173863,0.34870047604276977,2.796605641601511,0.30019536978539507,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L7,block_depth,True,7,48,512,18.24016534387436,0.03562532293725461,0.3880886243377523,2.9036260495104917,0.2779058365321484,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L8,block_depth,True,8,48,512,18.738936197395105,0.036599484760537315,0.3987007701573427,2.9306035087846536,0.2709112664395156,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L9,block_depth,True,9,48,512,18.434519653422228,0.03600492119809029,0.3922238224132389,2.914224975117847,0.283240802323332,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L10,block_depth,True,10,48,512,18.927821362296967,0.036968401098236264,0.40271960345312696,2.9406328694430255,0.2787142897534361,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L11,block_depth,True,11,48,512,17.4487577718839,0.034079605023210745,0.37125016535923194,2.859268458256804,0.2948681743303656,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L12,block_depth,True,12,48,512,5.120861909877266,0.010001683417729034,0.10895450872079289,1.6333227666564336,0.5792970571133527,47,47.0,True
tirex,coastal_ts,Coastal T-S,pos0,test,L12+RMS,head_input_diagnostic,False,13,48,512,2.484415842199133,0.0048523746917951815,0.052859911536151764,0.9100375583527543,0.8062612670296213,47,47.0,False
tirex,coastal_ts,Coastal T-S,all_positions_from_L1,test,L1,block_depth,True,0,96,512,10.53705155420374,0.02058017881680418,0.11091633214951306,2.3548977652887033,0.3125898498269332,95,95.0,False
tirex,coastal_ts,Coastal T-S,all_positions_from_L1,test,L2,block_depth,True,1,96,512,12.752923337478473,0.024908053393512642,0.13424129828924708,2.5457605266943393,0.27033713631123235,95,95.0,False
