model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,m4_hourly,0,Emb,block_depth,True,0.0,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.26316624879837036,"{""1e-05"": 0.2675973176956177, ""0.0001"": 0.2682541608810425, ""0.001"": 0.26803916692733765, ""0.01"": 0.26819607615470886, ""0.1"": 0.2655903995037079, ""0.3"": 0.2678658068180084, ""1"": 0.2700788974761963, ""3"": 0.2664366066455841, ""10"": 0.264072060585022, ""30"": 0.26328423619270325, ""45"": 0.26316624879837036, ""65"": 0.26387709379196167, ""90"": 0.26427820324897766}","{""1e-05"": 0.2675973176956177, ""0.0001"": 0.2682541608810425, ""0.001"": 0.26803916692733765, ""0.01"": 0.26819607615470886, ""0.1"": 0.2655903995037079, ""0.3"": 0.2678658068180084, ""1"": 0.2700788974761963, ""3"": 0.2664366066455841, ""10"": 0.264072060585022, ""30"": 0.26328423619270325, ""45"": 0.26316624879837036, ""65"": 0.26387709379196167, ""90"": 0.26427820324897766}",0.2112681269645691,0.26316624857087173,0.23350677206998563,147744,0.37308079755033247,0.7053867427614466
tirex,m4_hourly,1,L1,block_depth,True,0.08333333333333333,0.001,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,1e-05,"mean pinball over (batch, quantiles, horizon)",0.1466856300830841,"{""1e-05"": 0.14712075889110565, ""0.0001"": 0.14709973335266113, ""0.001"": 0.1466856300830841, ""0.01"": 0.14779458940029144, ""0.1"": 0.14698821306228638, ""0.3"": 0.14841611683368683, ""1"": 0.15019039809703827, ""3"": 0.1554042547941208, ""10"": 0.16427139937877655, ""30"": 0.1853410005569458, ""45"": 0.19724303483963013, ""65"": 0.2101643830537796, ""90"": 0.2286994606256485}","{""1e-05"": 0.14712075889110565, ""0.0001"": 0.14709973335266113, ""0.001"": 0.1466856300830841, ""0.01"": 0.14779458940029144, ""0.1"": 0.14698821306228638, ""0.3"": 0.14841611683368683, ""1"": 0.15019039809703827, ""3"": 0.1554042547941208, ""10"": 0.16427139937877655, ""30"": 0.1853410005569458, ""45"": 0.19724303483963013, ""65"": 0.2101643830537796, ""90"": 0.2286994606256485}",0.10211829096078873,0.14668562688388442,0.1569963214165382,147744,0.37308079755033247,0.39317388578299856
tirex,m4_hourly,2,L2,block_depth,True,0.16666666666666666,0.1,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.001,"mean pinball over (batch, quantiles, horizon)",0.1324254721403122,"{""1e-05"": 0.13368962705135345, ""0.0001"": 0.13341543078422546, ""0.001"": 0.13417038321495056, ""0.01"": 0.13430023193359375, ""0.1"": 0.1324254721403122, ""0.3"": 0.1326170265674591, ""1"": 0.13262885808944702, ""3"": 0.1330917924642563, ""10"": 0.1363644003868103, ""30"": 0.14565543830394745, ""45"": 0.15543080866336823, ""65"": 0.16954867541790009, ""90"": 0.1955152451992035}","{""1e-05"": 0.13368962705135345, ""0.0001"": 0.13341543078422546, ""0.001"": 0.13417038321495056, ""0.01"": 0.13430023193359375, ""0.1"": 0.1324254721403122, ""0.3"": 0.1326170265674591, ""1"": 0.13262885808944702, ""3"": 0.1330917924642563, ""10"": 0.1363644003868103, ""30"": 0.14565543830394745, ""45"": 0.15543080866336823, ""65"": 0.16954867541790009, ""90"": 0.1955152451992035}",0.09078233689069748,0.13242546724909135,0.14336776063699302,147744,0.37308079755033247,0.3549511744335375
tirex,m4_hourly,3,L3,block_depth,True,0.25,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,"mean pinball over (batch, quantiles, horizon)",0.1282806545495987,"{""1e-05"": 0.13331156969070435, ""0.0001"": 0.1339947134256363, ""0.001"": 0.13358592987060547, ""0.01"": 0.13394217193126678, ""0.1"": 0.13221250474452972, ""0.3"": 0.1311122328042984, ""1"": 0.1282806545495987, ""3"": 0.1287851184606552, ""10"": 0.1313101053237915, ""30"": 0.1420971006155014, ""45"": 0.1489470899105072, ""65"": 0.16291245818138123, ""90"": 0.19004806876182556}","{""1e-05"": 0.13331156969070435, ""0.0001"": 0.1339947134256363, ""0.001"": 0.13358592987060547, ""0.01"": 0.13394217193126678, ""0.1"": 0.13221250474452972, ""0.3"": 0.1311122328042984, ""1"": 0.1282806545495987, ""3"": 0.1287851184606552, ""10"": 0.1313101053237915, ""30"": 0.1420971006155014, ""45"": 0.1489470899105072, ""65"": 0.16291245818138123, ""90"": 0.19004806876182556}",0.0894901305437088,0.12828065858769963,0.13869459954097527,147744,0.37308079755033247,0.34384149339766873
tirex,m4_hourly,4,L4,block_depth,True,0.3333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.12359299510717392,"{""1e-05"": 0.1295071393251419, ""0.0001"": 0.12952956557273865, ""0.001"": 0.12985555827617645, ""0.01"": 0.13005654513835907, ""0.1"": 0.12841637432575226, ""0.3"": 0.12605401873588562, ""1"": 0.12406653165817261, ""3"": 0.12359299510717392, ""10"": 0.12551848590373993, ""30"": 0.13447551429271698, ""45"": 0.14389076828956604, ""65"": 0.16001619398593903, ""90"": 0.19082356989383698}","{""1e-05"": 0.1295071393251419, ""0.0001"": 0.12952956557273865, ""0.001"": 0.12985555827617645, ""0.01"": 0.13005654513835907, ""0.1"": 0.12841637432575226, ""0.3"": 0.12605401873588562, ""1"": 0.12406653165817261, ""3"": 0.12359299510717392, ""10"": 0.12551848590373993, ""30"": 0.13447551429271698, ""45"": 0.14389076828956604, ""65"": 0.16001619398593903, ""90"": 0.19082356989383698}",0.08971817791461945,0.12359300093682668,0.14062045862940886,147744,0.37308079755033247,0.3312767683256405
tirex,m4_hourly,5,L5,block_depth,True,0.4166666666666667,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.12305616587400436,"{""1e-05"": 0.13042676448822021, ""0.0001"": 0.13083447515964508, ""0.001"": 0.13145245611667633, ""0.01"": 0.1308761090040207, ""0.1"": 0.12949809432029724, ""0.3"": 0.1258610188961029, ""1"": 0.12357336282730103, ""3"": 0.12305616587400436, ""10"": 0.1256089210510254, ""30"": 0.141597181558609, ""45"": 0.1537795066833496, ""65"": 0.1754673719406128, ""90"": 0.20634999871253967}","{""1e-05"": 0.13042676448822021, ""0.0001"": 0.13083447515964508, ""0.001"": 0.13145245611667633, ""0.01"": 0.1308761090040207, ""0.1"": 0.12949809432029724, ""0.3"": 0.1258610188961029, ""1"": 0.12357336282730103, ""3"": 0.12305616587400436, ""10"": 0.1256089210510254, ""30"": 0.141597181558609, ""45"": 0.1537795066833496, ""65"": 0.1754673719406128, ""90"": 0.20634999871253967}",0.08464280515909195,0.12305616625790833,0.13656627506245184,147744,0.37308079755033247,0.3298378449545015
tirex,m4_hourly,6,L6,block_depth,True,0.5,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.1215134933590889,"{""1e-05"": 0.1373835653066635, ""0.0001"": 0.1364162415266037, ""0.001"": 0.13611534237861633, ""0.01"": 0.13679783046245575, ""0.1"": 0.13381756842136383, ""0.3"": 0.13193020224571228, ""1"": 0.12547855079174042, ""3"": 0.1215134933590889, ""10"": 0.12480026483535767, ""30"": 0.14215408265590668, ""45"": 0.15994876623153687, ""65"": 0.1891273558139801, ""90"": 0.2243110090494156}","{""1e-05"": 0.1373835653066635, ""0.0001"": 0.1364162415266037, ""0.001"": 0.13611534237861633, ""0.01"": 0.13679783046245575, ""0.1"": 0.13381756842136383, ""0.3"": 0.13193020224571228, ""1"": 0.12547855079174042, ""3"": 0.1215134933590889, ""10"": 0.12480026483535767, ""30"": 0.14215408265590668, ""45"": 0.15994876623153687, ""65"": 0.1891273558139801, ""90"": 0.2243110090494156}",0.07864990830421448,0.12151349603219797,0.13764736336435526,147744,0.37308079755033247,0.325702895539148
tirex,m4_hourly,7,L7,block_depth,True,0.5833333333333334,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.12281300872564316,"{""1e-05"": 0.13095302879810333, ""0.0001"": 0.1308470219373703, ""0.001"": 0.1304071545600891, ""0.01"": 0.1317915916442871, ""0.1"": 0.12803779542446136, ""0.3"": 0.12572625279426575, ""1"": 0.12311571836471558, ""3"": 0.12281300872564316, ""10"": 0.1266472190618515, ""30"": 0.14711126685142517, ""45"": 0.16707240045070648, ""65"": 0.1977173537015915, ""90"": 0.23167389631271362}","{""1e-05"": 0.13095302879810333, ""0.0001"": 0.1308470219373703, ""0.001"": 0.1304071545600891, ""0.01"": 0.1317915916442871, ""0.1"": 0.12803779542446136, ""0.3"": 0.12572625279426575, ""1"": 0.12311571836471558, ""3"": 0.12281300872564316, ""10"": 0.1266472190618515, ""30"": 0.14711126685142517, ""45"": 0.16707240045070648, ""65"": 0.1977173537015915, ""90"": 0.23167389631271362}",0.07609712332487106,0.12281301977354607,0.13824232761527747,147744,0.37308079755033247,0.329186118878116
tirex,m4_hourly,8,L8,block_depth,True,0.6666666666666666,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.11750240623950958,"{""1e-05"": 0.13129909336566925, ""0.0001"": 0.1319853961467743, ""0.001"": 0.13240963220596313, ""0.01"": 0.13069060444831848, ""0.1"": 0.12996555864810944, ""0.3"": 0.1261768788099289, ""1"": 0.12047581374645233, ""3"": 0.11750240623950958, ""10"": 0.11849605292081833, ""30"": 0.13209450244903564, ""45"": 0.14420828223228455, ""65"": 0.17129965126514435, ""90"": 0.20366910099983215}","{""1e-05"": 0.13129909336566925, ""0.0001"": 0.1319853961467743, ""0.001"": 0.13240963220596313, ""0.01"": 0.13069060444831848, ""0.1"": 0.12996555864810944, ""0.3"": 0.1261768788099289, ""1"": 0.12047581374645233, ""3"": 0.11750240623950958, ""10"": 0.11849605292081833, ""30"": 0.13209450244903564, ""45"": 0.14420828223228455, ""65"": 0.17129965126514435, ""90"": 0.20366910099983215}",0.07429049164056778,0.11750240048095015,0.1304283137113311,147744,0.37308079755033247,0.3149516170558144
tirex,m4_hourly,9,L9,block_depth,True,0.75,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.11297756433486938,"{""1e-05"": 0.1260957270860672, ""0.0001"": 0.1253439337015152, ""0.001"": 0.12565523386001587, ""0.01"": 0.12669317424297333, ""0.1"": 0.12388830631971359, ""0.3"": 0.12027537822723389, ""1"": 0.11533985286951065, ""3"": 0.11297756433486938, ""10"": 0.1144678145647049, ""30"": 0.129411518573761, ""45"": 0.1437789499759674, ""65"": 0.1698109656572342, ""90"": 0.20208927989006042}","{""1e-05"": 0.1260957270860672, ""0.0001"": 0.1253439337015152, ""0.001"": 0.12565523386001587, ""0.01"": 0.12669317424297333, ""0.1"": 0.12388830631971359, ""0.3"": 0.12027537822723389, ""1"": 0.11533985286951065, ""3"": 0.11297756433486938, ""10"": 0.1144678145647049, ""30"": 0.129411518573761, ""45"": 0.1437789499759674, ""65"": 0.1698109656572342, ""90"": 0.20208927989006042}",0.07350602746009827,0.11297756319737616,0.12467758162729158,147744,0.37308079755033247,0.30282331317825145
tirex,m4_hourly,10,L10,block_depth,True,0.8333333333333334,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.10087900608778,"{""1e-05"": 0.11134038120508194, ""0.0001"": 0.11189696937799454, ""0.001"": 0.11133469641208649, ""0.01"": 0.11242958158254623, ""0.1"": 0.1106930524110794, ""0.3"": 0.10758980363607407, ""1"": 0.10279449075460434, ""3"": 0.10087900608778, ""10"": 0.10193395614624023, ""30"": 0.11201731860637665, ""45"": 0.12057805806398392, ""65"": 0.14036411046981812, ""90"": 0.1716069132089615}","{""1e-05"": 0.11134038120508194, ""0.0001"": 0.11189696937799454, ""0.001"": 0.11133469641208649, ""0.01"": 0.11242958158254623, ""0.1"": 0.1106930524110794, ""0.3"": 0.10758980363607407, ""1"": 0.10279449075460434, ""3"": 0.10087900608778, ""10"": 0.10193395614624023, ""30"": 0.11201731860637665, ""45"": 0.12057805806398392, ""65"": 0.14036411046981812, ""90"": 0.1716069132089615}",0.0696784183382988,0.10087899954719398,0.11895130955763446,147744,0.37308079755033247,0.2703945102765155
tirex,m4_hourly,11,L11,block_depth,True,0.9166666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.09472478926181793,"{""1e-05"": 0.10549212247133255, ""0.0001"": 0.10563677549362183, ""0.001"": 0.1047934964299202, ""0.01"": 0.10541549324989319, ""0.1"": 0.10345230251550674, ""0.3"": 0.10071828961372375, ""1"": 0.09721440821886063, ""3"": 0.09529706835746765, ""10"": 0.09472478926181793, ""30"": 0.1036742627620697, ""45"": 0.1111602634191513, ""65"": 0.12569890916347504, ""90"": 0.15168452262878418}","{""1e-05"": 0.10549212247133255, ""0.0001"": 0.10563677549362183, ""0.001"": 0.1047934964299202, ""0.01"": 0.10541549324989319, ""0.1"": 0.10345230251550674, ""0.3"": 0.10071828961372375, ""1"": 0.09721440821886063, ""3"": 0.09529706835746765, ""10"": 0.09472478926181793, ""30"": 0.1036742627620697, ""45"": 0.1111602634191513, ""65"": 0.12569890916347504, ""90"": 0.15168452262878418}",0.0660707950592041,0.09472478998696986,0.11039238749427423,147744,0.37308079755033247,0.2538988621471211
tirex,m4_hourly,12,L12,block_depth,True,1.0,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.08870670199394226,"{""1e-05"": 0.1026354730129242, ""0.0001"": 0.10263220965862274, ""0.001"": 0.10318776220083237, ""0.01"": 0.10201497375965118, ""0.1"": 0.09985467791557312, ""0.3"": 0.09754820913076401, ""1"": 0.09228188544511795, ""3"": 0.0894303098320961, ""10"": 0.08870670199394226, ""30"": 0.09532727301120758, ""45"": 0.09978321194648743, ""65"": 0.10627544671297073, ""90"": 0.11857891082763672}","{""1e-05"": 0.1026354730129242, ""0.0001"": 0.10263220965862274, ""0.001"": 0.10318776220083237, ""0.01"": 0.10201497375965118, ""0.1"": 0.09985467791557312, ""0.3"": 0.09754820913076401, ""1"": 0.09228188544511795, ""3"": 0.0894303098320961, ""10"": 0.08870670199394226, ""30"": 0.09532727301120758, ""45"": 0.09978321194648743, ""65"": 0.10627544671297073, ""90"": 0.11857891082763672}",0.06075531244277954,0.08870669897958522,0.10566483562428305,147744,0.37308079755033247,0.23776806408166254
