model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,monash_london_smart_meters,0,Emb,block_depth,True,0.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.29017728567123413,"{""1e-05"": 0.29119330644607544, ""0.0001"": 0.2910248041152954, ""0.001"": 0.29117351770401, ""0.01"": 0.29104679822921753, ""0.1"": 0.2908802628517151, ""0.3"": 0.2907133996486664, ""1"": 0.2902270555496216, ""3"": 0.29017728567123413, ""10"": 0.29047009348869324, ""30"": 0.2903592884540558, ""45"": 0.2906123399734497, ""65"": 0.29104891419410706, ""90"": 0.2917720079421997}","{""1e-05"": 0.29119330644607544, ""0.0001"": 0.2910248041152954, ""0.001"": 0.29117351770401, ""0.01"": 0.29104679822921753, ""0.1"": 0.2908802628517151, ""0.3"": 0.2907133996486664, ""1"": 0.2902270555496216, ""3"": 0.29017728567123413, ""10"": 0.29047009348869324, ""30"": 0.2903592884540558, ""45"": 0.2906123399734497, ""65"": 0.29104891419410706, ""90"": 0.2917720079421997}",0.24857501685619354,0.2901773116345169,0.24934406032544057,147744,0.3002947202051869,0.966308403411965
tirex,monash_london_smart_meters,1,L1,block_depth,True,0.08333333333333333,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.26890820264816284,"{""1e-05"": 0.27297911047935486, ""0.0001"": 0.27286839485168457, ""0.001"": 0.27287009358406067, ""0.01"": 0.27278852462768555, ""0.1"": 0.2720869481563568, ""0.3"": 0.2709503769874573, ""1"": 0.2694569230079651, ""3"": 0.26890820264816284, ""10"": 0.2701231837272644, ""30"": 0.2741292417049408, ""45"": 0.2761363983154297, ""65"": 0.27895480394363403, ""90"": 0.2824723720550537}","{""1e-05"": 0.27297911047935486, ""0.0001"": 0.27286839485168457, ""0.001"": 0.27287009358406067, ""0.01"": 0.27278852462768555, ""0.1"": 0.2720869481563568, ""0.3"": 0.2709503769874573, ""1"": 0.2694569230079651, ""3"": 0.26890820264816284, ""10"": 0.2701231837272644, ""30"": 0.2741292417049408, ""45"": 0.2761363983154297, ""65"": 0.27895480394363403, ""90"": 0.2824723720550537}",0.21942929923534393,0.26890820486627465,0.22523515301806327,147744,0.3002947202051869,0.8954809617782614
tirex,monash_london_smart_meters,2,L2,block_depth,True,0.16666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.26143476366996765,"{""1e-05"": 0.27080661058425903, ""0.0001"": 0.27065449953079224, ""0.001"": 0.2706841826438904, ""0.01"": 0.2706969380378723, ""0.1"": 0.26949143409729004, ""0.3"": 0.2677488625049591, ""1"": 0.26452088356018066, ""3"": 0.26214274764060974, ""10"": 0.26143476366996765, ""30"": 0.26339298486709595, ""45"": 0.26540055871009827, ""65"": 0.2684016823768616, ""90"": 0.2729792892932892}","{""1e-05"": 0.27080661058425903, ""0.0001"": 0.27065449953079224, ""0.001"": 0.2706841826438904, ""0.01"": 0.2706969380378723, ""0.1"": 0.26949143409729004, ""0.3"": 0.2677488625049591, ""1"": 0.26452088356018066, ""3"": 0.26214274764060974, ""10"": 0.26143476366996765, ""30"": 0.26339298486709595, ""45"": 0.26540055871009827, ""65"": 0.2684016823768616, ""90"": 0.2729792892932892}",0.21213209629058838,0.2614347678360366,0.21704666713210008,147744,0.3002947202051869,0.8705939540242403
tirex,monash_london_smart_meters,3,L3,block_depth,True,0.25,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.2581900358200073,"{""1e-05"": 0.27126580476760864, ""0.0001"": 0.27140671014785767, ""0.001"": 0.27132248878479004, ""0.01"": 0.27119308710098267, ""0.1"": 0.26987650990486145, ""0.3"": 0.2676194906234741, ""1"": 0.2638457119464874, ""3"": 0.26037976145744324, ""10"": 0.2581900358200073, ""30"": 0.2584395110607147, ""45"": 0.2595539093017578, ""65"": 0.26165977120399475, ""90"": 0.2651582658290863}","{""1e-05"": 0.27126580476760864, ""0.0001"": 0.27140671014785767, ""0.001"": 0.27132248878479004, ""0.01"": 0.27119308710098267, ""0.1"": 0.26987650990486145, ""0.3"": 0.2676194906234741, ""1"": 0.2638457119464874, ""3"": 0.26037976145744324, ""10"": 0.2581900358200073, ""30"": 0.2584395110607147, ""45"": 0.2595539093017578, ""65"": 0.26165977120399475, ""90"": 0.2651582658290863}",0.20637495815753937,0.25819001227389765,0.21481445997612167,147744,0.3002947202051869,0.8597887172224683
tirex,monash_london_smart_meters,4,L4,block_depth,True,0.3333333333333333,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.25768542289733887,"{""1e-05"": 0.27437904477119446, ""0.0001"": 0.2744442820549011, ""0.001"": 0.2744969427585602, ""0.01"": 0.2742292881011963, ""0.1"": 0.27292338013648987, ""0.3"": 0.2705889940261841, ""1"": 0.2660769820213318, ""3"": 0.2616662383079529, ""10"": 0.25828883051872253, ""30"": 0.25768542289733887, ""45"": 0.258299320936203, ""65"": 0.2595013678073883, ""90"": 0.26207590103149414}","{""1e-05"": 0.27437904477119446, ""0.0001"": 0.2744442820549011, ""0.001"": 0.2744969427585602, ""0.01"": 0.2742292881011963, ""0.1"": 0.27292338013648987, ""0.3"": 0.2705889940261841, ""1"": 0.2660769820213318, ""3"": 0.2616662383079529, ""10"": 0.25828883051872253, ""30"": 0.25768542289733887, ""45"": 0.258299320936203, ""65"": 0.2595013678073883, ""90"": 0.26207590103149414}",0.20926252007484436,0.2576854061050952,0.2144849506555168,147744,0.3002947202051869,0.8581083474562011
tirex,monash_london_smart_meters,5,L5,block_depth,True,0.4166666666666667,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.25868046283721924,"{""1e-05"": 0.27698367834091187, ""0.0001"": 0.27687788009643555, ""0.001"": 0.27689963579177856, ""0.01"": 0.276810884475708, ""0.1"": 0.27533408999443054, ""0.3"": 0.27304157614707947, ""1"": 0.2681587040424347, ""3"": 0.2633252739906311, ""10"": 0.2594636082649231, ""30"": 0.25868046283721924, ""45"": 0.2593293786048889, ""65"": 0.2609320282936096, ""90"": 0.2636664807796478}","{""1e-05"": 0.27698367834091187, ""0.0001"": 0.27687788009643555, ""0.001"": 0.27689963579177856, ""0.01"": 0.276810884475708, ""0.1"": 0.27533408999443054, ""0.3"": 0.27304157614707947, ""1"": 0.2681587040424347, ""3"": 0.2633252739906311, ""10"": 0.2594636082649231, ""30"": 0.25868046283721924, ""45"": 0.2593293786048889, ""65"": 0.2609320282936096, ""90"": 0.2636664807796478}",0.20806308090686798,0.258680451590255,0.21562206708179174,147744,0.3002947202051869,0.8614219104934729
tirex,monash_london_smart_meters,6,L6,block_depth,True,0.5,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.25925880670547485,"{""1e-05"": 0.2783275544643402, ""0.0001"": 0.2783539593219757, ""0.001"": 0.2782977819442749, ""0.01"": 0.2781212031841278, ""0.1"": 0.2767214775085449, ""0.3"": 0.2741449475288391, ""1"": 0.268994003534317, ""3"": 0.2636350095272064, ""10"": 0.2599913775920868, ""30"": 0.25925880670547485, ""45"": 0.25991228222846985, ""65"": 0.26136285066604614, ""90"": 0.26392436027526855}","{""1e-05"": 0.2783275544643402, ""0.0001"": 0.2783539593219757, ""0.001"": 0.2782977819442749, ""0.01"": 0.2781212031841278, ""0.1"": 0.2767214775085449, ""0.3"": 0.2741449475288391, ""1"": 0.268994003534317, ""3"": 0.2636350095272064, ""10"": 0.2599913775920868, ""30"": 0.25925880670547485, ""45"": 0.25991228222846985, ""65"": 0.26136285066604614, ""90"": 0.26392436027526855}",0.20745690166950226,0.259258798288025,0.21605964650520842,147744,0.3002947202051869,0.8633478407841382
tirex,monash_london_smart_meters,7,L7,block_depth,True,0.5833333333333334,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.2588033974170685,"{""1e-05"": 0.2792021930217743, ""0.0001"": 0.2791975438594818, ""0.001"": 0.279204398393631, ""0.01"": 0.2791290879249573, ""0.1"": 0.2773442268371582, ""0.3"": 0.2746613621711731, ""1"": 0.2689588665962219, ""3"": 0.263240784406662, ""10"": 0.2593085467815399, ""30"": 0.2588033974170685, ""45"": 0.2597212493419647, ""65"": 0.26123687624931335, ""90"": 0.26393383741378784}","{""1e-05"": 0.2792021930217743, ""0.0001"": 0.2791975438594818, ""0.001"": 0.279204398393631, ""0.01"": 0.2791290879249573, ""0.1"": 0.2773442268371582, ""0.3"": 0.2746613621711731, ""1"": 0.2689588665962219, ""3"": 0.263240784406662, ""10"": 0.2593085467815399, ""30"": 0.2588033974170685, ""45"": 0.2597212493419647, ""65"": 0.26123687624931335, ""90"": 0.26393383741378784}",0.2075681835412979,0.2588033910755438,0.21525799733309345,147744,0.3002947202051869,0.8618313065867669
tirex,monash_london_smart_meters,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.2551526129245758,"{""1e-05"": 0.27488112449645996, ""0.0001"": 0.27495530247688293, ""0.001"": 0.2749982476234436, ""0.01"": 0.27473631501197815, ""0.1"": 0.2732026278972626, ""0.3"": 0.2702297270298004, ""1"": 0.2647678554058075, ""3"": 0.25952988862991333, ""10"": 0.2556345462799072, ""30"": 0.2551526129245758, ""45"": 0.2560293972492218, ""65"": 0.25743913650512695, ""90"": 0.25981149077415466}","{""1e-05"": 0.27488112449645996, ""0.0001"": 0.27495530247688293, ""0.001"": 0.2749982476234436, ""0.01"": 0.27473631501197815, ""0.1"": 0.2732026278972626, ""0.3"": 0.2702297270298004, ""1"": 0.2647678554058075, ""3"": 0.25952988862991333, ""10"": 0.2556345462799072, ""30"": 0.2551526129245758, ""45"": 0.2560293972492218, ""65"": 0.25743913650512695, ""90"": 0.25981149077415466}",0.2062438279390335,0.25515259338812973,0.21306566077903027,147744,0.3002947202051869,0.8496739243826458
tirex,monash_london_smart_meters,9,L9,block_depth,True,0.75,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.25311678647994995,"{""1e-05"": 0.272810161113739, ""0.0001"": 0.272813081741333, ""0.001"": 0.27298519015312195, ""0.01"": 0.27260470390319824, ""0.1"": 0.27108195424079895, ""0.3"": 0.2682068943977356, ""1"": 0.2625768482685089, ""3"": 0.2572156488895416, ""10"": 0.2535059452056885, ""30"": 0.25311678647994995, ""45"": 0.25412553548812866, ""65"": 0.2557452917098999, ""90"": 0.2583656311035156}","{""1e-05"": 0.272810161113739, ""0.0001"": 0.272813081741333, ""0.001"": 0.27298519015312195, ""0.01"": 0.27260470390319824, ""0.1"": 0.27108195424079895, ""0.3"": 0.2682068943977356, ""1"": 0.2625768482685089, ""3"": 0.2572156488895416, ""10"": 0.2535059452056885, ""30"": 0.25311678647994995, ""45"": 0.25412553548812866, ""65"": 0.2557452917098999, ""90"": 0.2583656311035156}",0.20482128858566284,0.25311678197263304,0.21057375767872533,147744,0.3002947202051869,0.8428945463965605
