model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,sg_carpark,SG Carpark,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.2329416126012802,0.2650111557568534,0.2319216423873174,2.087721842067784,1.9217392543646175,1.087721842067784,0.9217392543646175,3.0,False,False,147744,False,False,False,False,False,False,False,False,0.2319216423873174,0.22064412372281492,0.24506548179923898,-0.11123844259287005,-0.11869786175778188,-0.1029748359405683,1.6065859767939268,1.5255526624397013,1.6903976437398398,-0.8849962540882315,-0.9493677461062467,-0.8165854640837984,24.220305548891112,22.261735315984723,26.3216827293374,-12.986286058756631,-14.443085223356992,-11.506111588082566,0.6323922640293217,0.5763238455273938,0.695030589124385,-0.3030910172463462,-0.34408617674177966,-0.26277488883213634,1.6065859767939268,24.220305548891112,0.6323922640293217
tirex,sg_carpark,SG Carpark,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.14558687806129456,0.18996560135803653,0.14348839824272078,1.4965231711248748,1.1889674659531415,0.49652317112487476,0.1889674659531415,0.1,False,False,147744,False,False,False,False,False,False,False,False,0.14348839824272078,0.13012695878844097,0.15861938321978739,-0.022805198448273417,-0.026918714952334177,-0.01842355946747134,0.8445201987431771,0.7647160567872139,0.9369536250993569,-0.12293047603748175,-0.1503272363553266,-0.09393423511503363,12.947412047886512,11.313747010082647,14.829279562004709,-1.713392557752032,-2.2936766358266873,-1.1125432600137253,0.38379432196697544,0.33288624407687245,0.44439326445064325,-0.05449307518399993,-0.07255370852971865,-0.03405716962711503,0.8445201987431771,12.947412047886512,0.38379432196697544
tirex,sg_carpark,SG Carpark,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.1328744888305664,0.17357620908378882,0.13608917498192882,1.3674097678364583,1.1276563367040446,0.3674097678364583,0.12765633670404464,1.0,False,False,147744,False,False,False,False,False,False,False,False,0.13608917498192882,0.1232835441972471,0.15069726576113096,-0.015405975187481463,-0.018965479416120274,-0.011675264581374958,0.814476703060743,0.7346968701039925,0.907693863760458,-0.09288698035504772,-0.11683922850312116,-0.06809439834189825,12.397590672441611,10.807142008043007,14.209226431166954,-1.1635711823071304,-1.7475659961228995,-0.5525238891740311,0.36411415278000625,0.3147542135936128,0.42281957999044684,-0.03481290599703074,-0.05135425571341094,-0.016411296049785782,0.814476703060743,12.397590672441611,0.36411415278000625
tirex,sg_carpark,SG Carpark,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.13182680308818817,0.16550046199206578,0.13548353195485086,1.3037901305941888,1.1226378831984238,0.3259143311598749,0.12263788319842384,3.0,False,False,147744,False,False,False,False,False,False,False,False,0.13548353195485086,0.12307059269761508,0.149448219195566,-0.014800332160403495,-0.018649643470170132,-0.010440551327267853,0.8029771908171972,0.7274991050475361,0.8913180258542321,-0.08138746811150188,-0.1088355199067432,-0.05027576873361892,12.354745483872653,10.828975800883022,14.112083147151514,-1.1207259937381728,-1.7579603362057867,-0.44342821753731254,0.36368240867087137,0.3160321316495029,0.41960139043383776,-0.03438116188789586,-0.05287529708850692,-0.012293104449256385,0.8029771908171972,12.354745483872653,0.36368240867087137
tirex,sg_carpark,SG Carpark,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.13134491443634033,0.1662587432748517,0.13394426437631501,1.309763767409523,1.1098832696220722,0.3259143311598749,0.10988326962207218,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.13394426437631501,0.12177067169509197,0.14793574921155378,-0.013261064581867654,-0.017319487788488203,-0.008600779440474958,0.81166311003141,0.737016925526861,0.897703197968586,-0.09007338732571468,-0.12010408501241383,-0.05693003460341312,12.44211251622726,10.885430874440013,14.22322212821536,-1.2080930260927794,-1.9532897035419552,-0.4746265649124024,0.35952936057905716,0.3113203702888862,0.416521625461193,-0.030228113796081646,-0.05111098060122894,-0.006319880771128596,0.81166311003141,12.44211251622726,0.35952936057905716
tirex,sg_carpark,SG Carpark,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.11653103679418564,0.16830886292171343,0.1321163392588917,1.325914331159875,1.0947367942175692,0.3259143311598749,0.09639720172939881,3.0,False,False,147744,False,False,False,False,False,False,False,False,0.1321163392588917,0.11948182773329108,0.14648319009407346,-0.011433139464444353,-0.014899982276535738,-0.0076570239362680394,0.8029599512964875,0.7270229484637648,0.8922754747002696,-0.08137022859079213,-0.10471018788206084,-0.056358867255358144,12.363166517415472,10.796728496732946,14.112233939639562,-1.1291470272809914,-1.7293568267691428,-0.5020882041002764,0.3568331159860735,0.306185946093672,0.4145284003268505,-0.02753186920309797,-0.04378021646500388,-0.009790276983067848,0.8029599512964875,12.363166517415472,0.3568331159860735
tirex,sg_carpark,SG Carpark,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.11901495605707169,0.1663710597039616,0.13118211603013136,1.3106485809623942,1.0869956734124235,0.3106485809623942,0.09639720172939881,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.13118211603013136,0.1179856687855228,0.1458337201379071,-0.010498916235683997,-0.014230770910800676,-0.006328941329703311,0.7929981510968915,0.7133973985672922,0.8848595465502389,-0.07140842839119621,-0.09816811194932969,-0.04297786950823117,12.04260988636709,10.476598368809116,13.849086347594,-0.80859039623261,-1.4870832247225376,-0.09487095016475654,0.34906141146416564,0.29931863402183634,0.40808607821454496,-0.01976016468119013,-0.039451508376151634,0.0018015187073481852,0.7929981510968915,12.04260988636709,0.34906141146416564
tirex,sg_carpark,SG Carpark,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.11559055745601654,0.16470092772848188,0.13231672255038204,1.2974915084067622,1.0963972017293988,0.2974915084067622,0.09639720172939881,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.13231672255038204,0.11897526434307003,0.1472500430467396,-0.011633522755934683,-0.015478152771201528,-0.007283502573536779,0.782573813698233,0.7059855158501963,0.8714130572377934,-0.060984090992537654,-0.08834052098053718,-0.031062683273071615,11.802846638382666,10.292142709932582,13.557476794043701,-0.5688271482481859,-1.1851233992669823,0.12205910619157025,0.3495993584204199,0.3010050657434724,0.40848845996005095,-0.020298111637444383,-0.0383423221845516,0.001135192344150865,0.782573813698233,11.802846638382666,0.3495993584204199
tirex,sg_carpark,SG Carpark,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.11381445080041885,0.16069111257454768,0.12789412545787412,1.2659027299811343,1.0597508657021748,0.2659027299811343,0.059750865702174805,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.12789412545787412,0.11483096390841582,0.1426803868064015,-0.007210925663426765,-0.0105704159386414,-0.0034972384240541383,0.7620785529078729,0.68422003240914,0.8521866678623725,-0.04048883020217753,-0.06322936551448072,-0.015012462919630133,11.559372855138534,10.032591133660839,13.314558882423999,-0.32535336500405343,-0.889787226790398,0.30305878175972933,0.33865883603283653,0.2893228216620272,0.3977379659649046,-0.00935758924986102,-0.025330656039228204,0.008873853301343212,0.7620785529078729,11.559372855138534,0.33865883603283653
tirex,sg_carpark,SG Carpark,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.112523652613163,0.1465947908259886,0.12427691255543528,1.1548538244238036,1.0297780699145274,0.15485382442380358,0.02977806991452736,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.12427691255543528,0.11137917042488896,0.1388774857987876,-0.0035937127609879244,-0.0063437335874548684,-0.000529619383936135,0.7478100882023964,0.6697336252905796,0.8389341366925014,-0.026220365496701037,-0.04442023249927727,-0.006730405428004453,11.396204043366357,9.855757572646548,13.174284823322585,-0.1621845532318762,-0.5811891345866328,0.31945074825299885,0.33162660627540763,0.2822067584308848,0.39032577053497597,-0.002325359492432122,-0.01462784385363732,0.012506640847574073,0.7478100882023964,11.396204043366357,0.33162660627540763
