model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,sg_carpark,0,Emb,block_depth,True,0.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.26501116156578064,"{""1e-05"": 0.26826611161231995, ""0.0001"": 0.26857537031173706, ""0.001"": 0.2684677243232727, ""0.01"": 0.2684794068336487, ""0.1"": 0.268189400434494, ""0.3"": 0.2677520513534546, ""1"": 0.2660815715789795, ""3"": 0.26501116156578064, ""10"": 0.2654455006122589, ""30"": 0.2666630148887634, ""45"": 0.26780906319618225, ""65"": 0.26802968978881836, ""90"": 0.27033260464668274}","{""1e-05"": 0.26826611161231995, ""0.0001"": 0.26857537031173706, ""0.001"": 0.2684677243232727, ""0.01"": 0.2684794068336487, ""0.1"": 0.268189400434494, ""0.3"": 0.2677520513534546, ""1"": 0.2660815715789795, ""3"": 0.26501116156578064, ""10"": 0.2654455006122589, ""30"": 0.2666630148887634, ""45"": 0.26780906319618225, ""65"": 0.26802968978881836, ""90"": 0.27033260464668274}",0.2329416126012802,0.2650111557568534,0.2319216423873174,147744,0.3343340878685315,0.7926537118795448
tirex,sg_carpark,1,L1,block_depth,True,0.08333333333333333,0.1,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.001,"mean pinball over (batch, quantiles, horizon)",0.1899656057357788,"{""1e-05"": 0.19022558629512787, ""0.0001"": 0.1907423436641693, ""0.001"": 0.19025655090808868, ""0.01"": 0.1911977380514145, ""0.1"": 0.1899656057357788, ""0.3"": 0.190007284283638, ""1"": 0.19088691473007202, ""3"": 0.19552423059940338, ""10"": 0.20488621294498444, ""30"": 0.22075381875038147, ""45"": 0.23050172626972198, ""65"": 0.24061967432498932, ""90"": 0.2515493929386139}","{""1e-05"": 0.19022558629512787, ""0.0001"": 0.1907423436641693, ""0.001"": 0.19025655090808868, ""0.01"": 0.1911977380514145, ""0.1"": 0.1899656057357788, ""0.3"": 0.190007284283638, ""1"": 0.19088691473007202, ""3"": 0.19552423059940338, ""10"": 0.20488621294498444, ""30"": 0.22075381875038147, ""45"": 0.23050172626972198, ""65"": 0.24061967432498932, ""90"": 0.2515493929386139}",0.14558687806129456,0.18996560135803653,0.14348839824272078,147744,0.3343340878685315,0.5681909450786715
tirex,sg_carpark,2,L2,block_depth,True,0.16666666666666666,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,"mean pinball over (batch, quantiles, horizon)",0.1735762059688568,"{""1e-05"": 0.17639891803264618, ""0.0001"": 0.17696230113506317, ""0.001"": 0.17689307034015656, ""0.01"": 0.17525286972522736, ""0.1"": 0.1741083562374115, ""0.3"": 0.17370885610580444, ""1"": 0.1735762059688568, ""3"": 0.17395514249801636, ""10"": 0.17980854213237762, ""30"": 0.1918870210647583, ""45"": 0.1998586505651474, ""65"": 0.20688845217227936, ""90"": 0.22214899957180023}","{""1e-05"": 0.17639891803264618, ""0.0001"": 0.17696230113506317, ""0.001"": 0.17689307034015656, ""0.01"": 0.17525286972522736, ""0.1"": 0.1741083562374115, ""0.3"": 0.17370885610580444, ""1"": 0.1735762059688568, ""3"": 0.17395514249801636, ""10"": 0.17980854213237762, ""30"": 0.1918870210647583, ""45"": 0.1998586505651474, ""65"": 0.20688845217227936, ""90"": 0.22214899957180023}",0.1328744888305664,0.17357620908378882,0.13608917498192882,147744,0.3343340878685315,0.5191699422286946
tirex,sg_carpark,3,L3,block_depth,True,0.25,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.1655004620552063,"{""1e-05"": 0.17736347019672394, ""0.0001"": 0.1770988404750824, ""0.001"": 0.17734096944332123, ""0.01"": 0.17718426883220673, ""0.1"": 0.17475703358650208, ""0.3"": 0.1723557561635971, ""1"": 0.16868029534816742, ""3"": 0.1655004620552063, ""10"": 0.16816970705986023, ""30"": 0.17842261493206024, ""45"": 0.18340420722961426, ""65"": 0.1938672959804535, ""90"": 0.20709453523159027}","{""1e-05"": 0.17736347019672394, ""0.0001"": 0.1770988404750824, ""0.001"": 0.17734096944332123, ""0.01"": 0.17718426883220673, ""0.1"": 0.17475703358650208, ""0.3"": 0.1723557561635971, ""1"": 0.16868029534816742, ""3"": 0.1655004620552063, ""10"": 0.16816970705986023, ""30"": 0.17842261493206024, ""45"": 0.18340420722961426, ""65"": 0.1938672959804535, ""90"": 0.20709453523159027}",0.13182680308818817,0.16550046199206578,0.13548353195485086,147744,0.3343340878685315,0.49501521979758367
tirex,sg_carpark,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.16625875234603882,"{""1e-05"": 0.1807509958744049, ""0.0001"": 0.18172641098499298, ""0.001"": 0.1815817803144455, ""0.01"": 0.18171319365501404, ""0.1"": 0.17937715351581573, ""0.3"": 0.17682404816150665, ""1"": 0.17160293459892273, ""3"": 0.16808800399303436, ""10"": 0.16625875234603882, ""30"": 0.1729801446199417, ""45"": 0.17958325147628784, ""65"": 0.19070789217948914, ""90"": 0.20365141332149506}","{""1e-05"": 0.1807509958744049, ""0.0001"": 0.18172641098499298, ""0.001"": 0.1815817803144455, ""0.01"": 0.18171319365501404, ""0.1"": 0.17937715351581573, ""0.3"": 0.17682404816150665, ""1"": 0.17160293459892273, ""3"": 0.16808800399303436, ""10"": 0.16625875234603882, ""30"": 0.1729801446199417, ""45"": 0.17958325147628784, ""65"": 0.19070789217948914, ""90"": 0.20365141332149506}",0.13134491443634033,0.1662587432748517,0.13394426437631501,147744,0.3343340878685315,0.49728325440817384
tirex,sg_carpark,5,L5,block_depth,True,0.4166666666666667,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.16830886900424957,"{""1e-05"": 0.18300658464431763, ""0.0001"": 0.18298642337322235, ""0.001"": 0.18274807929992676, ""0.01"": 0.18217220902442932, ""0.1"": 0.1806705743074417, ""0.3"": 0.17803701758384705, ""1"": 0.17313893139362335, ""3"": 0.16830886900424957, ""10"": 0.16852447390556335, ""30"": 0.17800118029117584, ""45"": 0.18671393394470215, ""65"": 0.19976752996444702, ""90"": 0.21613365411758423}","{""1e-05"": 0.18300658464431763, ""0.0001"": 0.18298642337322235, ""0.001"": 0.18274807929992676, ""0.01"": 0.18217220902442932, ""0.1"": 0.1806705743074417, ""0.3"": 0.17803701758384705, ""1"": 0.17313893139362335, ""3"": 0.16830886900424957, ""10"": 0.16852447390556335, ""30"": 0.17800118029117584, ""45"": 0.18671393394470215, ""65"": 0.19976752996444702, ""90"": 0.21613365411758423}",0.11653103679418564,0.16830886292171343,0.1321163392588917,147744,0.3343340878685315,0.5034152036208066
tirex,sg_carpark,6,L6,block_depth,True,0.5,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.16637107729911804,"{""1e-05"": 0.18766598403453827, ""0.0001"": 0.18812158703804016, ""0.001"": 0.18772172927856445, ""0.01"": 0.1869799941778183, ""0.1"": 0.18533913791179657, ""0.3"": 0.18191780149936676, ""1"": 0.17460043728351593, ""3"": 0.1677519828081131, ""10"": 0.16637107729911804, ""30"": 0.17763257026672363, ""45"": 0.18832650780677795, ""65"": 0.20565296709537506, ""90"": 0.22636571526527405}","{""1e-05"": 0.18766598403453827, ""0.0001"": 0.18812158703804016, ""0.001"": 0.18772172927856445, ""0.01"": 0.1869799941778183, ""0.1"": 0.18533913791179657, ""0.3"": 0.18191780149936676, ""1"": 0.17460043728351593, ""3"": 0.1677519828081131, ""10"": 0.16637107729911804, ""30"": 0.17763257026672363, ""45"": 0.18832650780677795, ""65"": 0.20565296709537506, ""90"": 0.22636571526527405}",0.11901495605707169,0.1663710597039616,0.13118211603013136,147744,0.3343340878685315,0.49761919511295194
tirex,sg_carpark,7,L7,block_depth,True,0.5833333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.1647009402513504,"{""1e-05"": 0.17967577278614044, ""0.0001"": 0.17974711954593658, ""0.001"": 0.17960700392723083, ""0.01"": 0.17933695018291473, ""0.1"": 0.1780100166797638, ""0.3"": 0.17469553649425507, ""1"": 0.17002256214618683, ""3"": 0.16551902890205383, ""10"": 0.1647009402513504, ""30"": 0.17988769710063934, ""45"": 0.19419105350971222, ""65"": 0.21295173466205597, ""90"": 0.23220238089561462}","{""1e-05"": 0.17967577278614044, ""0.0001"": 0.17974711954593658, ""0.001"": 0.17960700392723083, ""0.01"": 0.17933695018291473, ""0.1"": 0.1780100166797638, ""0.3"": 0.17469553649425507, ""1"": 0.17002256214618683, ""3"": 0.16551902890205383, ""10"": 0.1647009402513504, ""30"": 0.17988769710063934, ""45"": 0.19419105350971222, ""65"": 0.21295173466205597, ""90"": 0.23220238089561462}",0.11559055745601654,0.16470092772848188,0.13231672255038204,147744,0.3343340878685315,0.49262379668939527
tirex,sg_carpark,8,L8,block_depth,True,0.6666666666666666,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.16069111227989197,"{""1e-05"": 0.17924991250038147, ""0.0001"": 0.17938414216041565, ""0.001"": 0.17980803549289703, ""0.01"": 0.179563969373703, ""0.1"": 0.17773430049419403, ""0.3"": 0.1747719943523407, ""1"": 0.16877442598342896, ""3"": 0.16375422477722168, ""10"": 0.16069111227989197, ""30"": 0.16801194846630096, ""45"": 0.17921565473079681, ""65"": 0.19747862219810486, ""90"": 0.21942728757858276}","{""1e-05"": 0.17924991250038147, ""0.0001"": 0.17938414216041565, ""0.001"": 0.17980803549289703, ""0.01"": 0.179563969373703, ""0.1"": 0.17773430049419403, ""0.3"": 0.1747719943523407, ""1"": 0.16877442598342896, ""3"": 0.16375422477722168, ""10"": 0.16069111227989197, ""30"": 0.16801194846630096, ""45"": 0.17921565473079681, ""65"": 0.19747862219810486, ""90"": 0.21942728757858276}",0.11381445080041885,0.16069111257454768,0.12789412545787412,147744,0.3343340878685315,0.4806303586900042
tirex,sg_carpark,9,L9,block_depth,True,0.75,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.1465947926044464,"{""1e-05"": 0.16552747786045074, ""0.0001"": 0.16614970564842224, ""0.001"": 0.1657295674085617, ""0.01"": 0.1654863804578781, ""0.1"": 0.16349144279956818, ""0.3"": 0.16063682734966278, ""1"": 0.1536301225423813, ""3"": 0.147624209523201, ""10"": 0.1465947926044464, ""30"": 0.15534666180610657, ""45"": 0.16705764830112457, ""65"": 0.18794238567352295, ""90"": 0.21308369934558868}","{""1e-05"": 0.16552747786045074, ""0.0001"": 0.16614970564842224, ""0.001"": 0.1657295674085617, ""0.01"": 0.1654863804578781, ""0.1"": 0.16349144279956818, ""0.3"": 0.16063682734966278, ""1"": 0.1536301225423813, ""3"": 0.147624209523201, ""10"": 0.1465947926044464, ""30"": 0.15534666180610657, ""45"": 0.16705764830112457, ""65"": 0.18794238567352295, ""90"": 0.21308369934558868}",0.112523652613163,0.1465947908259886,0.12427691255543528,147744,0.3343340878685315,0.4384679760313083
