model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,0.2601759731769562,0.2510767554053823,0.335024323115367,1.2910308204510303,1.353268010786356,0.29103082045103035,0.35326801078635595,0.1,False,False,147744,False,False,False,False,False,False,False,False,0.335024323115367,0.32266656313205266,0.34779645145110044,-0.08745745502639818,-0.0953938608811386,-0.07948033039436764,1.2053276378922937,1.1508267493024669,1.2620034923583443,-0.31040948815377944,-0.34606365344784573,-0.27617647130650524,8.350433810935934,6.759036431805977,10.11625292690041,-3.2266360272738206,-3.944924763642601,-2.567309502775207,3.525798393545757,3.392509378447374,3.6630748905593578,-1.3885548766409146,-1.4546518453940747,-1.3212140623886133,1.2053276378922937,8.350433810935934,3.525798393545757
tirex,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,0.23693153262138367,0.22934140832312688,0.31605731865803477,1.1792681726858658,1.2766543483696386,0.1792681726858658,0.27665434836963865,3.0,False,False,147744,False,False,False,False,False,False,False,False,0.31605731865803477,0.3032821204243156,0.3291196290215207,-0.06849045056906594,-0.07588482035523039,-0.06132802431887541,1.1473893757450477,1.0953903618791139,1.2017829231260069,-0.2524712260065335,-0.2840196041556744,-0.2225511195178442,7.7888698721660425,6.259502780196282,9.470551044607944,-2.665072088503929,-3.289542074576085,-2.0909202168944803,3.2183053107254804,3.0529324168960805,3.392787197611531,-1.0810617938206382,-1.1734531359975253,-0.9931541704993305,1.1473893757450477,7.7888698721660425,3.2183053107254804
tirex,uber_tlc_hourly,Uber TLC,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,0.2224692851305008,0.22212735741249934,0.30938371437253387,1.1421736911561617,1.2496975736727005,0.14217369115616174,0.2496975736727005,3.0,False,False,147744,False,False,False,False,False,False,False,False,0.30938371437253387,0.2970515402833725,0.32193504557838193,-0.06181684628356504,-0.06868955955755333,-0.05516235170075453,1.1341948733605445,1.0826331883172002,1.1884417887980314,-0.23927672362203023,-0.26728268624129026,-0.21292852128893977,7.5054796388707015,6.039907048317144,9.134586640182919,-2.381681855208588,-2.9628818588913948,-1.8460350085794732,3.0865900835762345,2.9156473269811336,3.267383364327406,-0.9493465666713923,-1.0459472289563618,-0.8526581882610684,1.1341948733605445,7.5054796388707015,3.0865900835762345
tirex,uber_tlc_hourly,Uber TLC,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,0.22425255179405212,0.2185798485742043,0.30701770735833483,1.1239324834479185,1.2401405314381608,0.12393248344791852,0.24014053143816083,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.30701770735833483,0.29461924645210835,0.31964658880393015,-0.05945083926936601,-0.06614649413910673,-0.05296430505886816,1.1072354825872384,1.0584372573499994,1.1583177347200952,-0.21231733284872412,-0.23914115347796758,-0.18561125889478342,7.380175015118764,5.9507747780604,8.95748170121452,-2.256377231456651,-2.793711238463395,-1.7658565800460884,3.0667634688255982,2.906253238952756,3.2411443866137013,-0.929519951920756,-1.018935744161769,-0.8402957658547818,1.1072354825872384,7.380175015118764,3.0667634688255982
tirex,uber_tlc_hourly,Uber TLC,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,0.21725133061408997,0.2175923068047935,0.30205700031787386,1.1188545667019674,1.2201026843758542,0.11885456670196737,0.22010268437585423,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.30205700031787386,0.2901232483679472,0.314202560844497,-0.05449013222890503,-0.06054972049865501,-0.04872080561605399,1.1083838327837812,1.0588756970712048,1.1608439656016896,-0.21346568304526692,-0.23879238916377882,-0.18912026778883975,7.3047784977636505,5.875912673249723,8.890358261315331,-2.180980714101537,-2.714169760502799,-1.693142550534434,3.0092867594181367,2.84905802558312,3.183649299406758,-0.8720432425132945,-0.9591866692396668,-0.7874170544720877,1.1083838327837812,7.3047784977636505,3.0092867594181367
tirex,uber_tlc_hourly,Uber TLC,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,0.21110011637210846,0.21705687169753413,0.2900383206269213,1.1161013718683506,1.1715554785896851,0.11610137186835057,0.17155547858968512,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.2900383206269213,0.27910783419968516,0.30122901435429583,-0.04247145253795248,-0.04717867330288986,-0.03786822926121557,1.055835398022002,1.0104285860183349,1.1029800129752372,-0.16091724828348786,-0.1808955060314721,-0.14129318709765343,6.851735550248886,5.510110078370811,8.353894179072462,-1.7279377665867726,-2.183492895281223,-1.322273022380852,2.867376751722196,2.7143509521511406,3.0290040418788364,-0.7301332348173539,-0.8070277777246692,-0.6537355096319852,1.055835398022002,6.851735550248886,2.867376751722196
tirex,uber_tlc_hourly,Uber TLC,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,0.20934680104255676,0.21592818566007924,0.2845480376783446,1.1102976945880134,1.1493785088240713,0.11029769458801342,0.14937850882407133,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.2845480376783446,0.2739090389892004,0.2954925809933569,-0.03698116958937575,-0.04125999461571536,-0.032779962173129916,1.037742996598096,0.9928049135971407,1.0853456465584437,-0.14282484685958174,-0.16033261156615256,-0.12558910510639437,6.67639545504334,5.369130580845662,8.138653772029398,-1.5525976713812266,-1.9547881888381622,-1.188370244546902,2.7931046235385897,2.641717421599333,2.951035832548994,-0.6558611066337474,-0.727741574368957,-0.5827244770368627,1.037742996598096,6.67639545504334,2.7931046235385897
tirex,uber_tlc_hourly,Uber TLC,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,0.19896799325942993,0.21353386669554783,0.26822189080976805,1.097986162314906,1.0834320960645525,0.09798616231490609,0.08378182388689548,3.0,False,False,147744,False,False,False,True,False,False,False,True,0.26822189080976805,0.2586580286488534,0.2779927372665834,-0.02065502272079922,-0.0232702157892045,-0.018065485791018868,0.9792200769807625,0.9379080500361515,1.0245834507355847,-0.08430192724224828,-0.09760648154705659,-0.07175395046741924,6.107161444073104,4.914943028014266,7.446852717393483,-0.9833636604109905,-1.3002644171548992,-0.7006516523862131,2.5787126508056373,2.434973349622821,2.72643187905838,-0.441469133900795,-0.5213869174031966,-0.36367567769908704,0.9792200769807625,6.107161444073104,2.5787126508056373
tirex,uber_tlc_hourly,Uber TLC,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,0.20510146021842957,0.20886525119306476,0.2683084718314291,1.0739802502868907,1.0837818238868955,0.0739802502868907,0.08378182388689548,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.2683084718314291,0.2585067020476803,0.2784880448939662,-0.020741603742460257,-0.023728935913900844,-0.01783829062700784,0.973972887312603,0.9316473519230403,1.0195433389904558,-0.07905473757408876,-0.09310885313361987,-0.06540600778372135,6.2052473413644575,4.980915182777517,7.583678244608386,-1.081449557702344,-1.404085889380454,-0.7871210710803167,2.6344764543383543,2.493554066159183,2.7802796259128204,-0.49723293743351205,-0.5637657223581967,-0.4260613998684009,0.973972887312603,6.2052473413644575,2.6344764543383543
tirex,uber_tlc_hourly,Uber TLC,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,0.20004135370254517,0.20521091008629963,0.2569115651870957,1.055189713545815,1.0377461538785901,0.05518971354581503,0.03774615387859015,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.2569115651870957,0.24739039639217197,0.2667065650018515,-0.009344697098126853,-0.01102769664001746,-0.007792358359193957,0.9382237489749558,0.8987387668529789,0.9824076464103081,-0.043305599236441505,-0.05218704130786242,-0.03497354434014511,5.674435312042278,4.577330880588465,6.921675679207474,-0.5506375283801646,-0.7522501592511419,-0.37577189606122813,2.357097613505126,2.229967314145988,2.4850985754242467,-0.21985409660028354,-0.2643181424997451,-0.1741784507567177,0.9382237489749558,5.674435312042278,2.357097613505126
