model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,wiki_daily_100k,0,Emb,block_depth,True,0.0,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.03,"mean pinball over (batch, quantiles, horizon)",0.2753898501396179,"{""1e-05"": 0.2767731547355652, ""0.0001"": 0.27685490250587463, ""0.001"": 0.27694040536880493, ""0.01"": 0.2768382728099823, ""0.1"": 0.2765413522720337, ""0.3"": 0.2762673795223236, ""1"": 0.27574682235717773, ""3"": 0.2753898501396179, ""10"": 0.27552324533462524, ""30"": 0.2755882740020752, ""45"": 0.27583497762680054, ""65"": 0.27621445059776306, ""90"": 0.2771473526954651}","{""1e-05"": 0.2767731547355652, ""0.0001"": 0.27685490250587463, ""0.001"": 0.27694040536880493, ""0.01"": 0.2768382728099823, ""0.1"": 0.2765413522720337, ""0.3"": 0.2762673795223236, ""1"": 0.27574682235717773, ""3"": 0.2753898501396179, ""10"": 0.27552324533462524, ""30"": 0.2755882740020752, ""45"": 0.27583497762680054, ""65"": 0.27621445059776306, ""90"": 0.2771473526954651}",0.29086679220199585,0.27538985413506284,0.2655422803412639,147744,0.29510932000538775,0.9331791152174899
tirex,wiki_daily_100k,1,L1,block_depth,True,0.08333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,"mean pinball over (batch, quantiles, horizon)",0.26333215832710266,"{""1e-05"": 0.2702656686306, ""0.0001"": 0.2704242169857025, ""0.001"": 0.2702278196811676, ""0.01"": 0.27028390765190125, ""0.1"": 0.2694595158100128, ""0.3"": 0.2682250738143921, ""1"": 0.2660486102104187, ""3"": 0.26438483595848083, ""10"": 0.26333215832710266, ""30"": 0.26409685611724854, ""45"": 0.2650092840194702, ""65"": 0.2665179967880249, ""90"": 0.2697362005710602}","{""1e-05"": 0.2702656686306, ""0.0001"": 0.2704242169857025, ""0.001"": 0.2702278196811676, ""0.01"": 0.27028390765190125, ""0.1"": 0.2694595158100128, ""0.3"": 0.2682250738143921, ""1"": 0.2660486102104187, ""3"": 0.26438483595848083, ""10"": 0.26333215832710266, ""30"": 0.26409685611724854, ""45"": 0.2650092840194702, ""65"": 0.2665179967880249, ""90"": 0.2697362005710602}",0.2766324579715729,0.26333215232682594,0.2549370825219587,147744,0.29510932000538775,0.8923206909291049
tirex,wiki_daily_100k,2,L2,block_depth,True,0.16666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.26351800560951233,"{""1e-05"": 0.2766692638397217, ""0.0001"": 0.2765016257762909, ""0.001"": 0.27654314041137695, ""0.01"": 0.2765503227710724, ""0.1"": 0.27531328797340393, ""0.3"": 0.2731839716434479, ""1"": 0.2695186138153076, ""3"": 0.2662220299243927, ""10"": 0.264014333486557, ""30"": 0.26351800560951233, ""45"": 0.2643143832683563, ""65"": 0.26544758677482605, ""90"": 0.26833322644233704}","{""1e-05"": 0.2766692638397217, ""0.0001"": 0.2765016257762909, ""0.001"": 0.27654314041137695, ""0.01"": 0.2765503227710724, ""0.1"": 0.27531328797340393, ""0.3"": 0.2731839716434479, ""1"": 0.2695186138153076, ""3"": 0.2662220299243927, ""10"": 0.264014333486557, ""30"": 0.26351800560951233, ""45"": 0.2643143832683563, ""65"": 0.26544758677482605, ""90"": 0.26833322644233704}",0.2776147127151489,0.2635180105860452,0.2531246044708572,147744,0.29510932000538775,0.8929504855395085
tirex,wiki_daily_100k,3,L3,block_depth,True,0.25,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.2641412019729614,"{""1e-05"": 0.28075847029685974, ""0.0001"": 0.2807689607143402, ""0.001"": 0.28062674403190613, ""0.01"": 0.2804658114910126, ""0.1"": 0.27928221225738525, ""0.3"": 0.2770272493362427, ""1"": 0.2724676728248596, ""3"": 0.2684803307056427, ""10"": 0.2651647925376892, ""30"": 0.26418018341064453, ""45"": 0.2641412019729614, ""65"": 0.2652868926525116, ""90"": 0.26760226488113403}","{""1e-05"": 0.28075847029685974, ""0.0001"": 0.2807689607143402, ""0.001"": 0.28062674403190613, ""0.01"": 0.2804658114910126, ""0.1"": 0.27928221225738525, ""0.3"": 0.2770272493362427, ""1"": 0.2724676728248596, ""3"": 0.2684803307056427, ""10"": 0.2651647925376892, ""30"": 0.26418018341064453, ""45"": 0.2641412019729614, ""65"": 0.2652868926525116, ""90"": 0.26760226488113403}",0.27869105339050293,0.264141203117564,0.2526581041969871,147744,0.29510932000538775,0.8950622200367702
tirex,wiki_daily_100k,4,L4,block_depth,True,0.3333333333333333,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.26333123445510864,"{""1e-05"": 0.28499504923820496, ""0.0001"": 0.285173237323761, ""0.001"": 0.2851482629776001, ""0.01"": 0.2848094403743744, ""0.1"": 0.28336259722709656, ""0.3"": 0.28068551421165466, ""1"": 0.2752148509025574, ""3"": 0.26964882016181946, ""10"": 0.26550593972206116, ""30"": 0.2635955810546875, ""45"": 0.26333123445510864, ""65"": 0.26436856389045715, ""90"": 0.26629960536956787}","{""1e-05"": 0.28499504923820496, ""0.0001"": 0.285173237323761, ""0.001"": 0.2851482629776001, ""0.01"": 0.2848094403743744, ""0.1"": 0.28336259722709656, ""0.3"": 0.28068551421165466, ""1"": 0.2752148509025574, ""3"": 0.26964882016181946, ""10"": 0.26550593972206116, ""30"": 0.2635955810546875, ""45"": 0.26333123445510864, ""65"": 0.26436856389045715, ""90"": 0.26629960536956787}",0.2769854962825775,0.2633312254120375,0.2534281676564053,147744,0.29510932000538775,0.8923175500090269
tirex,wiki_daily_100k,5,L5,block_depth,True,0.4166666666666667,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.2623497247695923,"{""1e-05"": 0.28626617789268494, ""0.0001"": 0.2861533463001251, ""0.001"": 0.2862164080142975, ""0.01"": 0.28607386350631714, ""0.1"": 0.28446725010871887, ""0.3"": 0.281931072473526, ""1"": 0.2761686444282532, ""3"": 0.26994916796684265, ""10"": 0.26476889848709106, ""30"": 0.2623497247695923, ""45"": 0.2625620663166046, ""65"": 0.2634143531322479, ""90"": 0.2652507722377777}","{""1e-05"": 0.28626617789268494, ""0.0001"": 0.2861533463001251, ""0.001"": 0.2862164080142975, ""0.01"": 0.28607386350631714, ""0.1"": 0.28446725010871887, ""0.3"": 0.281931072473526, ""1"": 0.2761686444282532, ""3"": 0.26994916796684265, ""10"": 0.26476889848709106, ""30"": 0.2623497247695923, ""45"": 0.2625620663166046, ""65"": 0.2634143531322479, ""90"": 0.2652507722377777}",0.2712027132511139,0.26234973803560696,0.2519460910689512,147744,0.29510932000538775,0.8889917066354166
tirex,wiki_daily_100k,6,L6,block_depth,True,0.5,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.2617782950401306,"{""1e-05"": 0.2881767451763153, ""0.0001"": 0.288176566362381, ""0.001"": 0.2882234454154968, ""0.01"": 0.2881333827972412, ""0.1"": 0.2864696979522705, ""0.3"": 0.28344812989234924, ""1"": 0.277346134185791, ""3"": 0.27074310183525085, ""10"": 0.2647024095058441, ""30"": 0.2619113028049469, ""45"": 0.2617782950401306, ""65"": 0.26247653365135193, ""90"": 0.26389944553375244}","{""1e-05"": 0.2881767451763153, ""0.0001"": 0.288176566362381, ""0.001"": 0.2882234454154968, ""0.01"": 0.2881333827972412, ""0.1"": 0.2864696979522705, ""0.3"": 0.28344812989234924, ""1"": 0.277346134185791, ""3"": 0.27074310183525085, ""10"": 0.2647024095058441, ""30"": 0.2619113028049469, ""45"": 0.2617782950401306, ""65"": 0.26247653365135193, ""90"": 0.26389944553375244}",0.27370980381965637,0.2617782735557274,0.2506569963204497,147744,0.29510932000538775,0.8870552565095138
tirex,wiki_daily_100k,7,L7,block_depth,True,0.5833333333333334,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.26098451018333435,"{""1e-05"": 0.28935518860816956, ""0.0001"": 0.2892279028892517, ""0.001"": 0.28895285725593567, ""0.01"": 0.288745254278183, ""0.1"": 0.28692322969436646, ""0.3"": 0.28383222222328186, ""1"": 0.2769518196582794, ""3"": 0.26991209387779236, ""10"": 0.2638694941997528, ""30"": 0.26100748777389526, ""45"": 0.26098451018333435, ""65"": 0.2616046667098999, ""90"": 0.2632998526096344}","{""1e-05"": 0.28935518860816956, ""0.0001"": 0.2892279028892517, ""0.001"": 0.28895285725593567, ""0.01"": 0.288745254278183, ""0.1"": 0.28692322969436646, ""0.3"": 0.28383222222328186, ""1"": 0.2769518196582794, ""3"": 0.26991209387779236, ""10"": 0.2638694941997528, ""30"": 0.26100748777389526, ""45"": 0.26098451018333435, ""65"": 0.2616046667098999, ""90"": 0.2632998526096344}",0.27315375208854675,0.26098450342946833,0.2496451144639886,147744,0.29510932000538775,0.8843655070761696
tirex,wiki_daily_100k,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.25804778933525085,"{""1e-05"": 0.2865733504295349, ""0.0001"": 0.2865370810031891, ""0.001"": 0.2865760624408722, ""0.01"": 0.28632813692092896, ""0.1"": 0.2845466732978821, ""0.3"": 0.281136691570282, ""1"": 0.27399197220802307, ""3"": 0.2667681872844696, ""10"": 0.2607705593109131, ""30"": 0.25804778933525085, ""45"": 0.25816628336906433, ""65"": 0.2585873305797577, ""90"": 0.2601358890533447}","{""1e-05"": 0.2865733504295349, ""0.0001"": 0.2865370810031891, ""0.001"": 0.2865760624408722, ""0.01"": 0.28632813692092896, ""0.1"": 0.2845466732978821, ""0.3"": 0.281136691570282, ""1"": 0.27399197220802307, ""3"": 0.2667681872844696, ""10"": 0.2607705593109131, ""30"": 0.25804778933525085, ""45"": 0.25816628336906433, ""65"": 0.2585873305797577, ""90"": 0.2601358890533447}",0.2675032615661621,0.2580477944397517,0.24791748417925288,147744,0.29510932000538775,0.8744142490485917
tirex,wiki_daily_100k,9,L9,block_depth,True,0.75,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.2579127252101898,"{""1e-05"": 0.28510722517967224, ""0.0001"": 0.28489574790000916, ""0.001"": 0.2849637269973755, ""0.01"": 0.28473520278930664, ""0.1"": 0.28287145495414734, ""0.3"": 0.2795259654521942, ""1"": 0.27256518602371216, ""3"": 0.2658688426017761, ""10"": 0.2603440582752228, ""30"": 0.2579127252101898, ""45"": 0.2580534815788269, ""65"": 0.258451372385025, ""90"": 0.2599376142024994}","{""1e-05"": 0.28510722517967224, ""0.0001"": 0.28489574790000916, ""0.001"": 0.2849637269973755, ""0.01"": 0.28473520278930664, ""0.1"": 0.28287145495414734, ""0.3"": 0.2795259654521942, ""1"": 0.27256518602371216, ""3"": 0.2658688426017761, ""10"": 0.2603440582752228, ""30"": 0.2579127252101898, ""45"": 0.2580534815788269, ""65"": 0.258451372385025, ""90"": 0.2599376142024994}",0.26693296432495117,0.2579127234897313,0.24631331468583972,147744,0.29510932000538775,0.8739565510334362
tirex,wiki_daily_100k,10,L10,block_depth,True,0.8333333333333334,45.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.45,"mean pinball over (batch, quantiles, horizon)",0.2573434114456177,"{""1e-05"": 0.28353992104530334, ""0.0001"": 0.28365015983581543, ""0.001"": 0.28367188572883606, ""0.01"": 0.28330448269844055, ""0.1"": 0.281559556722641, ""0.3"": 0.27814456820487976, ""1"": 0.27152660489082336, ""3"": 0.26519718766212463, ""10"": 0.2599123418331146, ""30"": 0.25762316584587097, ""45"": 0.2573434114456177, ""65"": 0.25771889090538025, ""90"": 0.259171724319458}","{""1e-05"": 0.28353992104530334, ""0.0001"": 0.28365015983581543, ""0.001"": 0.28367188572883606, ""0.01"": 0.28330448269844055, ""0.1"": 0.281559556722641, ""0.3"": 0.27814456820487976, ""1"": 0.27152660489082336, ""3"": 0.26519718766212463, ""10"": 0.2599123418331146, ""30"": 0.25762316584587097, ""45"": 0.2573434114456177, ""65"": 0.25771889090538025, ""90"": 0.259171724319458}",0.26878419518470764,0.25734339198026496,0.2450046190522782,147744,0.29510932000538775,0.8720273286372884
tirex,wiki_daily_100k,11,L11,block_depth,True,0.9166666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,"mean pinball over (batch, quantiles, horizon)",0.25614339113235474,"{""1e-05"": 0.2803419530391693, ""0.0001"": 0.2804586887359619, ""0.001"": 0.2802489995956421, ""0.01"": 0.280184805393219, ""0.1"": 0.2783873975276947, ""0.3"": 0.27512240409851074, ""1"": 0.2686888873577118, ""3"": 0.26260268688201904, ""10"": 0.25798681378364563, ""30"": 0.25614339113235474, ""45"": 0.2563023567199707, ""65"": 0.2569567859172821, ""90"": 0.25824594497680664}","{""1e-05"": 0.2803419530391693, ""0.0001"": 0.2804586887359619, ""0.001"": 0.2802489995956421, ""0.01"": 0.280184805393219, ""0.1"": 0.2783873975276947, ""0.3"": 0.27512240409851074, ""1"": 0.2686888873577118, ""3"": 0.26260268688201904, ""10"": 0.25798681378364563, ""30"": 0.25614339113235474, ""45"": 0.2563023567199707, ""65"": 0.2569567859172821, ""90"": 0.25824594497680664}",0.26605066657066345,0.25614341878765867,0.2422117675220921,147744,0.29510932000538775,0.8679611297365407
