model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,train_loss,val_loss,test_loss,val_ratio_to_final,test_ratio_to_final,val_suffix_excursion,test_suffix_excursion,weight_decay,wd_at_grid_max,wd_at_grid_min,n_probe_params,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,test_loss_point,test_loss_ci_lo,test_loss_ci_hi,test_loss_delta_vs_last,test_loss_delta_ci_lo,test_loss_delta_ci_hi,test_mase_point,test_mase_ci_lo,test_mase_ci_hi,test_mase_delta_vs_last,test_mase_delta_ci_lo,test_mase_delta_ci_hi,test_mae_point,test_mae_ci_lo,test_mae_ci_hi,test_mae_delta_vs_last,test_mae_delta_ci_lo,test_mae_delta_ci_hi,test_wql_point,test_wql_ci_lo,test_wql_ci_hi,test_wql_delta_vs_last,test_wql_delta_ci_lo,test_wql_delta_ci_hi,test_mase,test_mae,test_wql
tirex,wind_farms_hourly,Wind Farms,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,12.072848320007324,0.22986562952456127,0.6563544061376165,1.20753854679478,1.113517526178734,0.2075385467947799,0.11351752617873401,30.0,False,False,147744,False,False,False,False,False,False,False,False,0.6563544061376165,0.2356075431831636,1.475304509239015,-0.06691203930749345,-0.07592876548949941,-0.05737626596170887,5.042418027790855,1.4853974943585924,12.02168205582151,-0.5318036263321577,-0.6347550859196255,-0.431158237781666,21.310207044418288,17.50315637138026,25.29980076975799,-6.78756049375221,-8.745386134082379,-5.0249943976688485,2.082159561331712,1.6983235600317064,2.604305593291059,-0.6318272862323007,-0.831578068936113,-0.46903273927379685,5.042418027790855,21.310207044418288,2.082159561331712
tirex,wind_farms_hourly,Wind Farms,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,12.030824661254883,0.19988877203969554,0.6146077335250514,1.0500630207684707,1.0426935152799781,0.09278457650588767,0.04469963783293007,3.0,False,False,147744,False,False,False,True,False,False,False,True,0.6146077335250514,0.19332734767919876,1.4348224464407584,-0.025165366694928304,-0.03416929584945614,-0.015040272161744816,4.742080346725525,1.2036228312034638,11.709255256515247,-0.2314659452668284,-0.2955331275833203,-0.1619393579993026,17.83016095133021,14.476218290485416,21.62760834850804,-3.3075144006641324,-4.3485984067285015,-2.3105693013245183,1.7409229684307954,1.4119421003735153,2.1872205872224657,-0.290590693331384,-0.38989858870509214,-0.2040531355727379,4.742080346725525,17.83016095133021,1.7409229684307954
tirex,wind_farms_hourly,Wind Farms,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,12.019654273986816,0.1924638143306925,0.6065524858884684,1.0110579608972463,1.02902763700268,0.09278457650588767,0.04469963783293007,3.0,False,False,147744,False,False,False,False,False,True,True,False,0.6065524858884684,0.1859917206949206,1.4271383536592095,-0.017110119058345363,-0.02556370941651913,-0.00745688222423338,4.709691690743257,1.179174484003326,11.666760547385495,-0.1990772892845598,-0.26648105108939846,-0.12603391750879758,16.47299324309127,13.357341624357323,19.920777664610203,-1.9503466924251924,-2.782553286915882,-1.194147146557223,1.642980241695304,1.3264736351598259,2.078436512719226,-0.19264796659589267,-0.27677487208075224,-0.12220685805569555,4.709691690743257,16.47299324309127,1.642980241695304
tirex,wind_farms_hourly,Wind Farms,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,12.023285865783691,0.19276156978866527,0.6046102064739884,1.0126221407781806,1.0257325236484685,0.09278457650588767,0.04469963783293007,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.6046102064739884,0.18431866446239803,1.424177497421313,-0.015167839643865366,-0.02245954576753548,-0.006898890053035839,4.668017839651968,1.1370343751165704,11.625110433697563,-0.1574034381932714,-0.21343391606019613,-0.09696783193213956,16.271890968592828,13.205426116699176,19.70920240515691,-1.7492444179267501,-2.5743669926150137,-0.9741693839091723,1.621774444513249,1.313290442142373,2.048002403277068,-0.1714421694138375,-0.25184618289500843,-0.10191147486548438,4.668017839651968,16.271890968592828,1.621774444513249
tirex,wind_farms_hourly,Wind Farms,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,12.019060134887695,0.19427823848339892,0.6023438496529373,1.0205895603327955,1.0218876069126066,0.09278457650588767,0.04469963783293007,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.6023438496529373,0.18205441095375718,1.421460716860397,-0.012901482822814225,-0.020342965622677792,-0.004626509157020177,4.665540381268744,1.1379547721739467,11.619929507812548,-0.15492597981004685,-0.2135386877259508,-0.09073745659054615,16.39692324392104,13.25317560232703,19.90261483160159,-1.8742766932549628,-2.7626560879388258,-1.0398287234227015,1.6267869237658148,1.3158163906800382,2.0478754625005537,-0.17645464866640337,-0.2597170653556986,-0.105083925525556,4.665540381268744,16.39692324392104,1.6267869237658148
tirex,wind_farms_hourly,Wind Farms,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,12.017971992492676,0.19545783439494727,0.6046365844227999,1.0267862567931678,1.0257772743319886,0.09278457650588767,0.04469963783293007,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.6046365844227999,0.18432810295138594,1.4237354921667573,-0.015194217592676806,-0.022318341235367176,-0.0073404174111428334,4.654006507131271,1.121379176594295,11.611869428898432,-0.1433921056725742,-0.19527868101439533,-0.08791445500140588,16.80407743579808,13.565905003745902,20.385676859533046,-2.2814308851320035,-3.251353891586567,-1.3845555636212197,1.6719343194482985,1.352768308646925,2.1059310022069857,-0.22160204434888708,-0.32364907263959425,-0.13944280557019634,4.654006507131271,16.80407743579808,1.6719343194482985
tirex,wind_farms_hourly,Wind Farms,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,12.016988754272461,0.2013457415710765,0.6103608619478595,1.0577168264909136,1.0354886182176402,0.09278457650588767,0.04469963783293007,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.6103608619478595,0.18967032187604096,1.4296329346968868,-0.02091849511773647,-0.02755618138862639,-0.01387394190159866,4.693142694316017,1.1588345403627092,11.65589060379917,-0.1825282928573202,-0.23369119846985928,-0.12700095571453246,17.014758432227513,13.791376635084328,20.608104658401224,-2.492111881561435,-3.653372561215604,-1.4493961999372844,1.6928418873039912,1.3731155023648765,2.1272391753870403,-0.24250961220457978,-0.3551718886351304,-0.1522848506953542,4.693142694316017,17.014758432227513,1.6928418873039912
tirex,wind_farms_hourly,Wind Farms,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,12.015539169311523,0.20802119756757304,0.6137492685784934,1.0927845765058877,1.041237113441789,0.09278457650588767,0.04469963783293007,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.6137492685784934,0.19307855365758775,1.4331519706850115,-0.024306901748370358,-0.030711616562476857,-0.01744950935386746,4.727604819733428,1.1939457156308004,11.692007655324431,-0.2169904182747313,-0.2708050096107924,-0.1620139987665638,16.896568273035957,13.763599622563605,20.377716750672576,-2.3739217223698788,-3.315371408186791,-1.5032124769518598,1.696634372765523,1.3798180580064472,2.1314254480402917,-0.24630209766611166,-0.3441720490017261,-0.16690869354667767,4.727604819733428,16.896568273035957,1.696634372765523
tirex,wind_farms_hourly,Wind Farms,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,12.0071439743042,0.203594827093184,0.6157902271508147,1.069531804957247,1.04469963783293,0.06953180495724709,0.04469963783293007,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.6157902271508147,0.19505692408633424,1.4357355912130696,-0.026347860320691585,-0.031630177842453144,-0.02075550148622586,4.736096160786467,1.2024136846763096,11.694845113145131,-0.22548175932776982,-0.2704919277761803,-0.17934903149301418,17.00499046302577,13.964997126093062,20.443586829756594,-2.482343912359692,-3.3198594558096657,-1.7130395740211541,1.6977905867087049,1.3795624754869733,2.1415196900042925,-0.24745831160929344,-0.3426939250216938,-0.17394449945437634,4.736096160786467,17.00499046302577,1.6977905867087049
tirex,wind_farms_hourly,Wind Farms,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,11.994195938110352,0.20264350024286573,0.6067335122399999,1.06453425989261,1.029334751593891,0.06453425989260997,0.029334751593891095,10.0,False,False,147744,False,False,False,False,False,False,False,False,0.6067335122399999,0.18560015916635944,1.4263726714897174,-0.017291145409876862,-0.021664099698132662,-0.012500218314363957,4.672746525667746,1.1419431259531097,11.629220941946782,-0.162132124209049,-0.20398190861436025,-0.11824457217373717,16.668582358478037,13.549346697880159,20.16409009616064,-2.1459358078119593,-3.0185702253702913,-1.3982404974826959,1.6577585387051323,1.3404987233823378,2.086353619636167,-0.20742626360572092,-0.28895649970881904,-0.142896947836224,4.672746525667746,16.668582358478037,1.6577585387051323
