model,dataset,display_name,role,domain,freq,seasonal_m,provenance_status,provenance_evidence_scope,layer,point_index,point_type,relative_depth,relative_position,kind,train_loss,val_loss,test_loss,test_loss_ci_lo,test_loss_ci_hi,test_mase,test_mae,test_wql,weight_decay,is_tunnel_entrance,is_reference_point,effective_rank_train_headline,normalized_effective_rank_train_headline,native_loss,native_mase
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,Emb,0,block_depth,0.0,0.0,embedding,0.29270213376062587,0.24947760177363876,0.23200098200495006,0.2228199497839251,0.24108132172574978,1.1386396690271425,5.105485277189537,0.7421852197627534,150.0,False,False,1.0006743686280868,0.001302961417484488,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L1,1,block_depth,0.08333333333333333,0.08333333333333333,block,0.24658617063544402,0.25486707788330454,0.2280027011821743,0.21897321683674598,0.23712197737626103,1.1188493151500405,5.053095599340983,0.7244346471821104,990.0,False,False,8.803629662665209,0.011463059456595323,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L2,2,block_depth,0.16666666666666666,0.16666666666666666,block,0.19058048052625087,0.24150646035737208,0.17829715090853568,0.1668246649564706,0.18970929332191253,0.9672766985693614,4.366187023348291,0.5955364584837252,0.001,False,False,11.164541551814322,0.014537163478924899,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L3,3,block_depth,0.25,0.25,block,0.17562985926508434,0.23103222816841293,0.1837016447440131,0.1735302985428996,0.19427500778652784,1.0431536960802335,4.647817432564559,0.632089774570915,3.0,False,False,17.615160354570666,0.022936406711680554,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L4,4,block_depth,0.3333333333333333,0.3333333333333333,block,0.1721065433500829,0.23258926528896995,0.19217965979385013,0.18191927179964332,0.20261519868282302,1.094752106570616,4.864514429787884,0.6638836825685012,0.01,False,False,32.671626352112696,0.04254118014598007,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L5,5,block_depth,0.4166666666666667,0.4166666666666667,block,0.17022109791299747,0.23114638525338574,0.19347252099568607,0.18321575357770647,0.20406795184533216,1.0886377667795546,4.859687548874443,0.6621363868461666,0.01,False,False,51.43035115851989,0.06696660307098944,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L6,6,block_depth,0.5,0.5,block,0.18273814910170294,0.22524849510261122,0.18559047419094402,0.17571252312525423,0.19535103816723892,1.0348065248471747,4.549824224421722,0.6304271414676162,90.0,False,False,78.14585678408142,0.10175241768760601,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L7,7,block_depth,0.5833333333333334,0.5833333333333334,block,0.20130877615817136,0.21638696037858496,0.17690384006909743,0.16832418262404,0.18580474819995121,0.9306553603464869,4.147238773113686,0.5871488034308837,300.0,False,False,87.91107274160092,0.11446754263229286,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L8,8,block_depth,0.6666666666666666,0.6666666666666666,block,0.18484230411948485,0.2058374161711176,0.17433455249451044,0.1645048565195717,0.18432420189243576,0.9923888448041337,4.368454041981953,0.599717074580182,150.0,False,False,94.09261507642199,0.1225164258807578,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L9,9,block_depth,0.75,0.75,block,0.18432466971181558,0.1999101438026392,0.17937253688582938,0.16879901526431831,0.19013075345864106,1.0243002463949178,4.4946705115309,0.6181405250131852,150.0,True,False,81.88364483350163,0.10661932921028859,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L10,10,block_depth,0.8333333333333334,0.8333333333333334,block,0.18452370520200115,0.1985821103151063,0.1789573845062547,0.16765648155963717,0.1904187442941008,1.0407094764800076,4.5393226692838216,0.6243918316140048,150.0,False,False,57.03069273937345,0.07425871450439252,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L11,11,block_depth,0.9166666666666666,0.9166666666666666,block,0.19086766834377472,0.19721206445389122,0.18777907125026216,0.1753158792504998,0.2002181682334004,1.0888298915853087,4.767220866291149,0.6636921381390806,300.0,False,False,26.73181228269382,0.03480704724309091,0.18841547164923816,1.2865068302940506
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L12,12,block_depth,1.0,1.0,block,0.19017457472189855,0.19201642062998456,0.19106396603334042,0.1766535770517724,0.2058149060269974,1.114826773562046,4.931086803281727,0.6796908233290725,300.0,False,True,4.628091960364121,0.006026161406724116,0.18841547164923816,1.2865068302940506
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,Emb,0,block_depth,0.0,0.0,embedding,0.38004547357559204,0.3465435206890106,0.292570561170578,0.2760001815208554,0.31013073590619644,1.1896581975014784,5.34758574803275,0.7802086896977388,990.0,False,False,24.044029846848346,0.01878439831785027,0.23187647919163448,1.2305916869620719
