model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
tirex,LOOP_SEATTLE_5T,0,Emb,block_depth,True,0.0,450.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.45,"mean pinball over (batch, quantiles, horizon)",0.3323604464530945,"{""1e-05"": 0.3380794823169708, ""0.0001"": 0.3380555212497711, ""0.001"": 0.3380717635154724, ""0.01"": 0.33807072043418884, ""0.1"": 0.33804330229759216, ""0.3"": 0.3379860818386078, ""1"": 0.3378196954727173, ""3"": 0.3375057280063629, ""10"": 0.33687320351600647, ""30"": 0.33609652519226074, ""45"": 0.33576491475105286, ""65"": 0.3352440595626831, ""90"": 0.3345130383968353, ""150"": 0.33316126465797424, ""300"": 0.332419753074646, ""450"": 0.3323604464530945, ""650"": 0.3323929011821747, ""900"": 0.3325275480747223, ""950"": 0.33254411816596985, ""975"": 0.33255070447921753, ""990"": 0.33255431056022644}","{""1e-05"": 0.3380794823169708, ""0.0001"": 0.3380555212497711, ""0.001"": 0.3380717635154724, ""0.01"": 0.33807072043418884, ""0.1"": 0.33804330229759216, ""0.3"": 0.3379860818386078, ""1"": 0.3378196954727173, ""3"": 0.3375057280063629, ""10"": 0.33687320351600647, ""30"": 0.33609652519226074, ""45"": 0.33576491475105286, ""65"": 0.3352440595626831, ""90"": 0.3345130383968353, ""150"": 0.33316126465797424, ""300"": 0.332419753074646, ""450"": 0.3323604464530945, ""650"": 0.3323929011821747, ""900"": 0.3325275480747223, ""950"": 0.33254411816596985, ""975"": 0.33255070447921753, ""990"": 0.33255431056022644}",0.3829735517501831,0.33236045455773366,0.274901230940382,147744,0.3131696619093418,1.0612792201242893
tirex,LOOP_SEATTLE_5T,1,L1,block_depth,True,0.08333333333333333,990.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.99,"mean pinball over (batch, quantiles, horizon)",0.33501318097114563,"{""1e-05"": 0.3630162477493286, ""0.0001"": 0.3630049228668213, ""0.001"": 0.3630002439022064, ""0.01"": 0.36303019523620605, ""0.1"": 0.36290767788887024, ""0.3"": 0.36269640922546387, ""1"": 0.36198216676712036, ""3"": 0.36048752069473267, ""10"": 0.357814759016037, ""30"": 0.35507380962371826, ""45"": 0.3539217412471771, ""65"": 0.35246849060058594, ""90"": 0.3507944643497467, ""150"": 0.3476021885871887, ""300"": 0.34137681126594543, ""450"": 0.33822348713874817, ""650"": 0.3362749218940735, ""900"": 0.33523428440093994, ""950"": 0.3351042568683624, ""975"": 0.33504718542099, ""990"": 0.33501318097114563}","{""1e-05"": 0.3630162477493286, ""0.0001"": 0.3630049228668213, ""0.001"": 0.3630002439022064, ""0.01"": 0.36303019523620605, ""0.1"": 0.36290767788887024, ""0.3"": 0.36269640922546387, ""1"": 0.36198216676712036, ""3"": 0.36048752069473267, ""10"": 0.357814759016037, ""30"": 0.35507380962371826, ""45"": 0.3539217412471771, ""65"": 0.35246849060058594, ""90"": 0.3507944643497467, ""150"": 0.3476021885871887, ""300"": 0.34137681126594543, ""450"": 0.33822348713874817, ""650"": 0.3362749218940735, ""900"": 0.33523428440093994, ""950"": 0.3351042568683624, ""975"": 0.33504718542099, ""990"": 0.33501318097114563}",0.4016396403312683,0.33501317768663397,0.28594051651258506,147744,0.3131696619093418,1.0697497824154356
tirex,LOOP_SEATTLE_5T,2,L2,block_depth,True,0.16666666666666666,990.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.99,"mean pinball over (batch, quantiles, horizon)",0.336173415184021,"{""1e-05"": 0.3610963523387909, ""0.0001"": 0.3611210584640503, ""0.001"": 0.36111095547676086, ""0.01"": 0.36109116673469543, ""0.1"": 0.3609917163848877, ""0.3"": 0.36074185371398926, ""1"": 0.3599965572357178, ""3"": 0.35836654901504517, ""10"": 0.35590285062789917, ""30"": 0.3540741205215454, ""45"": 0.35364997386932373, ""65"": 0.35345470905303955, ""90"": 0.3527294993400574, ""150"": 0.35049521923065186, ""300"": 0.34447070956230164, ""450"": 0.3405229449272156, ""650"": 0.3379543125629425, ""900"": 0.3364946246147156, ""950"": 0.3363090753555298, ""975"": 0.3362206816673279, ""990"": 0.336173415184021}","{""1e-05"": 0.3610963523387909, ""0.0001"": 0.3611210584640503, ""0.001"": 0.36111095547676086, ""0.01"": 0.36109116673469543, ""0.1"": 0.3609917163848877, ""0.3"": 0.36074185371398926, ""1"": 0.3599965572357178, ""3"": 0.35836654901504517, ""10"": 0.35590285062789917, ""30"": 0.3540741205215454, ""45"": 0.35364997386932373, ""65"": 0.35345470905303955, ""90"": 0.3527294993400574, ""150"": 0.35049521923065186, ""300"": 0.34447070956230164, ""450"": 0.3405229449272156, ""650"": 0.3379543125629425, ""900"": 0.3364946246147156, ""950"": 0.3363090753555298, ""975"": 0.3362206816673279, ""990"": 0.336173415184021}",0.40096139907836914,0.33617341158669867,0.2884204515632782,147744,0.3131696619093418,1.0734545917925349
tirex,LOOP_SEATTLE_5T,3,L3,block_depth,True,0.25,990.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.99,"mean pinball over (batch, quantiles, horizon)",0.3357950448989868,"{""1e-05"": 0.3754875957965851, ""0.0001"": 0.3754909336566925, ""0.001"": 0.3754716217517853, ""0.01"": 0.3754628598690033, ""0.1"": 0.37526482343673706, ""0.3"": 0.3747807741165161, ""1"": 0.37344300746917725, ""3"": 0.37055617570877075, ""10"": 0.364930659532547, ""30"": 0.3597194254398346, ""45"": 0.358163446187973, ""65"": 0.3566926121711731, ""90"": 0.35498785972595215, ""150"": 0.35094067454338074, ""300"": 0.34382253885269165, ""450"": 0.33992913365364075, ""650"": 0.3375156819820404, ""900"": 0.33610883355140686, ""950"": 0.33592191338539124, ""975"": 0.33583903312683105, ""990"": 0.3357950448989868}","{""1e-05"": 0.3754875957965851, ""0.0001"": 0.3754909336566925, ""0.001"": 0.3754716217517853, ""0.01"": 0.3754628598690033, ""0.1"": 0.37526482343673706, ""0.3"": 0.3747807741165161, ""1"": 0.37344300746917725, ""3"": 0.37055617570877075, ""10"": 0.364930659532547, ""30"": 0.3597194254398346, ""45"": 0.358163446187973, ""65"": 0.3566926121711731, ""90"": 0.35498785972595215, ""150"": 0.35094067454338074, ""300"": 0.34382253885269165, ""450"": 0.33992913365364075, ""650"": 0.3375156819820404, ""900"": 0.33610883355140686, ""950"": 0.33592191338539124, ""975"": 0.33583903312683105, ""990"": 0.3357950448989868}",0.40078938007354736,0.33579504050541925,0.2899051256307209,147744,0.3131696619093418,1.0722463934026507
tirex,LOOP_SEATTLE_5T,4,L4,block_depth,True,0.3333333333333333,990.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.99,"mean pinball over (batch, quantiles, horizon)",0.3355560302734375,"{""1e-05"": 0.3729309141635895, ""0.0001"": 0.3729722797870636, ""0.001"": 0.3729422390460968, ""0.01"": 0.37290990352630615, ""0.1"": 0.3727737367153168, ""0.3"": 0.3723939061164856, ""1"": 0.3712211549282074, ""3"": 0.3685075342655182, ""10"": 0.3635968267917633, ""30"": 0.35799092054367065, ""45"": 0.355815589427948, ""65"": 0.3538839519023895, ""90"": 0.3523506820201874, ""150"": 0.3489512801170349, ""300"": 0.3422814905643463, ""450"": 0.3392012417316437, ""650"": 0.337120920419693, ""900"": 0.3358428180217743, ""950"": 0.3356773257255554, ""975"": 0.335600346326828, ""990"": 0.3355560302734375}","{""1e-05"": 0.3729309141635895, ""0.0001"": 0.3729722797870636, ""0.001"": 0.3729422390460968, ""0.01"": 0.37290990352630615, ""0.1"": 0.3727737367153168, ""0.3"": 0.3723939061164856, ""1"": 0.3712211549282074, ""3"": 0.3685075342655182, ""10"": 0.3635968267917633, ""30"": 0.35799092054367065, ""45"": 0.355815589427948, ""65"": 0.3538839519023895, ""90"": 0.3523506820201874, ""150"": 0.3489512801170349, ""300"": 0.3422814905643463, ""450"": 0.3392012417316437, ""650"": 0.337120920419693, ""900"": 0.3358428180217743, ""950"": 0.3356773257255554, ""975"": 0.335600346326828, ""990"": 0.3355560302734375}",0.3994656801223755,0.33555600694060783,0.28994835714119993,147744,0.3131696619093418,1.0714831216241711
tirex,LOOP_SEATTLE_5T,5,L5,block_depth,True,0.4166666666666667,990.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.99,"mean pinball over (batch, quantiles, horizon)",0.33357030153274536,"{""1e-05"": 0.3589509427547455, ""0.0001"": 0.35901638865470886, ""0.001"": 0.3590398132801056, ""0.01"": 0.3589916527271271, ""0.1"": 0.3588985204696655, ""0.3"": 0.3587142527103424, ""1"": 0.35812705755233765, ""3"": 0.3570002019405365, ""10"": 0.35459136962890625, ""30"": 0.3499126434326172, ""45"": 0.3475673496723175, ""65"": 0.3458887040615082, ""90"": 0.34476736187934875, ""150"": 0.34248587489128113, ""300"": 0.33770623803138733, ""450"": 0.3355143666267395, ""650"": 0.3343174159526825, ""900"": 0.3336683213710785, ""950"": 0.3336082100868225, ""975"": 0.33358657360076904, ""990"": 0.33357030153274536}","{""1e-05"": 0.3589509427547455, ""0.0001"": 0.35901638865470886, ""0.001"": 0.3590398132801056, ""0.01"": 0.3589916527271271, ""0.1"": 0.3588985204696655, ""0.3"": 0.3587142527103424, ""1"": 0.35812705755233765, ""3"": 0.3570002019405365, ""10"": 0.35459136962890625, ""30"": 0.3499126434326172, ""45"": 0.3475673496723175, ""65"": 0.3458887040615082, ""90"": 0.34476736187934875, ""150"": 0.34248587489128113, ""300"": 0.33770623803138733, ""450"": 0.3355143666267395, ""650"": 0.3343174159526825, ""900"": 0.3336683213710785, ""950"": 0.3336082100868225, ""975"": 0.33358657360076904, ""990"": 0.33357030153274536}",0.39747586846351624,0.33357030968004053,0.2842349644665045,147744,0.3131696619093418,1.0651424778706835
tirex,LOOP_SEATTLE_5T,6,L6,block_depth,True,0.5,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.003,"mean pinball over (batch, quantiles, horizon)",0.3195522129535675,"{""1e-05"": 0.32104822993278503, ""0.0001"": 0.3210762143135071, ""0.001"": 0.3210870027542114, ""0.01"": 0.32107478380203247, ""0.1"": 0.32097652554512024, ""0.3"": 0.32081517577171326, ""1"": 0.32031339406967163, ""3"": 0.3195522129535675, ""10"": 0.3196520507335663, ""30"": 0.32211580872535706, ""45"": 0.3238162100315094, ""65"": 0.3269324004650116, ""90"": 0.3303413689136505, ""150"": 0.3352087438106537, ""300"": 0.337299108505249, ""450"": 0.33648955821990967, ""650"": 0.33550819754600525, ""900"": 0.3347819149494171, ""950"": 0.3346860408782959, ""975"": 0.3346397578716278, ""990"": 0.33461320400238037}","{""1e-05"": 0.32104822993278503, ""0.0001"": 0.3210762143135071, ""0.001"": 0.3210870027542114, ""0.01"": 0.32107478380203247, ""0.1"": 0.32097652554512024, ""0.3"": 0.32081517577171326, ""1"": 0.32031339406967163, ""3"": 0.3195522129535675, ""10"": 0.3196520507335663, ""30"": 0.32211580872535706, ""45"": 0.3238162100315094, ""65"": 0.3269324004650116, ""90"": 0.3303413689136505, ""150"": 0.3352087438106537, ""300"": 0.337299108505249, ""450"": 0.33648955821990967, ""650"": 0.33550819754600525, ""900"": 0.3347819149494171, ""950"": 0.3346860408782959, ""975"": 0.3346397578716278, ""990"": 0.33461320400238037}",0.2700038552284241,0.3195522075504747,0.24740232791723185,147744,0.3131696619093418,1.020380472368299
tirex,LOOP_SEATTLE_5T,7,L7,block_depth,True,0.5833333333333334,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.01,"mean pinball over (batch, quantiles, horizon)",0.3173026144504547,"{""1e-05"": 0.3204055726528168, ""0.0001"": 0.3204115927219391, ""0.001"": 0.32045677304267883, ""0.01"": 0.3204101324081421, ""0.1"": 0.32032111287117004, ""0.3"": 0.3201908767223358, ""1"": 0.31960973143577576, ""3"": 0.31846705079078674, ""10"": 0.3173026144504547, ""30"": 0.31894052028656006, ""45"": 0.32009878754615784, ""65"": 0.32172921299934387, ""90"": 0.32336995005607605, ""150"": 0.326333224773407, ""300"": 0.3269175887107849, ""450"": 0.3275669515132904, ""650"": 0.32902276515960693, ""900"": 0.3301536440849304, ""950"": 0.3303123712539673, ""975"": 0.3303855061531067, ""990"": 0.3304259181022644}","{""1e-05"": 0.3204055726528168, ""0.0001"": 0.3204115927219391, ""0.001"": 0.32045677304267883, ""0.01"": 0.3204101324081421, ""0.1"": 0.32032111287117004, ""0.3"": 0.3201908767223358, ""1"": 0.31960973143577576, ""3"": 0.31846705079078674, ""10"": 0.3173026144504547, ""30"": 0.31894052028656006, ""45"": 0.32009878754615784, ""65"": 0.32172921299934387, ""90"": 0.32336995005607605, ""150"": 0.326333224773407, ""300"": 0.3269175887107849, ""450"": 0.3275669515132904, ""650"": 0.32902276515960693, ""900"": 0.3301536440849304, ""950"": 0.3303123712539673, ""975"": 0.3303855061531067, ""990"": 0.3304259181022644}",0.27369263768196106,0.3173026193416756,0.2321526473032609,147744,0.3131696619093418,1.0131971833003741
tirex,LOOP_SEATTLE_5T,8,L8,block_depth,True,0.6666666666666666,65.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.065,"mean pinball over (batch, quantiles, horizon)",0.31141844391822815,"{""1e-05"": 0.3268846273422241, ""0.0001"": 0.32686564326286316, ""0.001"": 0.3269287943840027, ""0.01"": 0.3268723487854004, ""0.1"": 0.3266710937023163, ""0.3"": 0.3262230157852173, ""1"": 0.32496872544288635, ""3"": 0.3220798969268799, ""10"": 0.31684237718582153, ""30"": 0.31237587332725525, ""45"": 0.3115227222442627, ""65"": 0.31141844391822815, ""90"": 0.31238052248954773, ""150"": 0.3157362639904022, ""300"": 0.3206107020378113, ""450"": 0.3230031132698059, ""650"": 0.3253469467163086, ""900"": 0.32716086506843567, ""950"": 0.32742634415626526, ""975"": 0.3275574743747711, ""990"": 0.3276360034942627}","{""1e-05"": 0.3268846273422241, ""0.0001"": 0.32686564326286316, ""0.001"": 0.3269287943840027, ""0.01"": 0.3268723487854004, ""0.1"": 0.3266710937023163, ""0.3"": 0.3262230157852173, ""1"": 0.32496872544288635, ""3"": 0.3220798969268799, ""10"": 0.31684237718582153, ""30"": 0.31237587332725525, ""45"": 0.3115227222442627, ""65"": 0.31141844391822815, ""90"": 0.31238052248954773, ""150"": 0.3157362639904022, ""300"": 0.3206107020378113, ""450"": 0.3230031132698059, ""650"": 0.3253469467163086, ""900"": 0.32716086506843567, ""950"": 0.32742634415626526, ""975"": 0.3275574743747711, ""990"": 0.3276360034942627}",0.29428771138191223,0.31141844789945444,0.2267740886829054,147744,0.3131696619093418,0.9944080981560904
tirex,LOOP_SEATTLE_5T,9,L9,block_depth,True,0.75,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.03,"mean pinball over (batch, quantiles, horizon)",0.30619654059410095,"{""1e-05"": 0.31753039360046387, ""0.0001"": 0.3175136148929596, ""0.001"": 0.31756314635276794, ""0.01"": 0.31749704480171204, ""0.1"": 0.3173290193080902, ""0.3"": 0.31693559885025024, ""1"": 0.31585291028022766, ""3"": 0.31344321370124817, ""10"": 0.3090125620365143, ""30"": 0.30619654059410095, ""45"": 0.30672067403793335, ""65"": 0.30784785747528076, ""90"": 0.3098720610141754, ""150"": 0.31582945585250854, ""300"": 0.32425346970558167, ""450"": 0.32656124234199524, ""650"": 0.3279268741607666, ""900"": 0.3290932774543762, ""950"": 0.3292674124240875, ""975"": 0.3293508291244507, ""990"": 0.3294001519680023}","{""1e-05"": 0.31753039360046387, ""0.0001"": 0.3175136148929596, ""0.001"": 0.31756314635276794, ""0.01"": 0.31749704480171204, ""0.1"": 0.3173290193080902, ""0.3"": 0.31693559885025024, ""1"": 0.31585291028022766, ""3"": 0.31344321370124817, ""10"": 0.3090125620365143, ""30"": 0.30619654059410095, ""45"": 0.30672067403793335, ""65"": 0.30784785747528076, ""90"": 0.3098720610141754, ""150"": 0.31582945585250854, ""300"": 0.32425346970558167, ""450"": 0.32656124234199524, ""650"": 0.3279268741607666, ""900"": 0.3290932774543762, ""950"": 0.3292674124240875, ""975"": 0.3293508291244507, ""990"": 0.3294001519680023}",0.27825993299484253,0.3061965169911166,0.23655862917142514,147744,0.3131696619093418,0.9777336512237133
