model,rung,includes_low_skill,n_datasets,n_entrance_is_final_block,mase_degradation_q25,mase_degradation_median,mase_degradation_q75,wql_degradation_q25,wql_degradation_median,wql_degradation_q75,n_within_5pct_mase,n_fragile,n_compatibility_gap,n_gap_closure_valid,gap_closure_median,compatibility_lag_median,n_lag
chronos2,hard,True,14,0,0.1959072459702506,0.38631161944069226,0.554175350037964,0.3986460402242353,0.4681330329117187,0.8486983811902699,1,1,13,0,,8.5,14
chronos2,noa,True,14,0,0.027772792590020634,0.055123489762002764,0.11052141176330443,0.03340772665391306,0.07633984389067328,0.12535851453222568,7,4,,13,0.8468376751302308,1.0,14
chronos2,fl,True,14,0,0.05140056967084472,0.06697318943928021,0.10393946652011954,0.058180057267717133,0.09123465087525007,0.12157537719428274,3,7,,13,0.8047151000557707,1.0,14
chronos2,probe,True,14,0,0.13990054860997503,0.16892163261909077,0.28582943024268803,0.12015363680921815,0.20276919373719837,0.3849576424637644,1,3,,13,0.34268731892816606,3.5,14
chronos2,ra,True,14,0,0.025368934352175465,0.05094870412054964,0.07917097353328512,0.031009555195732064,0.06610599548766971,0.13880293352394724,7,8,,13,0.8843734252577651,1.0,14
chronos2,hard,False,13,0,0.26816795084988754,0.42826690103709963,0.5787343326617769,0.4028034344142366,0.47734064379401797,0.8887905015517858,1,0,12,0,,8.0,13
chronos2,noa,False,13,0,0.03214196016126403,0.0726236418188484,0.1161678543568827,0.03470277353476692,0.08733156602890713,0.1373154058749424,6,4,,12,0.859726962850323,1.0,13
chronos2,fl,False,13,0,0.05236915144996934,0.07009491417893843,0.10570376867067588,0.06266850663132728,0.10852266093421226,0.122514186162757,2,6,,12,0.838539666203955,1.0,13
chronos2,probe,False,13,0,0.14087689178483642,0.17907023373587094,0.29932692471194966,0.15574740912515095,0.22035441308381465,0.39469883234639647,1,2,,12,0.40867824523698365,4.0,13
chronos2,ra,False,13,0,0.043339848388492586,0.05555838441163208,0.0811596438007538,0.04265767098749951,0.06735740442028937,0.1410073027313501,6,8,,12,0.9026915794099466,1.0,13
timesfm3,hard,True,14,0,32.05087066427937,37.017165931785684,186.54458465547344,66.69766922528142,82.86358063252148,181.87061096154207,0,0,14,0,,19.0,14
timesfm3,noa,True,14,0,0.20663870935859918,0.3548114371326936,0.7445739710752814,0.39533438222495654,0.6372736695752932,0.9042084042475375,0,0,,14,0.9937104040474599,17.5,14
timesfm3,probe,True,14,0,0.1214347938787011,0.1583406059588056,0.2894645256346568,0.12223883019387011,0.2907132310502658,0.4639351326526066,1,2,,14,0.9959831652112416,19.0,14
timesfm3,ra,True,14,0,0.34569284701338826,0.7088059272233477,1.2291952789535179,0.9392419022087195,1.4421712058191272,2.9030109863637064,0,0,,14,0.9884320533530708,19.0,14
timesfm3,hard,False,13,0,31.866490320917485,38.53013606415109,215.93333266806337,67.24436848548156,85.63535930505616,192.83137244253066,0,0,13,0,,19.0,13
timesfm3,noa,False,13,0,0.21920650715854895,0.43553816611760987,0.8331285715552801,0.40832776899293344,0.7131620427996435,0.9254228453689095,0,0,,13,0.9936301496116348,17.0,13
timesfm3,probe,False,13,0,0.11423852082958508,0.1627288317303619,0.29677613876269837,0.13108722467706246,0.3067407864398135,0.5011612961685805,1,2,,13,0.9960486288575623,19.0,13
timesfm3,ra,False,13,0,0.4285581112113286,0.7255859430477294,1.2848644113979248,1.0508437543248434,1.6743510660387404,3.0269268654072237,0,0,,13,0.9876610755811089,19.0,13
tirex,hard,True,12,2,0.7248156554703016,0.9857179164850789,1.5800172657907772,0.9512464625808981,1.6449801938360231,1.9371255386806512,0,0,12,0,,2.5,14
tirex,noa,True,12,2,0.027930683645517485,0.06343254900401063,0.08803198535894552,0.047067979353302425,0.056616243261011556,0.09294541940579792,5,4,,12,0.9329486304433998,0.5,14
tirex,fl,True,12,2,0.03988308335205082,0.08700804299173637,0.09952900740062254,0.06839798388384322,0.0967695874563066,0.10899552471059237,4,4,,12,0.9221887340494279,0.5,14
tirex,probe,True,12,2,0.09651376697643638,0.10650658194928664,0.13369741820201902,0.08761561095388237,0.11597808488756278,0.17993589029958051,1,2,,12,0.8728971406659676,2.0,14
tirex,ra,True,12,2,0.026200693560184785,0.076952786086529,0.10295569995678083,0.04763108583485526,0.08021494103484628,0.14808119006884546,4,5,,12,0.9308293480517912,0.5,14
tirex,hard,False,10,2,0.6275849926661878,0.9663415994675106,1.1251376490602918,0.937074373643302,1.3508903494676392,1.766851471880551,0,0,10,0,,2.0,12
tirex,noa,False,10,2,0.02444075478792823,0.05289185862188561,0.08698503471649877,0.0408939086074509,0.056616243261011556,0.09878420211514977,5,3,,10,0.926787027335919,0.0,12
tirex,fl,False,10,2,0.027624939654603664,0.08147461060601258,0.10132077022172159,0.07178283510000494,0.10588119080059721,0.11101417378830425,4,3,,10,0.9087987497653995,0.0,12
tirex,probe,False,10,2,0.09118160195690078,0.1164219097553374,0.14215374908128203,0.10557235287249983,0.1361975319285209,0.23156933067040825,1,2,,10,0.8256199250907803,1.5,12
tirex,ra,False,10,2,0.023800042749595074,0.06457685047879036,0.09466826277573703,0.037948474379069175,0.0777780390005891,0.13861406010095884,4,4,,10,0.9254249941116206,0.0,12
