model,dataset,family,tolerance,compatibility_entrance,phase1_entrance,compatibility_lag,no_truncation
chronos2,LOOP_SEATTLE_5T,hard,tol_0.01,12,12,0,True
chronos2,LOOP_SEATTLE_5T,hard,tol_0.02,12,12,0,True
chronos2,LOOP_SEATTLE_5T,hard,tol_0.05,12,9,3,True
chronos2,LOOP_SEATTLE_5T,hard,tol_0.1,12,8,4,True
chronos2,LOOP_SEATTLE_5T,noa,tol_0.01,12,12,0,True
chronos2,LOOP_SEATTLE_5T,noa,tol_0.02,8,12,-4,False
chronos2,LOOP_SEATTLE_5T,noa,tol_0.05,7,9,-2,False
chronos2,LOOP_SEATTLE_5T,noa,tol_0.1,6,8,-2,False
chronos2,LOOP_SEATTLE_5T,fl,tol_0.01,12,12,0,True
chronos2,LOOP_SEATTLE_5T,fl,tol_0.02,12,12,0,True
chronos2,LOOP_SEATTLE_5T,fl,tol_0.05,8,9,-1,False
chronos2,LOOP_SEATTLE_5T,fl,tol_0.1,6,8,-2,False
chronos2,LOOP_SEATTLE_5T,ra,tol_0.01,10,12,-2,False
chronos2,LOOP_SEATTLE_5T,ra,tol_0.02,9,12,-3,False
chronos2,LOOP_SEATTLE_5T,ra,tol_0.05,8,9,-1,False
chronos2,LOOP_SEATTLE_5T,ra,tol_0.1,7,8,-1,False
chronos2,LOOP_SEATTLE_5T,probe,tol_0.01,12,12,0,True
chronos2,LOOP_SEATTLE_5T,probe,tol_0.02,12,12,0,True
chronos2,LOOP_SEATTLE_5T,probe,tol_0.05,12,9,3,True
chronos2,LOOP_SEATTLE_5T,probe,tol_0.1,12,8,4,True
chronos2,SZ_TAXI_15T,hard,tol_0.01,12,10,2,True
chronos2,SZ_TAXI_15T,hard,tol_0.02,12,4,8,True
chronos2,SZ_TAXI_15T,hard,tol_0.05,12,2,10,True
chronos2,SZ_TAXI_15T,hard,tol_0.1,10,0,10,False
chronos2,SZ_TAXI_15T,noa,tol_0.01,8,10,-2,False
chronos2,SZ_TAXI_15T,noa,tol_0.02,2,4,-2,False
