model,dataset,arm,depth_index,label,blocks_removed,budgets,physical_test_mase,offline_test_mase,mase_mean_rel_diff,V3_passed,active_params,fraction_params_removed
chronos2,LOOP_SEATTLE_5T,fl,6,L6,6,0.2,1.0449536143204796,1.0449536171519012,2.7096145658489848e-09,True,63431328,0.46909467530265736
chronos2,LOOP_SEATTLE_5T,fl,8,L8,4,0.1,0.9749385326437485,0.9749385319075309,7.551426252123005e-10,True,82310304,0.31108207806942056
chronos2,LOOP_SEATTLE_5T,fl,9,L9,3,0.05,1.0147430706405345,1.0147430588002473,1.1668261332224109e-08,True,91749792,0.2320757794528021
chronos2,LOOP_SEATTLE_5T,fl,11,L11,1,0.02,1.0004641542805388,1.000464158054541,3.772251301020641e-09,True,110628768,0.07406318221956532
chronos2,LOOP_SEATTLE_5T,hard,9,L9,3,0.2,1.244096036268715,1.2440960079155563,2.279016935136168e-08,True,91159200,0.23701889584985525
chronos2,LOOP_SEATTLE_5T,noa,3,L3,9,0.2,1.1367625105932204,1.1367624814721085,2.561758717492026e-08,True,35112864,0.7061135711525126
chronos2,LOOP_SEATTLE_5T,noa,7,L7,5,0.1,1.2286013980149542,1.2286013833531897,1.1933703370222144e-08,True,72870816,0.390088376686039
chronos2,LOOP_SEATTLE_5T,noa,8,L8,4,0.05,1.1977654996650209,1.197765496486936,2.653344845609317e-09,True,82310304,0.31108207806942056
chronos2,LOOP_SEATTLE_5T,noa,9,L9,3,0.02,1.230635603030973,1.2306355816515056,1.737270386817401e-08,True,91749792,0.2320757794528021
chronos2,LOOP_SEATTLE_5T,probe,8,L8,4,0.2,0.9923888317161199,0.9923888448041337,1.3188392687385093e-08,True,78324048,0.3444461050058696
chronos2,LOOP_SEATTLE_5T,probe,11,L11,1,0.1,1.0888299028770527,1.0888298915853087,1.0370530852938797e-08,True,106642512,0.10742720915601434
chronos2,SZ_TAXI_15T,fl,0,Emb,12,0.2,0.8469254803742579,0.8469254732512209,8.410464867371636e-09,True,6794400,0.9431324670023679
chronos2,SZ_TAXI_15T,fl,1,L1,11,0.1,0.8139887480062491,0.8139887428627454,6.318888042542633e-09,True,16233888,0.8641261683857495
chronos2,SZ_TAXI_15T,fl,2,L2,10,0.05,0.8048972672105659,0.8048972620698424,6.386807056992294e-09,True,25673376,0.7851198697691311
chronos2,SZ_TAXI_15T,fl,9,L9,3,0.02,0.7804546879080143,0.7804546856647093,2.8743564840093453e-09,True,91749792,0.2320757794528021
chronos2,SZ_TAXI_15T,hard,0,Emb,12,0.2,0.8444929393853216,0.844492938056411,1.5736194789583388e-09,True,6203808,0.948075583399421
chronos2,SZ_TAXI_15T,hard,4,L4,8,0.1,0.8157658163510728,0.8157658145318256,2.2301096281857e-09,True,43961760,0.6320503889329474
chronos2,SZ_TAXI_15T,hard,8,L8,4,0.05,0.7901403921558916,0.7901403886363011,4.454386281913975e-09,True,81719712,0.3160251944664737
chronos2,SZ_TAXI_15T,noa,0,Emb,12,0.2,0.8357978752193447,0.8357978710825543,4.949510519039637e-09,True,6794400,0.9431324670023679
chronos2,SZ_TAXI_15T,noa,1,L1,11,0.05;0.1,0.801011870388754,0.8010118691315036,1.5695777595043017e-09,True,16233888,0.8641261683857495
chronos2,SZ_TAXI_15T,noa,3,L3,9,0.02,0.7770860773412422,0.7770860724348234,6.313867923799776e-09,True,35112864,0.7061135711525126
chronos2,SZ_TAXI_15T,probe,0,Emb,12,0.2,0.853120363026649,0.853120250344569,1.3208229432443642e-07,True,2808144,0.9764964939388169
chronos2,SZ_TAXI_15T,probe,1,L1,11,0.1,0.8292121072803298,0.8292121044802437,3.3768031566157094e-09,True,12247632,0.8974901953221984
chronos2,SZ_TAXI_15T,probe,3,L3,9,0.05,0.8094671000063888,0.8094670974977364,3.0991406626425006e-09,True,31126608,0.7394775980889616
chronos2,boom_hourly,noa,11,L11,1,0.2,0.9552309536772505,0.9552321801472843,1.2839496608728914e-06,False,110628768,0.07406318221956532
chronos2,coastal_ts,fl,1,L1,11,0.02;0.05;0.1;0.2,1.1994496300380235,1.1994549947029363,4.4725854129044e-06,True,16233888,0.8641261683857495
chronos2,coastal_ts,hard,2,L2,10,0.2,1.586970529523425,1.5869766596979467,3.862800680839077e-06,True,25082784,0.7900629861661842
chronos2,coastal_ts,hard,3,L3,9,0.1,1.5113357285930977,1.5113426794159757,4.599104473529466e-06,True,34522272,0.7110566875495657
chronos2,coastal_ts,noa,1,L1,11,0.05;0.1;0.2,1.2105759170904022,1.2105829412966416,5.802333735020245e-06,True,16233888,0.8641261683857495
chronos2,coastal_ts,probe,1,L1,11,0.02;0.05;0.1;0.2,1.2868109867073054,1.2868174468273865,5.0202304118776855e-06,True,12247632,0.8974901953221984
chronos2,electricity_15min,fl,2,L2,10,0.2,1.3677105940526677,1.3677105680660893,1.9000056774733645e-08,True,25673376,0.7851198697691311
chronos2,electricity_15min,fl,9,L9,3,0.1,1.343123070511851,1.3431230662715898,3.1570161809525103e-09,True,91749792,0.2320757794528021
chronos2,electricity_15min,fl,11,L11,1,0.02;0.05,1.3104698413218867,1.3104698617075805,1.5556018795527934e-08,True,110628768,0.07406318221956532
chronos2,electricity_15min,noa,2,L2,10,0.2,1.2943706621508473,1.2943707038605048,3.2223888706076185e-08,True,25673376,0.7851198697691311
chronos2,electricity_15min,noa,9,L9,3,0.1,1.302430776137074,1.3024307843748038,6.324888762177397e-09,True,91749792,0.2320757794528021
chronos2,electricity_15min,noa,10,L10,2,0.05,1.273286783943984,1.2732868047674866,1.635413356985061e-08,True,101189280,0.15306948083618377
chronos2,m4_hourly,fl,7,L7,5,0.2,1.0839082920197756,1.083908513926677,2.0472844217903033e-07,True,72870816,0.390088376686039
chronos2,m4_hourly,fl,9,L9,3,0.05;0.1,0.9849350899252299,0.9849353240189037,2.376741579575111e-07,True,91749792,0.2320757794528021
chronos2,m4_hourly,fl,11,L11,1,0.02,0.9618823744598435,0.9618823850458968,1.1005559028642625e-08,True,110628768,0.07406318221956532
chronos2,m4_hourly,noa,5,L5,7,0.2,1.1167483779339895,1.1167483744380817,3.13043463102149e-09,True,53991840,0.5481009739192758
chronos2,m4_hourly,noa,7,L7,5,0.1,1.0546943740861898,1.0546942821030556,8.721307755374128e-08,True,72870816,0.390088376686039
chronos2,m4_hourly,noa,9,L9,3,0.05,0.9993883128840912,0.9993884052076281,9.238003596445672e-08,True,91749792,0.2320757794528021
chronos2,m4_hourly,noa,11,L11,1,0.02,0.9393492338902486,0.9393494256937558,2.0418760254874523e-07,True,110628768,0.07406318221956532
chronos2,m5,fl,0,Emb,12,0.1;0.2,1.1041979325716298,1.1041979317920527,7.060120718573493e-10,True,6794400,0.9431324670023679
chronos2,m5,fl,1,L1,11,0.05,1.0058828932594872,1.0058828914796918,1.7693863144783913e-09,True,16233888,0.8641261683857495
chronos2,m5,fl,7,L7,5,0.02,0.9935349315351493,0.9935349259605507,5.610873271669967e-09,True,72870816,0.390088376686039
chronos2,m5,hard,1,L1,11,0.2,1.1381557474751305,1.138155747649181,1.5292331660969997e-10,True,15643296,0.8690692847828025
chronos2,m5,hard,10,L10,2,0.1,1.028625446684073,1.028625449627577,2.861589812101314e-09,True,100598688,0.1580125972332368
chronos2,m5,noa,0,Emb,12,0.1;0.2,1.1047909745085296,1.1047909662619169,7.464409990542103e-09,True,6794400,0.9431324670023679
chronos2,m5,noa,1,L1,11,0.05,1.0036906871057618,1.0036906903870975,3.2692697850738358e-09,True,16233888,0.8641261683857495
chronos2,m5,noa,10,L10,2,0.02,0.9831300730503217,0.9831300713406906,1.7389673586336667e-09,True,101189280,0.15306948083618377
chronos2,m5,probe,0,Emb,12,0.2,1.1566300210579539,1.1566299454154303,6.539907070363714e-08,True,2808144,0.9764964939388169
chronos2,monash_electricity_hourly,fl,5,L5,7,0.2,0.9359636728059973,0.9359636620222064,1.1521591498545604e-08,True,53991840,0.5481009739192758
chronos2,monash_electricity_hourly,fl,9,L9,3,0.1,0.949056268110103,0.9490562788633914,1.13305065361725e-08,True,91749792,0.2320757794528021
chronos2,monash_electricity_hourly,fl,11,L11,1,0.02;0.05,0.8790045663428624,0.8790045627274546,4.113070516651546e-09,True,110628768,0.07406318221956532
chronos2,monash_electricity_hourly,noa,5,L5,7,0.2,0.9442896040473424,0.9442896159702996,1.2626377517517782e-08,True,53991840,0.5481009739192758
chronos2,monash_electricity_hourly,noa,9,L9,3,0.1,0.9683326124649726,0.9683326125022147,3.846002686815251e-11,True,91749792,0.2320757794528021
chronos2,monash_electricity_hourly,noa,10,L10,2,0.05,0.949023893653743,0.949023892506111,1.2092761820878092e-09,True,101189280,0.15306948083618377
chronos2,monash_london_smart_meters,fl,1,L1,11,0.2,0.9991534072613324,0.9991534101062177,2.8472958191784317e-09,True,16233888,0.8641261683857495
chronos2,monash_london_smart_meters,fl,2,L2,10,0.1,0.8647613930986852,0.8647613902952241,3.2418896707776423e-09,True,25673376,0.7851198697691311
chronos2,monash_london_smart_meters,fl,5,L5,7,0.05,0.8274198468411752,0.8274198468229219,2.2060490620635414e-11,True,53991840,0.5481009739192758
chronos2,monash_london_smart_meters,fl,10,L10,2,0.02,0.7927273151677273,0.7927273071686902,1.0090528012626822e-08,True,101189280,0.15306948083618377
chronos2,monash_london_smart_meters,hard,5,L5,7,0.2,0.9469031659743661,0.9469031669630577,1.0441316573342042e-09,True,53401248,0.553044090316329
chronos2,monash_london_smart_meters,hard,7,L7,5,0.1,0.8831039397606368,0.8831039378087477,2.210259756785886e-09,True,72280224,0.39503149308309204
chronos2,monash_london_smart_meters,noa,1,L1,11,0.2,0.9902328207504297,0.9902328215132266,7.703206853296838e-10,True,16233888,0.8641261683857495
chronos2,monash_london_smart_meters,noa,2,L2,10,0.1,0.8636312891712584,0.8636312861572983,3.489869033023309e-09,True,25673376,0.7851198697691311
chronos2,monash_london_smart_meters,noa,3,L3,9,0.05,0.8489121376623717,0.848912138742138,1.2719411433915189e-09,True,35112864,0.7061135711525126
chronos2,monash_london_smart_meters,noa,9,L9,3,0.02,0.796339816918659,0.7963398248042777,9.902328714382382e-09,True,91749792,0.2320757794528021
chronos2,monash_london_smart_meters,probe,2,L2,10,0.2,0.9136136451919308,0.913613640497813,5.137968122502765e-09,True,21687120,0.8184838967055801
chronos2,monash_london_smart_meters,probe,4,L4,8,0.1,0.8769212661591098,0.8769212643430642,2.0709335273749272e-09,True,40566096,0.6604712994723432
chronos2,monash_traffic,fl,10,L10,2,0.2,0.521532762449399,0.5215327766566636,2.724136494182901e-08,True,101189280,0.15306948083618377
chronos2,monash_traffic,fl,11,L11,1,0.1,0.5235253464853096,0.523525329765067,3.193779092095351e-08,True,110628768,0.07406318221956532
chronos2,monash_traffic,noa,10,L10,2,0.2,0.5166033854254759,0.5166033900038731,8.862499367007667e-09,True,101189280,0.15306948083618377
chronos2,monash_traffic,noa,11,L11,1,0.1,0.5065423974208348,0.5065423885694604,1.7474104065008358e-08,True,110628768,0.07406318221956532
chronos2,sg_carpark,fl,9,L9,3,0.2,0.6279822171224423,0.6279822066305221,1.6707352709572012e-08,True,91749792,0.2320757794528021
chronos2,sg_carpark,fl,10,L10,2,0.1,0.628323610236794,0.6283235850775297,4.004189055615528e-08,True,101189280,0.15306948083618377
chronos2,sg_carpark,fl,11,L11,1,0.05,0.6103109799441321,0.6103109440657688,5.8787022630341514e-08,True,110628768,0.07406318221956532
chronos2,sg_carpark,noa,8,L8,4,0.2,0.6472859518851903,0.6472859380649021,2.1351133145982793e-08,True,82310304,0.31108207806942056
chronos2,sg_carpark,noa,9,L9,3,0.1,0.6249783058536593,0.624978299313365,1.0464834240356607e-08,True,91749792,0.2320757794528021
chronos2,sg_carpark,noa,11,L11,1,0.05,0.6092107553163547,0.6092107205279064,5.710413026565388e-08,True,110628768,0.07406318221956532
chronos2,uber_tlc_hourly,fl,2,L2,10,0.2,1.0115585862592114,1.01155860371874,1.7260026900564575e-08,True,25673376,0.7851198697691311
chronos2,uber_tlc_hourly,fl,3,L3,9,0.1,0.8637139733110893,0.8637139851161859,1.3667830752288318e-08,True,35112864,0.7061135711525126
chronos2,uber_tlc_hourly,fl,5,L5,7,0.05,0.8384830877801861,0.8384830963060107,1.0168153227452392e-08,True,53991840,0.5481009739192758
chronos2,uber_tlc_hourly,fl,9,L9,3,0.02,0.8142546407473977,0.8142546392154733,1.8813825582097332e-09,True,91749792,0.2320757794528021
chronos2,uber_tlc_hourly,noa,2,L2,10,0.2,0.9579554022987912,0.957955379164928,2.414920742822954e-08,True,25673376,0.7851198697691311
chronos2,uber_tlc_hourly,noa,3,L3,9,0.1,0.8517567434605499,0.8517567604596843,1.9957733501583388e-08,True,35112864,0.7061135711525126
chronos2,uber_tlc_hourly,noa,4,L4,8,0.05,0.8363308421216786,0.8363308261349873,1.911527209629912e-08,True,44552352,0.6271072725358943
chronos2,uber_tlc_hourly,noa,8,L8,4,0.02,0.8176205252120297,0.8176205232094439,2.449285098693399e-09,True,82310304,0.31108207806942056
chronos2,uber_tlc_hourly,probe,5,L5,7,0.2,0.9222240697057013,0.9222240698999246,2.1060316082123165e-10,True,50005584,0.5814650008557247
chronos2,wiki_daily_100k,fl,1,L1,11,0.1;0.2,0.8820206344529873,0.882020636134476,1.9064051986408115e-09,True,16233888,0.8641261683857495
chronos2,wiki_daily_100k,fl,3,L3,9,0.05,0.8442156523242493,0.8442156467018452,6.659914584401068e-09,True,35112864,0.7061135711525126
chronos2,wiki_daily_100k,fl,9,L9,3,0.02,0.8142979952618298,0.8142979962362694,1.1966622103860566e-09,True,91749792,0.2320757794528021
chronos2,wiki_daily_100k,hard,1,L1,11,0.2,0.9383631131552209,0.9383631156326672,2.6401786332787795e-09,True,15643296,0.8690692847828025
chronos2,wiki_daily_100k,noa,1,L1,11,0.1;0.2,0.8736576503105666,0.8736576585376513,9.4168288914788e-09,True,16233888,0.8641261683857495
chronos2,wiki_daily_100k,noa,2,L2,10,0.05,0.8555123514318322,0.8555123638005617,1.4457686420943067e-08,True,25673376,0.7851198697691311
chronos2,wiki_daily_100k,noa,5,L5,7,0.02,0.8143360874374405,0.8143360874914063,6.626972896353629e-11,True,53991840,0.5481009739192758
chronos2,wiki_daily_100k,probe,1,L1,11,0.2,0.9363536684105763,0.9363536689499932,5.760823740135019e-10,True,12247632,0.8974901953221984
chronos2,wiki_daily_100k,probe,3,L3,9,0.1,0.8926025176790591,0.8926025181215851,4.957705214216213e-10,True,31126608,0.7394775980889616
chronos2,wind_farms_hourly,fl,2,L2,10,0.1;0.2,4.4897296660943775,4.489729752825398,1.9317648358026273e-08,True,25673376,0.7851198697691311
chronos2,wind_farms_hourly,fl,11,L11,1,0.05,4.373318403992369,4.373318389742648,3.25833137328659e-09,True,110628768,0.07406318221956532
chronos2,wind_farms_hourly,noa,2,L2,10,0.2,4.500761703438861,4.5007617149033585,2.5472350063726404e-09,True,25673376,0.7851198697691311
