model,arm,budget,includes_low_skill,n_datasets,n_cut,n_no_cut,n_within_budget_test_cut,median_fraction_blocks_removed,median_speedup_e2e_b1,median_speedup_e2e_b256,cut_degradation_q25,cut_degradation_median,cut_degradation_q75
chronos2,fl,0.02,True,14,10,4,4,0.08333333333333333,1.0811576727377534,1.0756825215310732,0.010878037262081253,0.02107690800216977,0.03521149117305761
chronos2,fl,0.05,True,14,12,2,7,0.25,1.2837562507005005,1.28584454927648,0.024285263908359556,0.040557984819581394,0.058912191106076206
chronos2,fl,0.1,True,14,13,1,9,0.5416666666666666,2.163740348234875,2.2649555733531743,0.052578645325049855,0.063851464699622,0.10585916337556256
chronos2,fl,0.2,True,14,13,1,11,0.8333333333333334,3.718278084855714,4.0698978209627,0.063851464699622,0.09516952800950951,0.12562096346304075
chronos2,hard,0.02,True,14,0,14,0,0.0,1.0,1.0,,,
chronos2,hard,0.05,True,14,1,13,1,0.0,1.0,1.0,0.021740051296562868,0.021740051296562868,0.021740051296562868
chronos2,hard,0.1,True,14,4,10,2,0.0,1.0,1.0,0.053303015124794906,0.0962525500234368,0.18834110380755514
chronos2,hard,0.2,True,14,6,8,4,0.0,1.0,1.0,0.10907739306787168,0.16836890221788448,0.20898680940868747
chronos2,noa,0.02,True,14,7,7,5,0.041666666666666664,1.0405788363688768,1.0378412607655365,0.003531784903873736,0.011196047999548764,0.017703710912730153
chronos2,noa,0.05,True,14,12,2,7,0.29166666666666663,1.3525816007277385,1.3562779186535807,0.015612920350527804,0.0367107156713945,0.07424779682248245
chronos2,noa,0.1,True,14,13,1,9,0.4166666666666667,1.5727225564742562,1.599869712860413,0.0353814858728545,0.05676206721388999,0.1125435231823535
chronos2,noa,0.2,True,14,14,0,12,0.8333333333333334,3.718278084855714,4.0698978209627,0.03921723304425134,0.08178938425603899,0.12851443525275963
chronos2,probe,0.02,True,14,1,13,0,0.0,1.0,1.0,0.14133721703113422,0.14133721703113422,0.14133721703113422
chronos2,probe,0.05,True,14,2,12,1,0.0,1.0,1.0,0.07038304269872431,0.09403443414286095,0.11768582558699758
chronos2,probe,0.1,True,14,5,9,2,0.0,1.0,1.0,0.07226415755005333,0.11912650733759111,0.12966388390897454
chronos2,probe,0.2,True,14,7,7,7,0.16666666666666666,1.2188762385790572,1.226805503201203,0.12225864294831001,0.14418982012644666,0.1754561884730177
chronos2,ra,0.02,True,14,9,5,4,0.16666666666666666,1.182456961719127,1.1807635354037767,0.008014667435822798,0.02090960064539149,0.022475929180214793
chronos2,ra,0.05,True,14,12,2,7,0.29166666666666663,1.3525816007277385,1.3562779186535807,0.013706061472648912,0.033736994252843044,0.05984193057838755
chronos2,ra,0.1,True,14,14,0,11,0.5416666666666666,2.163740348234875,2.2649555733531743,0.018662690697836104,0.044307187811072235,0.09264160300065943
chronos2,ra,0.2,True,14,14,0,14,0.75,2.9060737457147736,3.103199858675667,0.031238033988943315,0.0794127379952515,0.10242177906448813
timesfm3,hard,0.02,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,hard,0.05,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,hard,0.1,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,hard,0.2,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,noa,0.02,True,14,4,10,3,0.0,1.0,1.0,0.009406144383856563,0.013420746145059947,0.02142681245704242
timesfm3,noa,0.05,True,14,5,9,4,0.0,1.0,1.0,0.017133773091156268,0.028828182119439383,0.035829307205489824
timesfm3,noa,0.1,True,14,9,5,9,0.05,1.0,1.0364938384035858,0.052129942076157176,0.06074165918244634,0.07233416229208522
