model,arm,depth_index,label,includes_low_skill,n_datasets,blocks_removed,fraction_blocks_removed,degradation_q25,degradation_median,degradation_q75,speedup_e2e_b1,speedup_e2e_b256,speedup_device_b1,params_removed_fraction
chronos2,fl,0,Emb,True,14,12,1.0,0.20276877221819206,0.7170995240060568,1.770985978530709,8.413659017103269,9.926948725133702,11.267174084150678,0.9431324670023679
chronos2,fl,1,L1,True,14,11,0.9166666666666666,0.06649086309403085,0.1282171040025749,0.5366001603910462,5.191288505596132,5.878024315024798,6.052952301207836,0.8641261683857495
chronos2,fl,10,L10,True,14,2,0.16666666666666666,0.005772663282043289,0.018532497377154233,0.04987383869514583,1.1801723035772915,1.1718074105910956,1.1882121115327804,0.15306948083618377
chronos2,fl,11,L11,True,14,1,0.08333333333333333,0.0038465427280069964,0.008100779865206298,0.03216855949844033,1.0811576727377534,1.0756825215310732,1.0818004500728113,0.07406318221956532
chronos2,fl,2,L2,True,14,10,0.8333333333333334,0.04410883649938385,0.09864489305585677,0.30552762255091936,3.718278084855714,4.0698978209627,4.1019772892887,0.7851198697691311
chronos2,fl,3,L3,True,14,9,0.75,0.024615137196585424,0.06502863608059706,0.1049351610721192,2.9060737457147736,3.103199858675667,3.1115721817298603,0.7061135711525126
chronos2,fl,4,L4,True,14,8,0.6666666666666666,0.018486633688518328,0.050822637943820914,0.1262775132868867,2.427405321160691,2.5137438539401016,2.5573634789044886,0.6271072725358943
chronos2,fl,5,L5,True,14,7,0.5833333333333334,0.016566401046513912,0.040861081873056926,0.1126061600865848,2.063114236323405,2.1098237209397337,2.134960704751238,0.5481009739192758
chronos2,fl,6,L6,True,14,6,0.5,0.012327761451070895,0.03634769651213032,0.12163072613764941,1.7849770182898328,1.8208712638862465,1.8361216926310084,0.46909467530265736
chronos2,fl,7,L7,True,14,5,0.4166666666666667,0.013269419065575494,0.04483212885105037,0.09036880351834026,1.5727225564742562,1.599869712860413,1.604475393490942,0.390088376686039
chronos2,fl,8,L8,True,14,4,0.3333333333333333,0.013576285907030083,0.03784899388038132,0.08656141526278677,1.4214069507549765,1.4267112880306814,1.438478862685893,0.31108207806942056
chronos2,fl,9,L9,True,14,3,0.25,0.010483339576485118,0.027238434314334925,0.06026774025565945,1.2837562507005005,1.28584454927648,1.2981720968854011,0.2320757794528021
chronos2,hard,0,Emb,True,14,12,1.0,0.28547093255260714,0.8232235555229211,1.805418952544751,8.576338360126098,10.241261902288686,11.609728510976588,0.948075583399421
chronos2,hard,1,L1,True,14,11,0.9166666666666666,0.1856591093513169,0.5643367943469944,1.7392798355693435,5.1926034665751635,6.017660965274821,6.068856190984485,0.8690692847828025
chronos2,hard,10,L10,True,14,2,0.16666666666666666,0.0777855616947638,0.12231120971866649,0.43564244919813844,1.1801682120264665,1.1778164283514365,1.1861786794735782,0.1580125972332368
chronos2,hard,11,L11,True,14,1,0.08333333333333333,0.1365536477939988,0.18490375942237236,0.6957623237037356,1.066616014605315,1.081545254955935,1.0710003193390771,0.07900629861661845
chronos2,hard,2,L2,True,14,10,0.8333333333333334,0.1771347059413486,0.4908423183209494,1.7000537928299817,3.745063180802789,4.123614487114269,4.143777225508858,0.7900629861661842
chronos2,hard,3,L3,True,14,9,0.75,0.16027030187946845,0.4418233561992513,1.4104723461095119,2.9519118679894136,3.1462523033642835,3.180026637439195,0.7110566875495657
chronos2,hard,4,L4,True,14,8,0.6666666666666666,0.13846219495595824,0.3701054630167484,1.128249110519764,2.420332210254884,2.5329268760868775,2.5415753600276236,0.6320503889329474
chronos2,hard,5,L5,True,14,7,0.5833333333333334,0.1216462303341389,0.24177782959619853,0.5852743983179443,2.0492508075360334,2.1305793727263675,2.1275825957384105,0.553044090316329
chronos2,hard,6,L6,True,14,6,0.5,0.1132228096966641,0.20051928977243172,0.47987137338128216,1.77782451525271,1.8336681979534952,1.8282037198166905,0.4740377916997105
chronos2,hard,7,L7,True,14,5,0.4166666666666667,0.10459035851942539,0.177723813214127,0.3379181473319384,1.5972474255107876,1.6101041682876744,1.6298105168429835,0.39503149308309204
chronos2,hard,8,L8,True,14,4,0.3333333333333333,0.11130756903634559,0.1627413034651648,0.3435899344559464,1.4292906000585754,1.4346768161540855,1.4496867578283303,0.3160251944664737
chronos2,hard,9,L9,True,14,3,0.25,0.1132572926232549,0.1706470531848876,0.35849727743284987,1.2909113819444162,1.2932067946479453,1.3037397536706057,0.23701889584985525
chronos2,noa,0,Emb,True,14,12,1.0,0.19908629797482713,0.6943908973367992,1.838135470519503,8.413659017103269,9.926948725133702,11.267174084150678,0.9431324670023679
chronos2,noa,1,L1,True,14,11,0.9166666666666666,0.06825167892924155,0.13057962355754038,0.5190761453658401,5.191288505596132,5.878024315024798,6.052952301207836,0.8641261683857495
chronos2,noa,10,L10,True,14,2,0.16666666666666666,0.002091436830866711,0.00883595163362172,0.03333810890830985,1.1801723035772915,1.1718074105910956,1.1882121115327804,0.15306948083618377
chronos2,noa,11,L11,True,14,1,0.08333333333333333,0.0004976946105251234,0.004130404237067897,0.012014265100248445,1.0811576727377534,1.0756825215310732,1.0818004500728113,0.07406318221956532
chronos2,noa,2,L2,True,14,10,0.8333333333333334,0.020720582847702285,0.0839211433016882,0.30020373900599645,3.718278084855714,4.0698978209627,4.1019772892887,0.7851198697691311
