model,dataset,candidate_label,candidate_depth_index,blocks_total,blocks_removed,status,successful_truncation,aligned_mase_degradation,aligned_mase_ci_lo,aligned_mase_ci_hi,aligned_wql_degradation,fragile,low_skill,fl_within_budget,hard_within_budget,probe_head_within_budget
chronos2,LOOP_SEATTLE_5T,L9,9,12,3,success,True,-0.04342862855248675,-0.07435862347408129,-0.010461815566996435,-0.056805577090560444,False,False,True,True,True
chronos2,SZ_TAXI_15T,L2,2,12,10,success,True,0.015816551454833183,-0.005064066637294196,0.04446323377962669,0.011057755860049756,False,True,True,False,False
chronos2,boom_hourly,L3,3,12,9,failure,False,0.11925082955994637,0.04844329940565517,0.2735510962586265,0.38163130245656385,True,False,False,False,False
chronos2,coastal_ts,L1,1,12,11,failure,False,0.0737231338486759,-0.015680905125697975,0.17236767732350122,0.08872624717135635,True,False,False,False,False
chronos2,electricity_15min,L10,10,12,2,success,True,0.005136190630284254,-0.007975063495657686,0.017292074116783462,-0.002913196015195463,False,False,False,False,False
chronos2,m4_hourly,L8,8,12,4,failure,False,0.11616787295980391,0.0648264670930867,0.17842549318615908,0.2277870196195213,False,False,False,False,False
chronos2,m5,Emb,0,12,12,failure,False,0.12622551051820907,0.08885638811135532,0.1705387882803695,0.1373154017778504,False,False,False,False,False
chronos2,monash_electricity_hourly,L9,9,12,3,failure,False,0.15803046535724596,0.12625807452236182,0.192765582786095,0.15035630403816835,False,False,False,False,False
chronos2,monash_london_smart_meters,L3,3,12,9,failure,False,0.09358208362458487,0.05404851662528509,0.15589592774535377,0.0873315678878448,False,False,False,False,False
chronos2,monash_traffic,L11,11,12,1,success,True,0.03538149609609653,0.027811174232814206,0.04357430840991228,0.032976052426605396,False,False,False,False,False
chronos2,sg_carpark,L10,10,12,2,success,True,0.03214195061141312,0.018538558985828013,0.046895522783264365,0.05405845782287777,False,False,False,False,False
chronos2,uber_tlc_hourly,L4,4,12,8,success,True,0.037623356081873505,0.028751659032230537,0.04638083088477729,0.06534812476931995,False,False,False,False,False
chronos2,wiki_daily_100k,L2,2,12,10,failure,False,0.072623627259367,0.039734613882906666,0.10909439354922101,0.08948779372016435,True,False,False,False,False
chronos2,wind_farms_hourly,L3,3,12,9,success,True,0.026316402442307485,0.007371118974266011,0.1926832659709281,0.03470279608343141,True,False,True,False,False
timesfm3,LOOP_SEATTLE_5T,L14,14,20,6,failure,False,0.4789080898184077,0.39104705488847835,0.5772575994083278,0.5613821964867447,False,False,,False,True
timesfm3,SZ_TAXI_15T,L1,1,20,19,failure,False,0.1576589430428892,0.11709795842315951,0.20663094170665808,0.15734405958125253,False,False,,False,False
timesfm3,boom_hourly,Emb,0,20,20,invalid_v3,,0.8330971858520426,0.28070039422413706,1.3648835598511146,0.8405443082795887,,False,,False,False
timesfm3,coastal_ts,L5,5,20,15,failure,False,0.20245111534793825,0.0865983267756314,0.3181750533208503,0.22740551802435127,False,False,,False,False
timesfm3,electricity_15min,L1,1,20,19,failure,False,0.2740846292198724,0.21949546309148804,0.3392599509962635,0.39100269988200975,False,False,,False,False
timesfm3,m4_hourly,L16,16,20,4,failure,False,0.9810283210885422,0.8620297934384971,1.1140207583908537,1.097403217525457,False,False,,False,False
timesfm3,m5,Emb,0,20,20,invalid_v3,,0.1250112240649126,0.09844292256580278,0.15641213477896265,0.12287836032139365,,True,,False,False
timesfm3,monash_electricity_hourly,L15,15,20,5,invalid_v3,,0.4419394079399923,0.3914585401258206,0.4954191641401211,0.9254150590489314,,False,,False,False
timesfm3,monash_london_smart_meters,L1,1,20,19,invalid_v3,,0.43553876423376514,0.26308930629353044,0.7664191589691087,0.40832767880503207,,False,,False,False
timesfm3,monash_traffic,L12,12,20,8,invalid_v3,,2.930339513160601,2.7020478352816064,3.201688433254554,3.468725894415999,,False,,False,False
timesfm3,sg_carpark,L12,12,20,8,invalid_v3,,1.046400955664057,0.8900930292164884,1.2260306950746185,1.4684987310981468,,False,,False,False
timesfm3,uber_tlc_hourly,L1,1,20,19,invalid_v3,,0.2712896090188266,0.23324919404873046,0.31512719007065004,0.447379637580559,,False,,False,False
timesfm3,wiki_daily_100k,Emb,0,20,20,invalid_v3,,0.2192066309826033,0.13965330872421977,0.32094719751612577,0.7798676824893387,,False,,False,False
timesfm3,wind_farms_hourly,Emb,0,20,20,invalid_v3,,0.18384551173166863,0.05834590883935431,1.4204135430050222,0.7131686377149797,,False,,False,False
tirex,LOOP_SEATTLE_5T,L9,9,12,3,invalid_v3,,0.022696629610192476,-0.004938853595778059,0.049514883463935844,0.03780974571651652,,False,True,False,True
tirex,SZ_TAXI_15T,Emb,0,12,12,failure,False,0.06905632409761253,0.028726188230641547,0.13010394099807332,0.050998558800495086,True,True,False,False,False
tirex,boom_hourly,L8,8,12,4,failure,False,0.13602893050648657,0.08065867205217603,0.2392473372092765,0.20534021410603476,False,False,False,False,False
