model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
chronos2,SZ_TAXI_15T,hard,0,Emb,0.0,False,0.2519403510273267,0.7910820591208977,1.1385036206829624,0.26337948785378384,0.844492938056411,2.894816439859546,0.21790520506489225,1.0920239874568802,1.0400926265573949,1.177572970032837,1.0924435807382697,1.067951423134866,1.1201782851884585,1.1306481625394962,False,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,1,L1,0.08333333333333333,False,0.24095538430489027,0.7699853148395882,1.1081417644482443,0.25416734719123596,0.8250803972249051,2.8677317018345243,0.2132388713548371,1.0669213971447815,1.0261947392263184,1.1314263248966443,1.0690494341614853,1.0475718634366433,1.0922614670641335,1.0911018410015507,False,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,2,L2,0.16666666666666666,True,0.24363878550819862,0.7747867413490628,1.115051845902442,0.2572234424834068,0.8289384216170398,2.886336664181748,0.214483261695601,1.0719102549439967,1.03425145371816,1.129490961146514,1.0752880471367716,1.05378900056649,1.0984545819257998,1.1042211942009799,False,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,3,L3,0.25,False,0.24193195965236577,0.7673451619900872,1.1043421288179613,0.25574687018226355,0.823070832481586,2.866112285775273,0.21325587752071667,1.0643228047763211,1.028873807711266,1.1195165415109563,1.069134692688204,1.0486377517305698,1.0908991136830615,1.0978824934435727,False,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,4,L4,0.3333333333333333,False,0.2413258693443659,0.7576929587316357,1.0904509423972673,0.256131708335418,0.8157658145318256,2.8479410650262755,0.21353769571811299,1.0548765980995656,1.0222531739739802,1.1053847348866153,1.0705475569682892,1.0511531605237574,1.0907511878919227,1.0995345452198322,False,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,5,L5,0.4166666666666667,False,0.23872807438079363,0.7438292626722369,1.0704986909491512,0.2547007364531358,0.8055813425981112,2.819952289783589,0.21248776974713637,1.0417069348022099,1.0134642934241385,1.08523639133451,1.065283869545576,1.0486543677507456,1.083126138658457,1.0933916001388309,True,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,6,L6,0.5,False,0.23896833435178566,0.73524309962946,1.0581417203931018,0.25525066122794765,0.7984835680769712,2.7987421352002015,0.21279878239443534,1.0325287170985973,1.007410711090828,1.0701419583276466,1.0668430969626952,1.0524008744646312,1.0826022582752806,1.0957523437230887,True,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,7,L7,0.5833333333333334,False,0.24042473091051364,0.7310984719919745,1.0521768858765619,0.255302576873547,0.7950178479720889,2.7850505491497155,0.21228410128367622,1.028047152697297,1.0033621350662507,1.0650458290757268,1.064262800290073,1.0518243799244846,1.0777495128656733,1.0959752097092834,True,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,8,L8,0.6666666666666666,False,0.23801496386145934,0.7209657656387018,1.0375941725695026,0.2543304989544245,0.7901403886363011,2.772520546594203,0.21215962854318443,1.0217400512965629,1.0002327650326905,1.052965463376873,1.0636387700091685,1.0522769120448938,1.075931808274837,1.0918022267558378,True,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,9,L9,0.75,False,0.23724535962518972,0.7210310216750394,1.037688087268724,0.2528610638318918,0.7906758406084955,2.783945357271411,0.21186703992792805,1.022432450689639,1.0061277484341675,1.0466077738169546,1.06217190943354,1.0521758606711993,1.0727785263864038,1.0854941648228411,True,False,,,,,,,0
chronos2,SZ_TAXI_15T,hard,10,L10,0.8333333333333334,False,0.22929766499556792,0.7151735330947827,1.0292581502225695,0.24684764748104873,0.7922789817347655,2.804181689135413,0.2086343105099766,1.0245054917848015,1.014042823536753,1.0357009003242188,1.0459649789939798,1.037006014863229,1.0557513979713384,1.0596794812152848,True,False,,,,,,,0
chronos2,SZ_TAXI_15T,hard,11,L11,0.9166666666666666,False,0.23106162906743777,0.7263396159749306,1.045328070708469,0.25138262496926844,0.8261329545804276,2.8953319782897746,0.21437823986833038,1.068282471735944,1.0440733640517696,1.104353327332527,1.0747615318522696,1.0616913502919043,1.0887012828892553,1.0791474512003283,False,True,,,,,,,0
chronos2,SZ_TAXI_15T,hard,12,L12,1.0,False,0.21512668914137742,0.6948436919738082,1.0,0.23294557633403784,0.7733281940290316,2.7422164738738037,0.199465866161832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
chronos2,SZ_TAXI_15T,noa,0,Emb,0.0,False,0.23738141644459504,0.7683253420501137,1.1057527770995081,0.25245399391039824,0.8357978710825543,2.8773289958967547,0.2105497460119245,1.0807802916483056,1.0288037162200219,1.1685888343127437,1.0555678024685178,1.0333403127738183,1.0816622632009905,1.0837466754396994,False,True,0.1221822279092498,True,False,100.0,450,,590592
chronos2,SZ_TAXI_15T,noa,1,L1,0.08333333333333333,False,0.22396586085550296,0.7270330342527074,1.0463260192914186,0.24009798639095747,0.8010118691315036,2.812072892835955,0.20455582963709168,1.0357980936376319,1.0069667230015062,1.078093485500996,1.025517967425715,1.0094457627971358,1.041641575786733,1.030704210697967,True,True,0.4650725303868932,True,False,1.0,1175,,590592
chronos2,SZ_TAXI_15T,noa,2,L2,0.16666666666666666,True,0.21840745778993154,0.7095592915824002,1.0211782876905597,0.23572840923682237,0.785559574096737,2.7717106464584105,0.2016715098850909,1.0158165448539773,0.9949359278991691,1.0444632167889396,1.0110577502090978,0.9997438882367382,1.023163798635351,1.0119462792407528,True,False,0.7800516092413368,True,False,0.1,575,,590592
chronos2,SZ_TAXI_15T,noa,3,L3,0.25,False,0.21675697637674135,0.7039427245178352,1.0130950782875783,0.2331495807530024,0.7770860724348234,2.740468324829657,0.1995353622214071,1.0048593578183322,0.9844269881643678,1.033227308594728,1.0003484107878322,0.9904136790067528,1.0111013876121806,1.00087576000444,True,False,0.9244535769976068,True,False,1.0,1175,,590592
chronos2,SZ_TAXI_15T,noa,4,L4,0.3333333333333333,False,0.21623685690932548,0.7006041146335832,1.0082902424333904,0.23241609760010853,0.7747324912530886,2.7343976567467965,0.19915437349805618,1.0018159136507627,0.9851524729763504,1.0249162935781837,0.998438366073506,0.9902665484940487,1.0074223507413689,0.9977270281657118,True,False,0.9669091431748739,True,False,1.0,350,,590592
chronos2,SZ_TAXI_15T,noa,5,L5,0.4166666666666667,False,0.2169378848077777,0.7031618430762703,1.0119712551161444,0.23241517559075967,0.7746682713528893,2.733227137374999,0.19915731915614077,1.0017328701244885,0.9856010076199975,1.0238376416645576,0.9984531338036509,0.9907260669970983,1.0067771069046296,0.9977230701195304,True,False,0.9584512711685345,True,False,0.0,275,,590592
chronos2,SZ_TAXI_15T,noa,6,L6,0.5,False,0.21680114356180033,0.7030866900923919,1.011863097001238,0.23246893210288805,0.773656887790149,2.7325674131133644,0.1990070776683878,1.0004250378605812,0.9871801956472467,1.0166037018472127,0.9976999147660082,0.9907704119446804,1.004894736305807,0.9979538386663059,True,False,0.9869334576186017,True,False,0.1,225,,590592
chronos2,SZ_TAXI_15T,noa,7,L7,0.5833333333333334,False,0.21741700733605868,0.704653622630801,1.0141181833703148,0.23237035585901675,0.7727647839995034,2.729792673895094,0.1988361006866064,0.9992714477063188,0.9857776367820581,1.0165879750273228,0.9968427406285411,0.989465599694275,1.004319774607905,0.9975306658144207,True,False,1.0259759805761468,True,False,1.0,200,,590592
chronos2,SZ_TAXI_15T,noa,8,L8,0.6666666666666666,False,0.21660764030634594,0.7024356489344601,1.0109261364078672,0.23121529827133203,0.7674649572717325,2.719653900628713,0.1981032922629756,0.9924181779449269,0.9816109313741955,1.0045416901843,0.993168886862322,0.9857437599492254,1.0002761010214751,0.9925721789186301,True,False,1.3487490416488483,True,False,1.0,250,,590592
chronos2,SZ_TAXI_15T,noa,9,L9,0.75,False,0.21672041642551237,0.7026372306466673,1.0112162472839328,0.23355962555759993,0.7761878020761932,2.7384156534020843,0.19931870444970465,1.0036977936007518,0.9924473235308267,1.0184919759597635,0.999262221075921,0.9929623990555212,1.0056548724049683,1.0026360201091844,True,False,0.8351587326809639,True,False,1.0,400,,590592
chronos2,SZ_TAXI_15T,noa,10,L10,0.8333333333333334,False,0.21593874618888664,0.6984590403637744,1.0052031103278727,0.2326132444999157,0.7712831848000038,2.7346997275596086,0.19908185908887222,0.9973555739402525,0.9915411212683055,1.0031785561583328,0.998074823124633,0.9935132386391496,1.0023013907815033,0.9985733498813234,True,False,1.1079115686789678,True,False,1.0,350,,590592
