model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
chronos2,electricity_15min,hard,0,Emb,0.0,False,0.3022836575583192,1.8588391562109612,3.5379348344146804,0.2979061306660412,2.5213173109820697,163.89185597773334,0.215902836664717,1.9903350020282036,1.8269252954283115,2.1788281423744804,1.780420407805914,1.4706659906049644,2.2166033454912477,2.0402897736024355,False,False,,,,,,,0
chronos2,electricity_15min,hard,1,L1,0.08333333333333333,False,0.29717273759932916,1.7748766304461088,3.378128675987061,0.281577302683287,2.396835770738223,170.14144554868804,0.23560664413975585,1.892068922794723,1.7518341895148548,2.0522664477992647,1.942905817826332,1.5662028513812776,2.345506928969251,1.9284574300597168,False,False,,,,,,,0
chronos2,electricity_15min,hard,2,L2,0.16666666666666666,False,0.2975937987727518,1.7363098803298982,3.3047244504356477,0.285876861297106,2.360465001503996,169.1329871194194,0.242845687875122,1.8633577349000998,1.7241807851881128,2.024288377501981,2.0026018431243253,1.6346833304882558,2.393319433335452,1.9579041066056693,False,False,,,,,,,0
chronos2,electricity_15min,hard,3,L3,0.25,False,0.2638907799397716,1.5638510203605425,2.976482920688261,0.25422208402163654,2.1180121935283758,151.1716636138143,0.21529286842915354,1.6719648039302415,1.54758997671189,1.8141932982762914,1.7753903678514273,1.4973575065070164,2.0817171043154805,1.7411079023234415,False,False,,,,,,,0
chronos2,electricity_15min,hard,4,L4,0.3333333333333333,False,0.23142491964950362,1.3871752289505133,2.640215291109457,0.22357933199075797,1.8871615478726709,131.98844940465676,0.18768427340444346,1.489730652644304,1.3862554490015893,1.6064334953549066,1.547718945038317,1.3529509718139114,1.769170155478226,1.531242823468374,False,False,,,,,,,0
chronos2,electricity_15min,hard,5,L5,0.4166666666666667,False,0.18528898195399127,1.1128812247442188,2.1181505879262836,0.18705294598320513,1.5873813038874043,108.7839567570356,0.15801524020171592,1.2530832818744477,1.180264743566223,1.3335441252722993,1.3030563319387098,1.1607797078419397,1.4488541879217274,1.2810821044820013,False,False,,,,,,,0
chronos2,electricity_15min,hard,6,L6,0.5,False,0.1586606190575443,0.9344886497655448,1.778615398391921,0.16771483134108645,1.4105693846429432,96.90875969847882,0.1439287281913546,1.1135074537487282,1.0629319020448347,1.1674682195179769,1.1868933678689144,1.0750154769533136,1.276916151863885,1.1486398567952745,False,False,,,,,,,0
chronos2,electricity_15min,hard,7,L7,0.5833333333333334,False,0.14489202168663495,0.8192343052038714,1.559251415725688,0.16745814381039326,1.4111402262852413,96.41408757865159,0.14778731914385113,1.1139580777524314,1.0715031556070214,1.1580929681057686,1.21871283899457,1.1248109161290858,1.2790035089820393,1.1468818636223455,False,False,,,,,,,0
chronos2,electricity_15min,hard,8,L8,0.6666666666666666,False,0.13763875015193724,0.7949019772707735,1.5129396139168723,0.16586609843066175,1.416693049155388,96.33365503654915,0.14494826627749627,1.1183414917996743,1.078039080725783,1.1613977992003712,1.1953008832269498,1.1138729109170635,1.2471117509069314,1.1359783152458318,False,False,,,,,,,0
chronos2,electricity_15min,hard,9,L9,0.75,False,0.13188739780706304,0.7544289749751167,1.4359072121640342,0.17493964454429295,1.5047086641384713,100.7746375753702,0.15463510891131085,1.1878212667025938,1.147787599525757,1.2296215314448535,1.2751824289207232,1.155719185613131,1.3944926999627645,1.1981209213901307,False,False,,,,,,,0
chronos2,electricity_15min,hard,10,L10,0.8333333333333334,True,0.1322424999217837,0.7582670556229727,1.4432122440039172,0.1841153353168309,1.6064902664386602,107.92293195211796,0.16943888562428439,1.2681679508498875,1.2253736080517506,1.3144858628862688,1.3972602421609015,1.2053702714590693,1.587548375856373,1.2609630925367665,False,False,,,,,,,0
chronos2,electricity_15min,hard,11,L11,0.9166666666666666,False,0.14694840728326608,0.7870135775421678,1.4979255961120665,0.20121131971023465,1.681996140970472,109.94035233864493,0.1914205077773127,1.327772501330239,1.2809153440934438,1.3796502822801535,1.5785294152876383,1.360569622605095,1.8191583172379233,1.3780495118378535,False,False,,,,,,,0
chronos2,electricity_15min,hard,12,L12,1.0,False,0.08528322739507078,0.5254023160996094,1.0,0.14601167663554163,1.266780370346088,84.05714169083964,0.12126508757040312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
chronos2,electricity_15min,noa,0,Emb,0.0,False,0.35289587913692455,1.884385220906856,3.5865567454971043,0.33517777348178945,2.514805525243484,163.8224801450242,0.24137727164073455,1.9851945799858204,1.8236497379800736,2.171807019485473,1.9904927005523965,1.6214910733355061,2.493225101532741,2.2955545830654596,False,False,0.005190589075268157,True,False,0.0,25,,590592
chronos2,electricity_15min,noa,1,L1,0.08333333333333333,False,0.134888329408096,0.8279102305982297,1.5757643337858234,0.16040026379450587,1.4025319049622595,101.40580393146371,0.14189462685002252,1.107162644601987,1.0642676842612002,1.1531094741551933,1.1701193615816463,1.0723551258738386,1.283744342426435,1.098544085586247,False,False,0.8798717880830753,True,False,0.0,1325,,590592
chronos2,electricity_15min,noa,2,L2,0.16666666666666666,False,0.09984332299613544,0.6141469528127341,1.1689079663217545,0.14715767161252388,1.2943707038605048,90.29481940667779,0.12551983039262732,1.021779887153508,0.9935288486823681,1.0502000660343689,1.0350862965381855,0.9281951063656605,1.1545313438885096,1.007848652952892,True,True,0.974773044506252,True,False,0.1,325,,590592
chronos2,electricity_15min,noa,3,L3,0.25,False,0.09782900795596473,0.6070962373529795,1.1554883158107014,0.14404054336562638,1.2696565592683031,89.12806328624994,0.12415692859495549,1.0022704716536057,0.9745243868201394,1.0309776718470256,1.0238472678533583,0.8922879758543668,1.1698257555003497,0.9865001668679186,True,False,0.9966211449761563,True,False,10.0,275,,590592
