model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
chronos2,monash_electricity_hourly,hard,0,Emb,0.0,False,0.2845026216547908,2.7514049021045146,4.848523500649064,0.2812804159146684,2.523156472812665,692.8781185478498,0.22131735277643694,3.0174467288834057,2.8187359105732335,3.2228521832032992,3.5594189014256568,2.879541763780197,4.226501716805504,2.842441930359687,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,1,L1,0.08333333333333333,False,0.28079044479052073,2.688136784392125,4.737032474615157,0.2874008473577618,2.526699192770252,703.7466201317889,0.2299666815774381,3.0216834731608837,2.824619467427706,3.224376418560745,3.6985249590063645,2.9656533499317947,4.421759076733152,2.9042911384148193,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,2,L2,0.16666666666666666,False,0.28307113000227296,2.6470063304146145,4.664552421770231,0.2913091723586767,2.4909679952771295,690.5983169429682,0.2316361628660362,2.978952478806609,2.7845870451074095,3.178022722136266,3.7253750147280016,2.9953247796973193,4.443480158470227,2.9437861982608764,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,3,L3,0.25,False,0.2434017968129452,2.2996662047495526,4.052469932305552,0.25745908991355476,2.2214550468168417,609.2143175303681,0.20468594197029913,2.6566415268359354,2.4887000369492145,2.8310746470433537,3.291938031814223,2.6856867095478645,3.873779505226952,2.6017186804236725,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,4,L4,0.3333333333333333,False,0.20815610360240436,2.0056095712710613,3.534283569821542,0.22741103883235508,1.9774951042661888,527.093013571083,0.1772225784376612,2.364889454160296,2.220753578835026,2.5156623157364657,2.8502482409845764,2.3736987677340737,3.2956771899648927,2.2980720861840567,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,5,L5,0.4166666666666667,False,0.13680055955041,1.3364946152307977,2.3551697336444235,0.16800195337024354,1.4724374629422181,362.57902880498847,0.12116734700722631,1.7608902396320996,1.6684046739512581,1.8583049146415065,1.9487190668179752,1.7437121910332474,2.18993241400686,1.6977214538348182,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,6,L6,0.5,False,0.11703958656667297,1.1100053924248254,1.9560506077831057,0.1508151608881832,1.2902404813889916,301.6175517668384,0.10201685817600442,1.5430005875538189,1.4736549955297977,1.616348809735739,1.6407241849785543,1.509049386510657,1.8662226564546862,1.5240426022854119,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,7,L7,0.5833333333333334,False,0.09157759990571564,0.8570529148074689,1.5102979556245424,0.12852853414325313,1.0545991723506092,241.06068619214807,0.08310007831472645,1.2611967815635186,1.2178429070450512,1.3074148704501365,1.3364880148470735,1.2326533971463602,1.5143555691577737,1.2988280521004365,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,8,L8,0.6666666666666666,False,0.09062342131012724,0.8343440983265907,1.4702804975269548,0.12804033011482416,1.0446598156694187,237.94080986365012,0.08315277627458668,1.2493102895333865,1.2118555305035787,1.2916878114543415,1.3373355494485857,1.2468668146141546,1.4988673144262026,1.2938945710528331,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,9,L9,0.75,True,0.09945034427667847,0.9979521462642902,1.7585904677223636,0.1334769355118957,1.1241362981257144,295.34400569397917,0.10746972934741816,1.3443563378442849,1.2983016569954549,1.3934846916069081,1.7284220201057219,1.4061824304010555,2.0643225260009497,1.3488334657114074,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,10,L10,0.8333333333333334,False,0.11134167951140694,1.146861382430051,2.020998203661611,0.14502977398544095,1.2471488860089839,347.98397340452243,0.13111648274121107,1.4914672819808887,1.4295227280044212,1.5574924425176058,2.1087297543674834,1.6024456487864445,2.6466011681475754,1.4655791423881643,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,11,L11,0.9166666666666666,False,0.15065193961139853,1.5738034035129658,2.773355089066509,0.16829568252877425,1.520547910115512,443.7711655910398,0.16936151943431918,1.8184255978282344,1.7217131883619183,1.9194705508980718,2.72381982653493,2.0060769028940815,3.4866883402456925,1.7006896948823225,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,12,L12,1.0,False,0.061414182436730684,0.5674727371613624,1.0,0.09895731304494046,0.836189235309665,187.65801041603424,0.06217794502574354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
chronos2,monash_electricity_hourly,noa,0,Emb,0.0,False,0.3297404835697349,2.73278764447028,4.815716184252927,0.33416875084961645,2.559628293636267,702.4456934060212,0.2617920814688183,3.0610634358242637,2.859313782792663,3.266372999545747,4.210368827088585,3.3905623098175703,5.013313290905077,3.3768979832532144,False,False,-0.021619756455724774,True,False,1.0,1500,,590592
chronos2,monash_electricity_hourly,noa,1,L1,0.08333333333333333,False,0.14578171099984008,1.2622079433474565,2.2242618203322504,0.1684376477114572,1.3374467344419727,327.3923660913096,0.11596093434202258,1.5994546186027825,1.5221860371628997,1.6834903811778243,1.8649849925727084,1.60208229678177,2.4158506832814455,1.7021243052038302,False,False,0.7034874021769884,True,False,0.0,1325,,590592
chronos2,monash_electricity_hourly,noa,2,L2,0.16666666666666666,False,0.11135427043808781,0.9982439165794306,1.7591046251365152,0.13521070538074462,1.1183456356168824,259.22401015796726,0.08846463801968492,1.337431275592452,1.2789648261637896,1.4004384208158005,1.4227655478652101,1.284619531109951,1.6806211866778817,1.3663538471314398,False,False,0.8294899553141685,True,False,0.0,525,,590592
