model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
timesfm3,coastal_ts,hard,0,Emb,0.0,False,10.90210563937823,25.065265533463066,19.490202533417285,11.122819244861603,23.927626472474667,7.374616963434144,0.4014852031530209,22.03618039585993,17.757385418735332,26.523879629986727,47.65365865219338,34.94550850733095,60.11997420824805,40.78440728494863,False,False,,,,,,,0
timesfm3,coastal_ts,hard,1,L1,0.05,False,11.610103592276573,27.42516629381579,21.325209775476424,11.174519275625547,27.35001159206699,8.441874846754935,0.3858131243766351,25.188030662588172,20.66414909254005,30.21160353669803,45.79348575786251,33.22194378481991,58.97688360898453,40.9739774887704,False,False,,,,,,,0
timesfm3,coastal_ts,hard,2,L2,0.1,False,10.17363448937734,26.174890454635214,20.353022614892176,9.298404023051262,25.722308037093132,7.8666244694670135,0.3202622724184384,23.688994842648075,19.45335348709646,28.39400552706973,38.013029843063094,28.988043065889126,47.24519077925349,34.09476396474931,False,False,,,,,,,0
timesfm3,coastal_ts,hard,3,L3,0.15,False,16.776392877101898,46.84295941667025,36.42406122036444,14.557487467924753,44.397607876253254,12.510502620195311,0.45729324594379295,40.888037826536,34.755863487819184,47.887154241097754,54.27770706123234,41.21372538060997,70.78524054446727,53.378418264924896,False,False,,,,,,,0
timesfm3,coastal_ts,hard,4,L4,0.2,False,13.125425964593887,35.68236922583282,27.745830266796787,10.8200557132562,32.71760799234051,9.72975439387839,0.3586947746309907,30.131325924433785,26.166495826873803,34.63538403194009,42.57471562177559,32.595965747793905,54.157461589475446,39.67425428217206,False,False,,,,,,,0
timesfm3,coastal_ts,hard,5,L5,0.25,True,23.509460975726444,39.03402568644861,30.35200506086101,23.447291056315105,36.48836710151915,10.234318926481027,0.7299085907483509,33.60401169436502,28.277406425090106,39.551730161849335,86.63535930505616,56.18906918878637,128.8025328979982,85.97495357224852,False,False,,,,,,,0
timesfm3,coastal_ts,hard,6,L6,0.3,False,70.39500174919765,67.47057829268795,52.46364672321869,68.32727022965749,64.34268363319241,14.958940520541589,1.8614842340636306,59.25648268230141,47.8627464564561,72.366356926755,220.9459615942522,134.7278302686642,332.7426161494038,250.5378498353697,False,False,,,,,,,0
timesfm3,coastal_ts,hard,7,L7,0.35,False,106.11344466606776,83.37059798158668,64.82715444701431,114.92335943380992,88.83399601715023,20.832559322562176,3.2727036005327648,81.8117903909492,65.17569027582107,100.72646665494177,388.44843850982943,234.06057787084984,589.1777441355581,421.39326321142306,False,False,,,,,,,0
timesfm3,coastal_ts,hard,8,L8,0.4,False,121.06986562410991,101.99534014624408,79.30934680349387,139.06563337643942,114.99107600240957,26.91951775696874,2.8973540955984602,105.90118905517446,83.83991705481115,131.0257085838045,343.8969157066545,247.21936653329115,471.4415153834902,509.91653339904855,False,False,,,,,,,0
timesfm3,coastal_ts,hard,9,L9,0.45,False,97.74737071990967,110.49266101547691,85.916677753636,142.73563059171042,113.99918351491083,28.863226928967634,4.489357554908247,104.98770430929025,83.55286916546669,127.64143275380899,532.8572779498048,368.77388338537276,697.6889917109431,523.3734329374804,False,False,,,,,,,0
