model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
tirex,SZ_TAXI_15T,hard,0,Emb,0.0,True,0.9479484195128466,2.017046228863942,2.8381918158951445,0.9384041122901134,1.9725030989098746,7.049065584701114,0.6431043069343012,2.5732447967489547,2.3398543016296847,2.850573912680673,3.246313256195561,2.976502813882511,3.5784624237542726,3.1787411417559275,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,1,L1,0.08333333333333333,False,0.5472278455511118,1.2869203622638763,1.810829512788785,0.5926795687813026,1.3826820828539472,4.778403029676695,0.3897360968527836,1.803789042069583,1.6448538718608223,2.00239174723344,1.9673409802872932,1.7724017803575707,2.223130867446148,2.0076371197538467,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,2,L2,0.16666666666666666,False,0.4492268831684039,1.0726781248413504,1.5093686160724242,0.4873104760280022,1.1745732636925055,4.080578857766086,0.32165234869206827,1.5322990067126259,1.459022885961217,1.614797881137319,1.6236624015521806,1.5402041690394208,1.7189441110190056,1.650710859715396,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,3,L3,0.25,False,0.4466255508745328,1.0308680378110073,1.4505375168475847,0.47201593430378497,1.1068898176725013,3.8494471345888237,0.3131519084599106,1.44400202234121,1.376353815291757,1.5212294128814507,1.580753200802619,1.5099938750789332,1.6606826706753433,1.5989022749209152,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,4,L4,0.3333333333333333,False,0.4378830663955364,1.015247442623126,1.4285577303720776,0.4566970029129432,1.080211785135614,3.7513262923708193,0.30209122722346465,1.409198980231424,1.3452985800225656,1.4822438369171422,1.5249202111409652,1.4618988105415598,1.5940923563558773,1.5470110728022795,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,5,L5,0.4166666666666667,False,0.4363939491793131,0.9952728989130813,1.4004514898343887,0.4526542477691785,1.0563022676669522,3.6695160892918217,0.2999721174240485,1.3780076267410213,1.3180377732710362,1.4463050484482602,1.5142231995380224,1.4545065560121822,1.5797178685932485,1.533316682578255,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,6,L6,0.5,False,0.4455229904120549,0.9857339598723882,1.3870292200171686,0.45496245416311115,1.0361086641149588,3.610903536786369,0.30365255811686714,1.3516638986644995,1.296046612342445,1.4159547525386067,1.5328016218575597,1.474543312181995,1.5964921407045858,1.5411354789070049,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,7,L7,0.5833333333333334,False,0.4147668943429987,0.9414191932468887,1.3246737785999259,0.42618049471042097,0.9880923658058094,3.435267415458805,0.2827784699467881,1.2890238501639675,1.2346151824218692,1.3544579161841876,1.4274317333233735,1.3755306883226002,1.483855181876329,1.4436397439092747,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,8,L8,0.6666666666666666,False,0.3875859040193833,0.8954245302305242,1.2599545499179805,0.4060058302413195,0.952174753710955,3.2928020156259334,0.26718276200775265,1.2421672401612702,1.1925185701095395,1.3037332216863076,1.3487064738649301,1.3049762789313244,1.3943307209115656,1.375300277863512,False,False,,,,,,,0
tirex,SZ_TAXI_15T,hard,9,L9,0.75,False,0.3539723668438502,0.8557607906807201,1.204143582689205,0.37771416149842435,0.916223355754614,3.1790510401778724,0.24726220182604428,1.1952665545409877,1.154364958612807,1.244223840713109,1.2481498800255924,1.215883197704341,1.2837401991278503,1.2794653489409413,False,False,,,,,,,0
