model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
chronos2,boom_hourly,hard,0,Emb,0.0,False,0.20613286890468355,1.7084220399130932,3.071418071732746,0.21117003826098255,1.8698600716118865,0.7123519941420807,0.7315880105048529,1.981544476181264,1.5599029345061817,2.7620295935864676,2.6604967272255333,1.8315506622217161,4.170472162411838,1.9883728132693377,False,False,,,,,,,0
chronos2,boom_hourly,hard,1,L1,0.08333333333333333,False,0.14315122858447543,1.215203814382327,2.184705458682979,0.1578930648475212,1.46258111443639,0.518067006346374,0.5422527603180015,1.5499392560322118,1.312295736911995,2.005971296748897,1.9719591811783592,1.4507776507478647,2.984090081522661,1.486717908146497,False,False,,,,,,,0
chronos2,boom_hourly,hard,2,L2,0.16666666666666666,False,0.14440828126113295,1.1473470662995837,2.0627119246022807,0.15895368457682388,1.407462390857323,0.4741945873958142,0.5333910536795727,1.4915283599975633,1.2814771536675165,1.8994377156861748,1.9397326531726542,1.4539153322891312,2.8873511598340174,1.4967046820862553,False,False,,,,,,,0
chronos2,boom_hourly,hard,3,L3,0.25,True,0.140312675355097,1.114628560748262,2.003890271121663,0.1553752112102374,1.3733512575701519,0.4658984413906583,0.5193828923562499,1.455379811361403,1.25991049114207,1.838025545953946,1.8887905015517858,1.4212554464902045,2.7968887494929966,1.4630098491747074,False,False,,,,,,,0
chronos2,boom_hourly,hard,4,L4,0.3333333333333333,False,0.14112207842832905,1.0782489853693538,1.9384867100282774,0.15346811242969866,1.323949752975436,0.44168636257667226,0.500640287990464,1.403027616653958,1.229898899063451,1.7461035887316552,1.8206310499767855,1.3897476743509782,2.648609715311708,1.445052645592844,False,False,,,,,,,0
chronos2,boom_hourly,hard,5,L5,0.4166666666666667,False,0.1394286764322617,1.0893644188789142,1.958470146532143,0.15271363105351304,1.332986897965284,0.43047762523429156,0.4824360276151308,1.412604539016734,1.2354005743151195,1.7623660990692511,1.7544293429303384,1.3776634194050055,2.4579731226179153,1.437948464200068,False,False,,,,,,,0
chronos2,boom_hourly,hard,6,L6,0.5,False,0.14212597384101758,1.0952058101021196,1.968971857554278,0.15356806318386126,1.3350959913010891,0.43130051510018685,0.48218494887216345,1.414839605860914,1.238149794607957,1.764604061290372,1.7535162686804204,1.3785100841273608,2.4360441273369284,1.4459937798743896,False,False,,,,,,,0
chronos2,boom_hourly,hard,7,L7,0.5833333333333334,False,0.14044638227481962,1.081961457863445,1.9451610298642255,0.1534939446607552,1.3221542713112275,0.4287673181672778,0.4828651130993764,1.401124893114474,1.2283229373855076,1.7408629817297387,1.7559897574124559,1.374410641932321,2.448131438095777,1.4452958813584948,False,False,,,,,,,0
chronos2,boom_hourly,hard,8,L8,0.6666666666666666,False,0.1380934421614991,1.081087509230608,1.943589836352347,0.15255487550281535,1.3252315085539963,0.41380751805210086,0.4732984469167693,1.4043859298909058,1.2295886499374635,1.7499077728136874,1.721199569897325,1.3594267466506569,2.375302916422751,1.436453625142584,False,False,,,,,,,0
chronos2,boom_hourly,hard,9,L9,0.75,False,0.1403124644710435,1.0406040022120662,1.870808186292275,0.15383008252408376,1.2863772206691626,0.389773738044003,0.46644920996195083,1.3632109239623715,1.2073887571058128,1.6684414955828346,1.6962915995087564,1.3545160483898568,2.3102383875274013,1.448460948687445,False,False,,,,,,,0
