model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
timesfm3,monash_london_smart_meters,hard,0,Emb,0.0,False,11.48438598727452,28.161356854364975,24.444236764932796,11.986353049751456,32.33152033592605,3.3322050194233395,22.838337950843368,40.88346835278522,32.291096846152556,53.710008292367505,65.03661020504187,57.999800760361026,73.05043034148369,62.56546672340704,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,1,L1,0.05,True,13.349044273827822,32.34034751887461,28.071627226620862,14.075755346822374,35.118212574035866,3.691030633634725,26.63272714932289,44.40726317412305,35.84474264954023,55.99091991497738,75.84187159485421,65.9801116259165,86.61881478991876,73.47157213733955,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,2,L2,0.1,False,10.141669903092712,30.943009687186752,26.858729106156844,10.594223943375448,33.5226188831235,3.5478176228648772,19.914925946387513,42.389622076873636,34.157228653955954,53.76262564607298,56.711625812054784,51.712925928710256,62.32269421323617,55.29893561772928,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,3,L3,0.15,False,14.328547454062308,45.19204667368485,39.22698378832629,15.018755172045177,47.15084556625047,5.002646605482116,27.427190910859508,59.622624685943364,48.33813604685394,73.6840602705489,78.10426170801831,70.18895418276274,86.4975980169814,78.39377190404669,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,4,L4,0.2,False,15.304341379922764,37.12771114456567,32.227089285903034,14.404929228411376,38.34353060101268,4.096149388497278,27.548022456366823,48.485703844822105,38.82305255054785,61.055177262056276,78.44835303999467,71.59077538083908,85.89911566498567,75.1897692778116,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,5,L5,0.25,False,19.023706521696717,41.609395065437646,36.11721941826583,18.93544443327052,44.90242859268447,4.863725279656268,36.18461158470934,56.77948328004704,45.49273233932805,71.72364556111701,103.04272071465168,91.9645136156346,116.21739681945114,98.83781277469342,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,6,L6,0.3,False,30.407498352400218,59.75810875764262,51.870418270347194,33.27544693546441,65.68940241884053,7.384911800587311,66.35238927578403,83.064779416508,67.99779102887327,99.82388556235621,188.95133642345505,163.499917632458,218.37633283408505,173.68868239622432,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,7,L7,0.35,False,46.16437306658912,63.11969102865859,54.78829305040342,47.07222596379637,67.10571190136703,7.462609293922125,90.00528827519922,84.85571418558165,68.90955067407712,104.19179625968647,256.30756767614935,213.80057300500263,309.09252356047864,245.70407486834932,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,8,L8,0.4,False,54.98273138963539,84.44558609584233,73.29930553258613,60.9405960053888,90.73348872447936,9.97190495313227,123.31117646864566,114.73322863456981,95.09263228117536,137.09086048856153,351.15256351744665,300.2367632837961,404.1186199456867,318.09315274246865,False,False,,,,,,,0
timesfm3,monash_london_smart_meters,hard,9,L9,0.45,False,49.42297420792907,85.39327469672777,74.1219052623957,53.90230188660949,90.11176626133708,9.916313117974775,104.89568097797327,113.94705556315229,93.5754271641749,137.63687809222233,298.7108576219728,262.7514996915808,340.26724064262186,281.355192943498,False,False,,,,,,,0
