model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
timesfm3,monash_traffic,hard,0,Emb,0.0,False,7.422726631164551,38.497786364624474,54.9098973466801,9.429400841698392,39.457264001278155,0.628192831349196,20.318106990507008,79.93292795254023,73.64192197615985,87.10253469988217,127.35760905868045,112.6744746794458,143.52614897462533,130.34892127359734,False,False,,,,,,,0
timesfm3,monash_traffic,hard,1,L1,0.05,False,6.538677022657321,41.68810911169375,59.46029650171632,9.851776318695709,40.98497152971835,0.6581561297649101,20.03686602003907,83.02777344916178,77.07953932332106,89.74059891940912,125.59473924089308,111.58809100271584,140.10217044957645,136.1877002928913,False,False,,,,,,,0
timesfm3,monash_traffic,hard,2,L2,0.1,False,5.904378996550582,37.997462004033444,54.19627815258166,7.959681207897099,42.8561887182369,0.666738431984542,15.831040100538079,86.81850431961857,80.2842913698796,94.03468844162394,99.23185349199258,89.11845837128512,110.05659160942537,110.03200272735819,False,False,,,,,,,0
timesfm3,monash_traffic,hard,3,L3,0.15,False,14.853766204746625,77.27197627510152,110.21403269409286,14.917710777457433,80.08140428691453,1.3092084472012202,30.82396486811614,162.22972578627932,151.12571059894023,174.84086405736642,193.21024685745473,175.19017468974715,212.22258908014652,206.2175042038891,False,False,,,,,,,0
timesfm3,monash_traffic,hard,4,L4,0.2,False,21.3438937664032,50.023849955619596,71.34967293789214,12.444015007892638,46.00874998396099,0.7413757385407982,23.23653982289286,93.20499509381237,86.76672560236496,100.6213996427763,145.650879583571,129.97356889536672,163.41880861701455,172.02195132252967,False,False,,,,,,,0
timesfm3,monash_traffic,hard,5,L5,0.25,False,71.0303336081614,62.436748047760965,89.05435220331078,24.823741520634133,51.20430428232733,0.8183383361947445,48.04828444808736,103.73020199592739,95.86787421450286,112.67019784124679,301.1754308380619,261.4136689512322,346.5483177761938,343.1551997323359,False,False,,,,,,,0
timesfm3,monash_traffic,hard,6,L6,0.3,False,75.98728702268528,141.0059315592986,201.11860858339537,23.557853272853006,92.19052008840177,1.5331949451849276,50.33786527143829,186.7604961128253,175.18077209991827,199.4135723753595,315.5269420071299,281.57789881293206,349.49707077528745,325.6559789100006,False,False,,,,,,,0
timesfm3,monash_traffic,hard,7,L7,0.35,False,49.70237286764247,164.6851305232491,234.89256046850704,30.42418331044321,95.45073176461756,1.5613008170636093,64.4399983113953,193.3650661868311,181.12709107887596,207.14224268758548,403.92168997432367,354.9682135218205,456.86583706338763,420.57385635884754,False,False,,,,,,,0
timesfm3,monash_traffic,hard,8,L8,0.4,False,65.72125278356421,222.15204340102454,316.85837162093327,36.570950515397634,124.75182626023904,2.2452639281864832,80.30082804958549,252.7235223426663,233.98415099010398,273.5906075216339,503.3402703610939,452.08325153007024,559.3241631989631,505.54473499013716,False,False,,,,,,,0
timesfm3,monash_traffic,hard,9,L9,0.45,False,53.216960011547755,239.3129530608864,341.33520202551324,41.99711193201196,175.13546389477315,2.5927728603767344,85.80774951212125,354.7912094711416,327.51462681018995,386.2829459298885,537.8586608327146,467.7149456006325,613.1322852948814,580.5541973288596,False,False,,,,,,,0
timesfm3,monash_traffic,hard,10,L10,0.5,False,168.53950905981864,248.1670785496268,353.9639572759218,105.91519150843148,141.55810518019197,2.2061562120049953,240.1518027173978,286.76985363455157,262.8419948362852,313.83286557840455,1505.3154026361633,1269.6162477840348,1762.8666196713962,1464.1366075518158,False,False,,,,,,,0
timesfm3,monash_traffic,hard,11,L11,0.55,False,174.8324440744997,273.7869742517843,390.5059503586932,39.63130252051899,184.22761677106146,2.825002433617584,81.46561059799193,373.2101855250893,342.48830959067374,408.07816601189563,510.6413403135078,456.8165566761521,568.5411791811559,547.8500298102489,False,False,,,,,,,0
timesfm3,monash_traffic,hard,12,L12,0.6,True,61.496999158204055,258.313368749814,368.4357439928291,37.79055789044795,188.94037887953613,3.003004856274967,78.81392476125335,382.7573470835279,353.1053283025432,415.44930928130606,494.02008872252156,444.17382181154846,549.0184987603446,522.4041843214372,False,False,,,,,,,0
timesfm3,monash_traffic,hard,13,L13,0.65,False,57.235165778007214,227.0780036101997,323.88433324007156,67.16868787867422,208.20999325570818,3.236926139022151,141.4459213294002,421.79392847330445,386.34940467101507,459.20974877874704,886.6088932414418,792.3907969956734,992.0393679528355,928.5177452241123,False,False,,,,,,,0
timesfm3,monash_traffic,hard,14,L14,0.7,False,32.39311099962424,162.6949020971132,232.05387157505973,36.42491458936502,188.9498346566304,3.1551257896829585,79.74468504320136,382.7765026932323,355.68953699164564,412.9127999645823,499.8542643261379,453.89329756776414,548.7601250203817,503.52598260649006,False,False,,,,,,,0
timesfm3,monash_traffic,hard,15,L15,0.75,False,86.29319432673563,231.94366383847162,330.824288205995,86.00545597804411,251.47468146511372,4.0879977752172465,180.15391806772857,509.4399752296002,472.50940445390887,549.4624134729931,1129.2376931758045,1020.5752404080868,1243.0381105317176,1188.9110027867557,False,False,,,,,,,0
timesfm3,monash_traffic,hard,16,L16,0.8,False,22.559972955980374,156.4341493769131,223.12407790009064,23.524239314421443,139.63280657042498,2.306053175934966,49.93970848191035,282.8695640691968,263.55472287979364,303.44932577155225,313.03122246158114,282.8003078041085,343.3278887477418,325.1913106564342,False,False,,,,,,,0
timesfm3,monash_traffic,hard,17,L17,0.85,False,18.30810862825117,135.64180684231545,193.46768718301612,17.249834038829075,110.20405673187652,1.7644437820886405,36.26588816910437,223.2525024173341,208.36528303667828,240.23473755478233,227.3212169698967,206.46136564980935,248.79260381392095,238.4560055148699,False,False,,,,,,,0
timesfm3,monash_traffic,hard,18,L18,0.9,False,12.48151253925935,75.76204901616302,108.06040365152919,11.400431978793545,72.22054919607832,1.194115568318311,24.56708273547017,146.30512534766768,136.56378204749115,157.40297870905823,153.9909658019865,139.2411295615856,169.2481860264807,157.59580438210557,False,False,,,,,,,0
