model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
tirex,m4_hourly,hard,0,Emb,0.0,False,0.9267834522796952,21.60095959959866,26.919790774136274,0.8881297630208139,18.348852388840065,1216.4100852542285,0.25614677730841723,22.609921834362474,18.73460093939307,26.63321352672438,7.445228801299331,6.231623673351125,9.084541364356177,10.683202258724412,False,False,,,,,,,0
tirex,m4_hourly,hard,1,L1,0.08333333333333333,False,0.5090369786924989,12.640365061281765,15.752817887068757,0.543895777286464,13.786883844184743,903.3014447071373,0.154195766963562,16.98854835444875,14.07112698923754,20.10321584984544,4.481894237745019,3.6704102894888355,5.48980305362948,6.542454535758249,False,False,,,,,,,0
tirex,m4_hourly,hard,2,L2,0.16666666666666666,False,0.4205299067588253,10.904493157786867,13.589520083685404,0.391492115347895,11.179728634767633,653.3852947965835,0.11247728731548091,13.775945503557418,11.302050815754466,16.47885236436081,3.2692940657415797,2.820807714609487,3.83505191174741,4.709209875741337,False,False,,,,,,,0
tirex,m4_hourly,hard,3,L3,0.25,False,0.40273972509699013,10.613455941442858,13.226820411231348,0.35735826035037294,9.27687716432187,623.2518929590772,0.10854147707309778,11.431203603767132,9.399341751852646,13.650149525852223,3.1548947823269886,2.731354100415568,3.6861803484480298,4.29861798704235,False,False,,,,,,,0
tirex,m4_hourly,hard,4,L4,0.3333333333333333,False,0.36580853761379956,9.325303582496044,11.621484693243032,0.3286975110305175,8.469525881090629,609.888666053996,0.10278520654941098,10.436364852007761,8.591558753498822,12.47194600301484,2.987581527241913,2.589399392223108,3.476139848852764,3.9538614045929923,False,False,,,,,,,0
tirex,m4_hourly,hard,5,L5,0.4166666666666667,False,0.3503871364447907,8.929414211365042,11.128114989392053,0.31719725277587657,7.563128716912775,567.2457373203131,0.09828737795395368,9.3194792507364,7.706410776894172,11.105037738730303,2.8568464723093827,2.467663867273807,3.337520223427814,3.81552623097601,False,False,,,,,,,0
tirex,m4_hourly,hard,6,L6,0.5,False,0.3477743941408987,8.733435883160874,10.883880673449013,0.3199348604406109,7.48104078691507,569.0613490187568,0.09705166136989057,9.218328418986204,7.608027149370482,10.98852876709388,2.8209288129166503,2.4032549618007817,3.3417371920055357,3.848456572470157,False,False,,,,,,,0
tirex,m4_hourly,hard,7,L7,0.5833333333333334,False,0.3337183729496621,9.095727395817889,11.335379676305967,0.29308584872775406,6.562873869468466,531.752836440054,0.0892571719920517,8.086939828875169,6.727633747344607,9.567910089310372,2.594372158887645,2.2221898497720702,3.05970437974458,3.525493155953523,False,False,,,,,,,0
tirex,m4_hourly,hard,8,L8,0.6666666666666666,False,0.312565021444368,8.08546407541442,10.076357960782234,0.3140308251817718,7.1856772735414705,649.3924354561769,0.10794169141147819,8.854373997827883,7.504329948968727,10.327805466900033,3.1374612564032183,2.6349660423245567,3.7683268588849077,3.7774376679822765,False,False,,,,,,,0
tirex,m4_hourly,hard,9,L9,0.75,False,0.28100665863461166,7.397264532852213,9.218702188074102,0.2802934275214909,6.646388708818694,549.2044003182962,0.09264301673956109,8.189848934562153,6.972631874037619,9.510830708842688,2.692786002293266,2.236776648592571,3.267230242359119,3.371614715194521,False,False,,,,,,,0
tirex,m4_hourly,hard,10,L10,0.8333333333333334,False,0.2709779644399199,6.933607192642086,8.640877923749242,0.2643152829686194,6.607795332445815,505.9902998031535,0.08642711790550199,8.14229319621823,6.883686040204072,9.512317150984607,2.5121130712823985,2.065213117169746,3.0791694728023344,3.1794156052391647,False,False,,,,,,,0
tirex,m4_hourly,hard,11,L11,0.9166666666666666,False,0.2835186197216274,7.122265165294773,8.87598938387981,0.2854507756597213,7.378521678773407,489.81772142248866,0.08474588678567313,9.092001770731006,7.677832641937523,10.648710647119255,2.4632459706047305,1.9752389173324933,3.106209377037656,3.433651813345549,False,False,,,,,,,0
tirex,m4_hourly,hard,12,L12,1.0,True,0.07132817466231418,0.8024192974171335,1.0,0.0831332910781058,0.8115398418119937,216.6359998378095,0.034404151187901015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
tirex,m4_hourly,noa,0,Emb,0.0,False,0.30307785802670106,6.88354964276111,8.57849464104143,0.2767146268987474,5.5278033017171015,603.6053556332713,0.11298500020842622,6.811499592397962,5.803576533411451,7.911854636267129,3.284051380641529,2.8594410047762366,3.790994406159755,3.3285657684208254,False,False,0.7310726231708551,True,False,0.0,1200,,328256
