model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
tirex,monash_electricity_hourly,hard,0,Emb,0.0,False,1.0097772827130238,7.414121380781322,12.562698079940116,0.8403870317772144,4.856528607020167,1574.8166808212038,0.6201077557999686,5.976863536597666,5.521545683221875,6.463288491000873,9.643443315696068,7.206591944463987,12.19442991267317,6.711359664971247,False,False,,,,,,,0
tirex,monash_electricity_hourly,hard,11,L11,0.9166666666666666,True,0.23089497687138674,1.7963376216515639,3.0437655430006103,0.24882207364412665,1.7633427815783407,525.6402784502096,0.18036827011827636,2.1701219176396216,2.0278017172759157,2.330577383727669,2.804949901959996,2.0874282754826483,3.4579254576310245,1.9871016158807102,False,False,,,,,,,0
tirex,monash_electricity_hourly,hard,12,L12,1.0,False,0.08540942128045655,0.5901695108489516,1.0,0.1252185955944912,0.8125547082148625,199.48996506212524,0.06430356206798618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
tirex,monash_electricity_hourly,noa,0,Emb,0.0,False,0.2932997937989599,2.1171688873213017,3.587391162033735,0.2888778587447778,1.8428393390709716,466.09975773245696,0.16441954136745007,2.2679572469890514,2.151828039001789,2.3949859221350773,2.5569274248542304,2.367470298061628,2.7252556590806964,2.3069884897949335,False,False,0.7452296536432932,True,False,0.0,1000,,262656
tirex,monash_electricity_hourly,noa,11,L11,0.9166666666666666,True,0.0901854945389369,0.6293868364092386,1.066450951530643,0.1333961023572292,0.8792452769926309,222.68189421337604,0.07071735599381157,1.082075173651118,1.0664190552245445,1.101099813218092,1.099742436026239,1.0691987088098698,1.1345715338651663,1.0653058495338832,False,False,0.9298575879881982,True,False,1.0,540,,262656
tirex,monash_electricity_hourly,noa,12,L12,1.0,False,0.08540942128045655,0.5901695108489516,1.0,0.1252185955944912,0.8125547082148625,199.48996506212524,0.06430356206798618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,,,,,0
tirex,monash_electricity_hourly,fl,0,Emb,0.0,False,0.259983841671061,2.2200182949128036,3.7616621226659683,0.2532199697412607,1.839140115660632,465.2192624575671,0.14124620369400212,2.2634046631778437,2.1495534302784063,2.3900184170450873,2.1965533347074437,2.027231619063351,2.327157185214136,2.02222336498079,False,False,0.7461444032195536,True,False,0.0,580,,262656
tirex,monash_electricity_hourly,fl,11,L11,0.9166666666666666,True,0.09400379795666414,0.6638903000369212,1.1249146013692288,0.1341912776857387,0.8836072792496548,219.80848478274362,0.07098739048059459,1.087443430351774,1.069078428285694,1.1095078454493696,1.1039418066069466,1.0741285153497553,1.1414193090849767,1.071656146985586,False,False,0.9252698124583758,True,False,30.0,60,,262656
tirex,monash_electricity_hourly,fl,12,L12,1.0,False,0.08530385909337224,0.5928021907615141,1.0044608877011885,0.12556397273713538,0.8147058642267061,201.19820744104265,0.06508870185515168,1.0026473983721902,1.0004233044503192,1.0046142314759878,1.0122098957183026,1.0054355262167167,1.0185421264913603,1.0027581937092047,True,False,,False,False,100.0,20,,262656
tirex,monash_electricity_hourly,ra,0,Emb,0.0,False,0.3128228297044758,2.213651714419033,3.7508744076506457,0.2974795587645232,1.8700729346423681,473.70175886353184,0.16909902282595804,2.3014732617214344,2.182715273267382,2.4302205442731655,2.629699154880018,2.424865608556554,2.79699971668607,2.375681961231087,False,False,0.7384952888197611,True,False,,,0.001,262656
tirex,monash_electricity_hourly,ra,11,L11,0.9166666666666666,True,0.09303140379346282,0.6546497216863301,1.1092571026663585,0.1366880491930451,0.9031691955410115,228.45263595493628,0.07381059822484778,1.1115180139996037,1.0939157223677236,1.1323139749386724,1.1478461822505277,1.0990331280375267,1.1897351408854326,1.0915954498938534,False,False,0.904695389156919,True,False,,,0.0001,262656
tirex,monash_electricity_hourly,ra,12,L12,1.0,False,0.08540942128045655,0.5901695108489516,1.0,0.1252185955944912,0.8125547082148625,199.48996506212524,0.06430356206798618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,,,,,0
tirex,monash_electricity_hourly,probe,0,Emb,0.0,False,0.26491054505792283,2.2561290375636696,3.822849191782638,0.25710497705536034,1.853112634383292,463.55174370344366,0.14364495109279923,2.280600451450804,2.16728158453082,2.4143566831924366,2.2338568264838554,2.0575077327566076,2.377251855512591,2.053249166665077,False,False,0.7426892575949025,True,,,,,0
tirex,monash_electricity_hourly,probe,1,L1,0.08333333333333333,False,0.20459877804831694,1.5335900428161415,2.598558574484966,0.1974482406072944,1.2823177647966173,295.1650426361249,0.09842484515420082,1.5781309883906747,1.5213460397294774,1.6499247098479781,1.530628195217852,1.4478255256725723,1.6869983114628835,1.5768284228862637,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,2,L2,0.16666666666666666,False,0.17830269999858986,1.244592916852218,2.1088736269379393,0.17699357776241448,1.146241709425998,270.7673976372418,0.09255147093033916,1.4106640424793393,1.3565272364245138,1.4741137893450933,1.4392899546138258,1.3213193376090013,1.5927815744046416,1.4134767837166275,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,3,L3,0.25,False,0.15820523681303927,1.1151331255912993,1.8895132755794075,0.1726758511353085,1.1171828538796758,267.90426024645296,0.08951454996270737,1.3749017051837216,1.3278311181204208,1.4325072296038486,1.3920620737629805,1.2969380568512092,1.5259096856869592,1.3789952707543793,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,4,L4,0.3333333333333333,False,0.15303536538631862,1.037179150075291,1.7574258429299767,0.16532772133937318,1.1142332561418746,266.6579099651566,0.0876415845204475,1.371271675466361,1.32319438348212,1.426956857336523,1.3629351423454077,1.2652991159186158,1.4959369608668032,1.320312854128884,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,5,L5,0.4166666666666667,False,0.15909143181816313,1.1529789465017322,1.9536403106341194,0.17097140004047912,1.1512507595759403,283.6905310951128,0.09223599661517773,1.4168286121991394,1.369609719765358,1.4708846056325349,1.4343839384458896,1.3700028650703597,1.5334834781421616,1.3653834658404422,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,6,L6,0.5,False,0.1664912846820955,1.2279460739857435,2.0806667430504127,0.1760205026744431,1.1841612577341845,288.2251513381158,0.09341475693582175,1.4573311135390759,1.4017334884526085,1.5246444896752613,1.452715120774448,1.3671874071815995,1.5824139519828821,1.40570577268307,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,7,L7,0.5833333333333334,False,0.1755051122878799,1.307600693745825,2.21563579566294,0.17474542185664177,1.172715806537109,270.88493282588934,0.0906337830106802,1.443245352812613,1.391064201023538,1.5044584333466,1.4094675333048563,1.241326362123067,1.6067678226122695,1.3955229335308839,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,8,L8,0.6666666666666666,False,0.14802619169345338,1.0924881110330016,1.8511429190258757,0.18361011542777977,1.269257364467486,298.35251658535077,0.09719636360215426,1.5620577317876525,1.4998647218318168,1.6302594018315368,1.5115237861845279,1.3809140506808442,1.6921121106561334,1.4663166804903651,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,9,L9,0.75,False,0.13239702229736416,0.9878656692923398,1.6738676789170404,0.17252495464022832,1.1384770791149055,270.3200318431803,0.09277256591831956,1.4011082178282817,1.3577287307855346,1.4506798502690506,1.4427282553995062,1.3478450791374685,1.5632571607496664,1.3777902061682148,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,10,L10,0.8333333333333334,False,0.11476641520857811,0.834341798762551,1.4137324674098473,0.1648035931280096,1.0963242731709697,265.7280753270353,0.08871367839134235,1.3492313343178246,1.305784315288313,1.3975022409444295,1.3796075293239294,1.3132657780507002,1.4708974015374439,1.31612714825289,False,False,,,,,,,0
tirex,monash_electricity_hourly,probe,11,L11,0.9166666666666666,True,0.10589311385655222,0.7504631905253807,1.2716061686172986,0.15808661424249182,1.0595690133223952,269.47574477042104,0.08953446343727908,1.303997137189949,1.2656958257251922,1.3487034804115727,1.3923717529460817,1.3041409520473681,1.4571344330260905,1.2624851244494122,False,False,0.7402004589374974,True,,,,,0
tirex,monash_electricity_hourly,probe,12,L12,1.0,False,0.10572601802192116,0.7435431971891935,1.2598807351461034,0.15129490924700525,1.004968238245087,247.73872928979952,0.08132570883933833,1.236800707798428,1.2018934091847544,1.277092504315891,1.2647154562503886,1.2175353601444407,1.3279089496311718,1.2082463353682689,False,False,,False,,,,,0
