model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
chronos2,monash_electricity_hourly,hard,0,Emb,0.0,False,0.2845026216547908,0.2812804159146684,2.523156472812665,692.8781185478498,0.22131735277643694,3.0174467288834057,2.8367560360599495,3.2216324729103287,3.5594189014256568,2.9127303172624406,4.186522811173908,2.842441930359687,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,9,L9,0.75,True,0.09945034427667847,0.1334769355118957,1.1241362981257144,295.34400569397917,0.10746972934741816,1.3443563378442849,1.3028005973208738,1.3960756243278727,1.7284220201057219,1.4162629216703813,2.050099778433626,1.3488334657114074,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,10,L10,0.8333333333333334,False,0.11134167951140694,0.14502977398544095,1.2471488860089839,347.98397340452243,0.13111648274121107,1.4914672819808887,1.43563425757859,1.5561156607156335,2.1087297543674834,1.6100945947533871,2.644747678963545,1.4655791423881643,False,False,,,,,,,0
chronos2,monash_electricity_hourly,hard,12,L12,1.0,False,0.061414182436730684,0.09895731304494046,0.836189235309665,187.65801041603424,0.06217794502574354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
chronos2,monash_electricity_hourly,noa,0,Emb,0.0,False,0.3310978972843585,0.3328087419442093,2.550750319067888,698.833198086407,0.26054237827072474,3.0504462523046847,2.8669888007779165,3.256547117114946,4.190270009130285,3.4132927828793016,4.942093894363486,3.363154593668763,False,False,-0.016357073001646655,True,False,1.0,300,,590592
chronos2,monash_electricity_hourly,noa,9,L9,0.75,True,0.06715885518502643,0.11429707164954366,0.9796328537429929,216.3804907938598,0.07134796903152577,1.1715444451759853,1.1424122089556,1.2015308127596322,1.1474803324874367,1.056386528352341,1.2865451940347228,1.1550138957151839,False,False,0.5018403138740655,True,False,10.0,240,,590592
chronos2,monash_electricity_hourly,noa,10,L10,0.8333333333333334,False,0.0653610392473638,0.11197643896977183,0.9558890479578,210.60919850571145,0.06952075002189366,1.143149191108406,1.1173477820183166,1.1733339109752305,1.1180934010139765,1.0469755536620653,1.232750807803242,1.1315630500084302,False,False,0.7087309850384458,True,False,1.0,280,,590592
chronos2,monash_electricity_hourly,noa,12,L12,1.0,False,0.061414182436730684,0.09895731304494046,0.836189235309665,187.65801041603424,0.06217794502574354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,,,,,0
chronos2,monash_electricity_hourly,fl,0,Emb,0.0,False,0.2567210662114711,0.26324264528869673,2.488529946874942,671.8303285665042,0.20310932181384575,2.9760368129510386,2.797200002558331,3.1738515578266537,3.2665814498975867,2.6806374158635267,3.8485558619029963,2.660163632061713,False,False,0.020525903033526957,True,False,10.0,290,,590592
chronos2,monash_electricity_hourly,fl,9,L9,0.75,True,0.06776710846354715,0.11063434614067655,0.9471977828087552,224.19263097897368,0.07488536110582258,1.1327552936722278,1.1081024954163639,1.1599126478547899,1.2043717603535755,1.1403832668370872,1.2804694517454813,1.1180007089565285,False,False,0.6144827927277511,True,False,10.0,290,,590592
chronos2,monash_electricity_hourly,fl,10,L10,0.8333333333333334,False,0.06639573539301526,0.10861817994048349,0.9348372701339777,216.49977824575691,0.0710347881865367,1.1179733374441019,1.095961263377,1.142701025000962,1.1424434846974465,1.0999879154322385,1.2103882162938995,1.097626608870793,False,False,0.7599568846809025,True,False,10.0,250,,590592
chronos2,monash_electricity_hourly,fl,12,L12,1.0,False,0.061414182436730684,0.09895731304494046,0.836189235309665,187.65801041603424,0.06217794502574354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,True,,0,,590592
chronos2,monash_electricity_hourly,ra,0,Emb,0.0,False,0.3218473347031888,0.33244636165731734,2.585177790606397,711.2967389213061,0.2609739178732535,3.091618118773116,2.9063531002581944,3.3020822377230403,4.197210405799074,3.4134947175389416,4.955764638435233,3.359492607750376,False,False,-0.03676498062021289,True,False,,,1e-12,590592
chronos2,monash_electricity_hourly,ra,9,L9,0.75,True,0.06795074310125286,0.11167637336259807,0.9565906613434693,214.00989340307873,0.0709454893432018,1.1439882516416466,1.1179855116364654,1.1719846366870805,1.14100730273135,1.0907794563076136,1.2362808181639597,1.128530776819712,False,False,0.5818626352486156,True,False,,,1e-05,590592
chronos2,monash_electricity_hourly,ra,10,L10,0.8333333333333334,False,0.06509843516298605,0.10941431259750638,0.9444366978573941,209.38641650033094,0.06831748311605007,1.129453307907799,1.1069016155493032,1.1537086130025491,1.0987414120515655,1.039820343272388,1.193960261895756,1.1056718218270234,False,False,0.7365983196561333,True,False,,,0.0001,590592
chronos2,monash_electricity_hourly,ra,12,L12,1.0,False,0.061414182436730684,0.09895731304494046,0.836189235309665,187.65801041603424,0.06217794502574354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,,,,,0
chronos2,monash_electricity_hourly,probe,0,Emb,0.0,False,0.2555157448385508,0.2651963917012433,2.4958978715017017,672.4151693261931,0.20569351963939114,2.9848481254095534,2.8055997217510593,3.184705754205453,3.3081427756132475,2.7079683211171153,3.911142310802235,2.679906957263553,False,False,0.01615834659083887,True,,,,,0
chronos2,monash_electricity_hourly,probe,1,L1,0.08333333333333333,False,0.20282039205536587,0.20781323717523167,1.936033422559101,512.7998510067416,0.15804267913557113,2.3153053648701083,2.1883362108247795,2.4770623414373,2.5417803542741195,2.081722030363802,3.0136670588705647,2.100029101243436,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,2,L2,0.16666666666666666,False,0.1326814982329161,0.14643926400947208,1.210130966332319,287.62536065291937,0.10312003739543409,1.4471974945768975,1.3781543219069894,1.5281420986369592,1.658466476380641,1.4825611701527264,1.9101565445986342,1.479822556853056,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,3,L3,0.25,False,0.09858209757802595,0.1198541922708049,1.0046301988604907,241.39168981711362,0.08237127631665975,1.2014388088701562,1.1601129911211412,1.2541376488111566,1.3247667847909024,1.2080318194692474,1.5124843469500184,1.2111706409851117,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,4,L4,0.3333333333333333,False,0.0928583100352806,0.12161096885004116,1.0152683287299071,240.68994356858192,0.08226519094776144,1.214160964837013,1.178796735498438,1.2601859631865329,1.3230606272642362,1.2203951000955813,1.4855402791769066,1.2289235136650565,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,5,L5,0.4166666666666667,False,0.08987650460073056,0.12356728609679764,1.0475563257836238,246.4551189642151,0.08523842237452536,1.2527742304595484,1.2125798925253077,1.29894656932994,1.3708787310232606,1.2793231899926012,1.5239583406681678,1.2486928180909764,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,6,L6,0.5,False,0.09065790269666045,0.1232232868045796,1.0530765211187867,251.55742377902916,0.08453184516158169,1.2593758406000073,1.2168760602187585,1.3052876718950932,1.3595149393660881,1.2702586652204233,1.5018000914812504,1.2452165788759744,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,7,L7,0.5833333333333334,False,0.08965037161669204,0.12391678951965034,1.0466868751207068,241.96940279058538,0.08556935966033968,1.2517344530668209,1.212043657332525,1.295657626842048,1.3762011533979033,1.2808037281174738,1.5091529400892651,1.2522246785679678,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,8,L8,0.6666666666666666,False,0.08891476700722262,0.12407250174868653,1.0575685274442004,242.08444767602137,0.08422591696027791,1.2647478379132113,1.2288019256789529,1.3057828949844472,1.3545947349241898,1.27053460356605,1.4969052079876635,1.2537982078428127,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,9,L9,0.75,True,0.0859897627232184,0.12172569078571013,1.0413373492767506,246.88608274756652,0.08388230745277737,1.2453369468349031,1.2108118784595063,1.2870310918567633,1.349068506816164,1.246738070501028,1.486523597770755,1.2300828209677606,False,False,0.28754920449339205,True,,,,,0
chronos2,monash_electricity_hourly,probe,10,L10,0.8333333333333334,False,0.08679779564947572,0.12365278122477404,1.0367056692863992,233.69564882589754,0.0865760030281104,1.2397979135697401,1.2039375371800063,1.279411809819441,1.3923908709473325,1.2775765537945822,1.5290385038811483,1.2495567777655643,False,False,0.5120775637327879,True,,,,,0
chronos2,monash_electricity_hourly,probe,11,L11,0.9166666666666666,False,0.08442878495645888,0.12207604744222783,1.076533351670353,255.44447974894305,0.08553423881956493,1.2874279005417735,1.2502541082891456,1.3298692132703154,1.375636309372257,1.2616235636576072,1.497999969581936,1.2336233036843698,False,False,,,,,,,0
chronos2,monash_electricity_hourly,probe,12,L12,1.0,False,0.08396132324488108,0.11821175060938788,1.0174644156675179,244.98836156046895,0.08574286135085699,1.2167872686028078,1.1855316027782696,1.250525566234354,1.3789915590706137,1.2426036106941725,1.5181239401834017,1.1945731646503297,False,False,,False,,,,,0
