model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
tirex,monash_electricity_hourly,hard,0,Emb,0.0,False,1.0097772827130238,0.8403870317772144,4.856528607020167,1574.8166808212038,0.6201077557999686,5.976863536597666,5.521545683221875,6.463288491000873,9.643443315696068,7.206591944463987,12.19442991267317,6.711359664971247,False,False,,,,,,,0
tirex,monash_electricity_hourly,hard,11,L11,0.9166666666666666,True,0.23089497687138674,0.24882207364412665,1.7633427815783407,525.6402784502096,0.18036827011827636,2.1701219176396216,2.0278017172759157,2.330577383727669,2.804949901959996,2.0874282754826483,3.4579254576310245,1.9871016158807102,False,False,,,,,,,0
tirex,monash_electricity_hourly,hard,12,L12,1.0,False,0.08540942128045655,0.1252185955944912,0.8125547082148625,199.48996506212524,0.06430356206798618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
tirex,monash_electricity_hourly,noa,0,Emb,0.0,False,0.3001197118966179,0.289937378938189,1.8537843909383152,473.75488971774155,0.16618895210184267,2.2814271730834914,2.164937897947737,2.407872187059005,2.584443952360465,2.3814721895788886,2.7481342504405584,2.3154498544060047,False,False,0.7425231446149889,True,False,1.0,240,,262656
tirex,monash_electricity_hourly,noa,11,L11,0.9166666666666666,True,0.0919045433970808,0.13276589747148615,0.8714813860432645,209.27969752406426,0.06776819190456988,1.0725202589224554,1.057645849573813,1.0919126472398368,1.0538792832801496,1.0077896993797444,1.1023132892766832,1.0602730116973695,False,False,0.938023330877569,True,False,1.0,300,,262656
tirex,monash_electricity_hourly,noa,12,L12,1.0,False,0.08540942128045655,0.1252185955944912,0.8125547082148625,199.48996506212524,0.06430356206798618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,,,,,0
tirex,monash_electricity_hourly,fl,0,Emb,0.0,False,0.25967555666584097,0.2536641155149191,1.851089591227747,472.65422963427324,0.14345873996567882,2.278110719824008,2.169270885530174,2.4058805568592847,2.2309610129218704,2.047742047740851,2.3844149703068127,2.0257703283654993,False,False,0.7431895187751596,True,False,1.0,130,,262656
tirex,monash_electricity_hourly,fl,11,L11,0.9166666666666666,True,0.09388309486125035,0.13396841307519047,0.8792975443796878,218.0099522141912,0.07094903080563934,1.0821394984116892,1.0638070062374272,1.1026867184595932,1.1033452661709022,1.0756296296991636,1.137705080921909,1.0698763425604512,False,False,0.9298026152886859,True,False,10.0,230,,262656
tirex,monash_electricity_hourly,fl,12,L12,1.0,False,0.08540942128045655,0.1252185955944912,0.8125547082148625,199.48996506212524,0.06430356206798618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,True,,0,,262656
tirex,monash_electricity_hourly,ra,0,Emb,0.0,False,0.3128228297044758,0.2974795587645232,1.8700729346423681,473.70175886353184,0.16909902282595804,2.3014732617214344,2.182715273267382,2.4302205442731655,2.629699154880018,2.424865608556554,2.79699971668607,2.375681961231087,False,False,0.7384952888197611,True,False,,,0.001,262656
